"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127"
"X1" 4191.31905954261 4018.32273280367 4018.32273280367 4191.31905954261 4191.31905954261 3859.04944774724 3859.04944774724 4194.34354737386 2908.6597184767 2908.6597184767 4010.20466960189 4010.20466960189 4143.31524855627 4143.31524855627 3969.78515440548 3969.78515440548 2908.6597184767 2908.6597184767 2594.95695504469 2594.95695504469 3500.48248836589 3500.48248836589 4607.19998869563 3064.67922929473 2528.29589070837 2528.29589070837 2306.60744340988 2306.60744340988 2671.84831376671 2671.84831376671 3659.52538415705 3659.52538415705 4838.57590338207 4838.57590338207 4198.47698842767 3135.12894447725 3064.67922929473 3064.67922929473 2528.29589070837 2528.29589070837 2306.60744340988 2306.60744340988 2464.60799972908 2464.60799972908 2522.66216951008 2522.66216951008 2585.5803629265 2585.5803629265 3230.03517526036 2234.86606110599 2016.5260816512 2016.5260816512 1893.48055671324 1893.48055671324 2113.09054593417 2113.09054593417 2491.60202404461 2491.60202404461 2688.16714530229 2688.16714530229 2862.90039722614 2862.90039722614 3440.62828709568 3440.62828709568 4057.72773963469 2016.5260816512 1893.48055671324 1893.48055671324 2113.09054593417 2113.09054593417 2278.70936398901 2278.70936398901 2332.63091380903 2332.63091380903 2489.58352594644 2489.58352594644 2357.43956784748 2357.43956784748 2234.21399844535 2234.21399844535 3074.01845959667 2441.176272554 1763.88976560473 1763.88976560473 1854.5004986979 1854.5004986979 2384.95605404615 2384.95605404615 2479.92048104656 2479.92048104656 2600.7954095974 2600.7954095974 2624.88136422449 2624.88136422449 2342.11590632907 2342.11590632907 3274.47660565841 3274.47660565841 2441.176272554 1763.88976560473 1763.88976560473 1854.5004986979 1854.5004986979 1728.60372510431 1728.60372510431 1317.85329139538 1317.85329139538 1503.99052646104 1503.99052646104 1740.63079343172 1740.63079343172 1461.51018483462 1461.51018483462 1636.99373582048 2933.49379121773 2531.70324709719 2531.70324709719 1805.77848388506 1805.77848388506 1911.31630020842 1911.31630020842 1795.48739555612 1795.48739555612 4051.15171251079 2531.70324709719 2531.70324709719 1805.77848388506
"X2" 4277.71653345183 4039.28604477229 4039.28604477229 4277.71653345183 4277.71653345183 3937.86202161594 3937.86202161594 4110.8447045183 3047.94949725486 3047.94949725486 3751.70242122548 3751.70242122548 4140.07714296183 4140.07714296183 4010.06781504871 4010.06781504871 3047.94949725486 3047.94949725486 2643.57137867582 2643.57137867582 3669.77961449022 3669.77961449022 4802.96920990786 3212.64505694631 2538.50491110573 2538.50491110573 2239.91891274383 2239.91891274383 2523.81679740827 2523.81679740827 3473.41924333955 3473.41924333955 4569.44029788468 4569.44029788468 4196.46685794207 2990.14963466951 3212.64505694631 3212.64505694631 2538.50491110573 2538.50491110573 2239.91891274383 2239.91891274383 2347.26150808106 2347.26150808106 2564.54030322673 2564.54030322673 2817.01706112357 2817.01706112357 3463.24843512102 2103.56728428625 1901.5309409487 1901.5309409487 1805.97045508072 1805.97045508072 2009.84685309831 2009.84685309831 2302.37787336444 2302.37787336444 2411.53922676339 2411.53922676339 2584.80108403964 2584.80108403964 3287.39038706552 3287.39038706552 3866.85363187114 1901.5309409487 1805.97045508072 1805.97045508072 2009.84685309831 2009.84685309831 2132.66597732672 2132.66597732672 2087.24013318005 2087.24013318005 2200.42906835316 2200.42906835316 2289.39143097758 2289.39143097758 2450.56106212331 2450.56106212331 3311.86161754243 2314.2136127143 1638.08509277439 1638.08509277439 1660.51303119898 1660.51303119898 2033.63974696896 2033.63974696896 1987.42688964184 1987.42688964184 2186.57692992873 2186.57692992873 2168.93861299043 2168.93861299043 2421.17593940871 2421.17593940871 3081.81041432374 3081.81041432374 2314.2136127143 1638.08509277439 1638.08509277439 1660.51303119898 1660.51303119898 1450.36511700588 1450.36511700588 1074.13811674144 1074.13811674144 1266.42381103004 1266.42381103004 1473.73891518191 1473.73891518191 1347.60995779576 1347.60995779576 1758.60462210345 2750.48261773365 2388.23709456986 2388.23709456986 1558.84355226593 1558.84355226593 1606.02241073739 1606.02241073739 1422.51974583668 1422.51974583668 3300.81256010654 2388.23709456986 2388.23709456986 1558.84355226593
"X3" 4367.08371254154 4070.40421095688 4070.40421095688 4367.08371254154 4367.08371254154 4020.88639138502 4020.88639138502 4036.18100632002 3191.47572459445 3191.47572459445 3514.42538463782 3514.42538463782 4140.42697701457 4140.42697701457 4055.58711738284 4055.58711738284 3191.47572459445 3191.47572459445 2697.00653430125 2697.00653430125 3831.90446394578 3831.90446394578 4983.82012517907 3365.56984688213 2551.57032341188 2551.57032341188 2179.57778976484 2179.57778976484 2390.88748991611 2390.88748991611 3299.9283428607 3299.9283428607 4310.68755539224 4310.68755539224 4188.00132862268 2865.30980621911 3365.56984688213 3365.56984688213 2551.57032341188 2551.57032341188 2179.57778976484 2179.57778976484 2232.57445719817 2232.57445719817 2598.78484652016 2598.78484652016 3029.5307158152 3029.5307158152 3676.77908253914 1986.91321174402 1795.97396477016 1795.97396477016 1725.14239955877 1725.14239955877 1909.72960202179 1909.72960202179 2119.79335867055 2119.79335867055 2144.23582128243 2144.23582128243 2316.27970433553 2316.27970433553 3135.18059204602 3135.18059204602 3682.29920003066 1795.97396477016 1725.14239955877 1725.14239955877 1909.72960202179 1909.72960202179 1982.99521729982 1982.99521729982 1852.41255829209 1852.41255829209 1928.21686002118 1928.21686002118 2237.13479275283 2237.13479275283 2660.27074938292 2660.27074938292 3536.16280096922 2194.40560898458 1515.77459539961 1515.77459539961 1475.24840190752 1475.24840190752 1689.61792683285 1689.61792683285 1517.33774682054 1517.33774682054 1692.55595317565 1692.55595317565 1745.85741852244 1745.85741852244 2129.32740478106 2129.32740478106 2899.23033907756 2899.23033907756 2194.40560898458 1515.77459539961 1515.77459539961 1475.24840190752 1475.24840190752 1192.09852649021 1192.09852649021 857.359571417143 857.359571417143 1052.50267270021 1052.50267270021 1234.13977491009 1234.13977491009 1260.33514511411 1260.33514511411 1891.71012520097 2583.24645864627 2247.20320964237 2247.20320964237 1322.53182666904 1322.53182666904 1291.37052378715 1291.37052378715 1072.54677924808 1072.54677924808 3000.00087490637 2247.20320964237 2247.20320964237 1322.53182666904
"X4" 4460.25403096842 4115.50822468659 4115.50822468659 4460.25403096842 4460.25403096842 4109.54249800984 4109.54249800984 3979.67592456192 3339.96832848088 3339.96832848088 3330.65803136875 3330.65803136875 4145.48567667461 4145.48567667461 4109.3300585422 4109.3300585422 3339.96832848088 3339.96832848088 2759.17769313521 2759.17769313521 3974.05265221554 3974.05265221554 5126.10281552316 3516.31953491214 2570.54640355962 2570.54640355962 2135.1587017326 2135.1587017326 2296.01902604857 2296.01902604857 3160.42837007499 3160.42837007499 4083.3519357853 4083.3519357853 4164.57258680157 2771.91268313731 3516.31953491214 3516.31953491214 2570.54640355962 2570.54640355962 2135.1587017326 2135.1587017326 2128.51539440018 2128.51539440018 2616.23552167983 2616.23552167983 3195.15112852931 3195.15112852931 3839.67373402418 1900.79393483153 1713.60206611048 1713.60206611048 1661.55897118739 1661.55897118739 1820.23013995485 1820.23013995485 1958.7285560171 1958.7285560171 1908.16767521462 1908.16767521462 2079.09789494484 2079.09789494484 2990.96441707508 2990.96441707508 3517.69466062258 1713.60206611048 1661.55897118739 1661.55897118739 1820.23013995485 1820.23013995485 1833.3163067739 1833.3163067739 1644.12247636541 1644.12247636541 1700.75396643163 1700.75396643163 2211.97848273558 2211.97848273558 2844.76188983849 2844.76188983849 3722.14751082259 2091.68334721284 1406.23286741822 1406.23286741822 1314.5808515874 1314.5808515874 1377.46231992322 1377.46231992322 1112.67744747955 1112.67744747955 1223.70955852083 1223.70955852083 1407.73798310243 1407.73798310243 1687.29451476703 1687.29451476703 2743.26912080818 2743.26912080818 2091.68334721284 1406.23286741822 1406.23286741822 1314.5808515874 1314.5808515874 983.955946306665 983.955946306665 710.071159661543 710.071159661543 895.674782795896 895.674782795896 1057.02280288222 1057.02280288222 1226.22671313409 1226.22671313409 2035.22009239031 2452.90958605233 2118.06146073303 2118.06146073303 1116.46988280078 1116.46988280078 1025.58518550347 1025.58518550347 786.298249963274 786.298249963274 2979.1930264133 2118.06146073303 2118.06146073303 1116.46988280078
"X5" 4556.01930286737 4173.02212493176 4173.02212493176 4556.01930286737 4556.01930286737 4203.72758954803 4203.72758954803 3946.47366612773 3492.28616014447 3492.28616014447 3224.72781702523 3224.72781702523 4154.44989705976 4154.44989705976 4170.83952893854 4170.83952893854 3492.28616014447 3492.28616014447 2832.12746774296 2832.12746774296 4086.32354684329 4086.32354684329 5212.34315790983 3654.97361100761 2597.32319674779 2597.32319674779 2113.89581338501 2113.89581338501 2256.39941084033 2256.39941084033 3071.57689194315 3071.57689194315 3904.92795117745 3904.92795117745 4119.44627050169 2712.4722278411 3654.97361100761 3654.97361100761 2597.32319674779 2597.32319674779 2113.89581338501 2113.89581338501 2042.88923586522 2042.88923586522 2611.98646512141 2611.98646512141 3293.56879119657 3293.56879119657 3928.32612541548 1852.28824667987 1663.5299950239 1663.5299950239 1622.78014415706 1622.78014415706 1748.0699877299 1748.0699877299 1832.4053492196 1832.4053492196 1722.65871078741 1722.65871078741 1891.05447159691 1891.05447159691 2861.21705520394 2861.21705520394 3380.57843209545 1663.5299950239 1622.78014415706 1622.78014415706 1748.0699877299 1748.0699877299 1689.40404921125 1689.40404921125 1474.00940561072 1474.00940561072 1537.12937250324 1537.12937250324 2217.20790968405 2217.20790968405 2985.77477034778 2985.77477034778 3848.38464491631 2012.41691200544 1317.65734083847 1317.65734083847 1190.91630310918 1190.91630310918 1119.05331375837 1119.05331375837 805.354317810069 805.354317810069 864.450019750038 864.450019750038 1189.54721735675 1189.54721735675 1284.9152070143 1284.9152070143 2624.67614085324 2624.67614085324 2012.41691200544 1317.65734083847 1317.65734083847 1190.91630310918 1190.91630310918 845.493936308527 845.493936308527 656.295972763687 656.295972763687 817.232033051784 817.232033051784 965.094592141447 965.094592141447 1258.67037654405 1258.67037654405 2182.36268211764 2372.21782691418 2008.19327331561 2008.19327331561 955.981815745661 955.981815745661 850.02296823321 850.02296823321 591.625472631546 591.625472631546 3074.29759641728 2008.19327331561 2008.19327331561 955.981815745661
"X6" 4652.13940763942 4239.08496067041 4239.08496067041 4652.13940763942 4652.13940763942 4302.32927043067 4302.32927043067 3938.66749288541 3646.31149860044 3646.31149860044 3211.95294441377 3211.95294441377 4165.71583580118 4165.71583580118 4238.02041904505 4238.02041904505 3646.31149860044 3646.31149860044 2916.46500419333 2916.46500419333 4162.04545295527 4162.04545295527 5231.50721112183 3772.31110248346 2632.77593365063 2632.77593365063 2120.41887284885 2120.41887284885 2282.80842078881 2282.80842078881 3044.23329896654 3044.23329896654 3787.59035772156 3787.59035772156 4048.38671702759 2685.33682859635 3772.31110248346 3772.31110248346 2632.77593365063 2632.77593365063 2120.41887284885 2120.41887284885 1981.92947732232 1981.92947732232 2584.29455620668 2584.29455620668 3312.50706414833 3312.50706414833 3927.82610959551 1843.29662033466 1650.87411344864 1650.87411344864 1613.43313007104 1613.43313007104 1698.31693147199 1698.31693147199 1750.65616952314 1750.65616952314 1602.00223703438 1602.00223703438 1764.75776144973 1764.75776144973 2749.70559252123 2749.70559252123 3274.69486067598 1650.87411344864 1613.43313007104 1613.43313007104 1698.31693147199 1698.31693147199 1557.19536631045 1557.19536631045 1349.95432389414 1349.95432389414 1448.93869465067 1448.93869465067 2252.24565727983 2252.24565727983 3069.36788132156 3069.36788132156 3899.5748480413 1960.23100523429 1256.17600296026 1256.17600296026 1112.75458422562 1112.75458422562 930.870459464109 930.870459464109 616.335500582671 616.335500582671 674.475094088077 674.475094088077 1111.69143892011 1111.69143892011 1064.7640868374 1064.7640868374 2549.44229398835 2549.44229398835 1960.23100523429 1256.17600296026 1256.17600296026 1112.75458422562 1112.75458422562 787.850642712679 787.850642712679 707.259805432078 707.259805432078 828.763512203644 828.763512203644 970.750979554034 970.750979554034 1362.25640828473 1362.25640828473 2325.14744541334 2347.43568872693 1922.82918610244 1922.82918610244 851.553446371748 851.553446371748 790.823681590715 790.823681590715 505.224147751081 505.224147751081 3152.09799209498 1922.82918610244 1922.82918610244 851.553446371748
"X7" 4744.1554713335 4305.785673944 4305.785673944 4744.1554713335 4744.1554713335 4401.6584003409 4401.6584003409 3950.41931175309 3797.76431078305 3797.76431078305 3280.53384740041 3280.53384740041 4176.27599648236 4176.27599648236 4305.50720726036 4305.50720726036 3797.76431078305 3797.76431078305 3008.97007280809 3008.97007280809 4204.1630012394 4204.1630012394 5191.47892248893 3864.03797318199 2674.9385339175 2674.9385339175 2151.56401652465 2151.56401652465 2366.83694210564 2366.83694210564 3071.47354999412 3071.47354999412 3726.5547502096 3726.5547502096 3955.08484507397 2680.69013607213 3864.03797318199 3864.03797318199 2674.9385339175 2674.9385339175 2151.56401652465 2151.56401652465 1946.14612302604 1946.14612302604 2539.7177596806 2539.7177596806 3263.39299855568 3263.39299855568 3849.73972535529 1863.80480641335 1669.6767374059 1669.6767374059 1629.69094022886 1629.69094022886 1670.51204130045 1670.51204130045 1712.03666583689 1712.03666583689 1543.86174201872 1543.86174201872 1696.78271664231 1696.78271664231 2656.86858439703 2656.86858439703 3194.83792415371 1669.6767374059 1629.69094022886 1629.69094022886 1670.51204130045 1670.51204130045 1441.50358334867 1441.50358334867 1269.53131383288 1269.53131383288 1427.14792749499 1427.14792749499 2308.88246183131 2308.88246183131 3097.5783275531 3097.5783275531 3880.60653091315 1931.50345239069 1221.1002115165 1221.1002115165 1076.93652313136 1076.93652313136 811.52077232484 811.52077232484 535.136041241339 535.136041241339 639.291956468223 639.291956468223 1154.589345321 1154.589345321 1022.20114521509 1022.20114521509 2510.63462316854 2510.63462316854 1931.50345239069 1221.1002115165 1221.1002115165 1076.93652313136 1076.93652313136 799.656537752417 799.656537752417 842.026751123519 842.026751123519 915.811601775103 915.811601775103 1058.29168275118 1058.29168275118 1519.69248087745 1519.69248087745 2455.77104380322 2367.60730444496 1860.97061205825 1860.97061205825 799.235159789482 799.235159789482 831.755801304371 831.755801304371 512.972658896209 512.972658896209 3186.60619503183 1860.97061205825 1860.97061205825 799.235159789482
"X8" 4827.04875655373 4364.19910464221 4364.19910464221 4827.04875655373 4827.04875655373 4497.38105996801 4497.38105996801 3973.92367812566 3941.82012185631 3941.82012185631 3411.95858640855 3411.95858640855 4182.77070333313 4182.77070333313 4367.11516723368 4367.11516723368 3941.82012185631 3941.82012185631 3105.47106035422 3105.47106035422 4217.99648032212 4217.99648032212 5104.82287619377 3927.06876052061 2721.13975735231 2721.13975735231 2202.23948788675 2202.23948788675 2495.32608118674 2495.32608118674 3141.97296717164 3141.97296717164 3712.84452658511 3712.84452658511 3845.1952031303 2686.6924190544 3927.06876052061 3927.06876052061 2721.13975735231 2721.13975735231 2202.23948788675 2202.23948788675 1934.64044245893 1934.64044245893 2486.87678878155 2486.87678878155 3163.52415939699 3163.52415939699 3712.1883767046 1900.84268756222 1711.23747276041 1711.23747276041 1665.63424630732 1665.63424630732 1662.83383641608 1662.83383641608 1712.3204514584 1712.3204514584 1541.79696411176 1541.79696411176 1679.74567777356 1679.74567777356 2582.44822651166 2582.44822651166 3133.58485217912 1711.23747276041 1665.63424630732 1665.63424630732 1662.83383641608 1662.83383641608 1346.87746013897 1346.87746013897 1227.77593360857 1227.77593360857 1457.62152095969 1457.62152095969 2377.01803277489 2377.01803277489 3076.3906778916 3076.3906778916 3801.355770634 1920.8200901547 1210.06016150872 1210.06016150872 1077.42453743224 1077.42453743224 755.202800854048 755.202800854048 543.498617011034 543.498617011034 725.983038622377 725.983038622377 1288.76100282556 1288.76100282556 1115.81257548057 1115.81257548057 2498.1189462926 2498.1189462926 1920.8200901547 1210.06016150872 1210.06016150872 1077.42453743224 1077.42453743224 863.97287346375 863.97287346375 1031.68630886452 1031.68630886452 1057.46777681075 1057.46777681075 1205.05888221178 1205.05888221178 1708.25723889641 1708.25723889641 2566.4644921558 2417.50721544921 1820.08199956977 1820.08199956977 791.512995629038 791.512995629038 946.076676159999 946.076676159999 593.122946102968 593.122946102968 3178.71988967275 1820.08199956977 1820.08199956977 791.512995629038
"X9" 4895.78956835719 4405.39075959224 4405.39075959224 4895.78956835719 4895.78956835719 4585.15895503101 4585.15895503101 4001.38898868678 4073.64539343189 4073.64539343189 3587.78757026723 3587.78757026723 4181.83589906105 4181.83589906105 4416.65237706762 4416.65237706762 4073.64539343189 4073.64539343189 3201.80070099665 3201.80070099665 4208.83338823355 4208.83338823355 4984.05018869777 3958.28531483851 2768.71290794751 2768.71290794751 2267.37614279689 2267.37614279689 2655.16807255348 2655.16807255348 3244.45659036419 3244.45659036419 3737.53784441015 3737.53784441015 3724.35350196893 2691.51776937628 3958.28531483851 3958.28531483851 2768.71290794751 2768.71290794751 2267.37614279689 2267.37614279689 1946.54190298866 1946.54190298866 2434.38312532093 2434.38312532093 3030.14000695813 3030.14000695813 3533.22526738954 1941.45939805959 1766.88249546875 1766.88249546875 1715.36656874516 1715.36656874516 1673.48434395112 1673.48434395112 1747.3262226462 1747.3262226462 1589.43251123397 1589.43251123397 1706.32191367506 1706.32191367506 2526.20832978427 2526.20832978427 3083.53405692474 1766.88249546875 1715.36656874516 1715.36656874516 1673.48434395112 1673.48434395112 1277.89087491031 1277.89087491031 1219.76976272002 1219.76976272002 1526.28539751847 1526.28539751847 2446.56613544809 2446.56613544809 3011.73290762985 3011.73290762985 3671.6293656822 1922.78815055509 1220.71415466146 1220.71415466146 1108.22362161432 1108.22362161432 756.188273617974 756.188273617974 623.269438442387 623.269438442387 901.761986391146 901.761986391146 1484.8306910585 1484.8306910585 1304.17760001574 1304.17760001574 2501.79161240011 2501.79161240011 1922.78815055509 1220.71415466146 1220.71415466146 1108.22362161432 1108.22362161432 963.922486585158 963.922486585158 1247.39026142219 1247.39026142219 1232.88577066073 1232.88577066073 1388.46308402336 1388.46308402336 1905.26513070551 1905.26513070551 2649.43634599659 2481.94382822264 1797.65228275271 1797.65228275271 820.925039732061 820.925039732061 1107.12780755959 1107.12780755959 724.010885155617 724.010885155617 3129.45293131225 1797.65228275271 1797.65228275271 820.925039732061
"X10" 4945.33153827506 4420.40664597812 4420.40664597812 4945.33153827506 4945.33153827506 4660.64447445828 4660.64447445828 4025.02862494484 4188.39201740464 4188.39201740464 3789.63259317298 3789.63259317298 4170.09932000439 4170.09932000439 4447.91268053165 4447.91268053165 4188.39201740464 4188.39201740464 3293.79132984562 3293.79132984562 4181.93443935579 4181.93443935579 4841.63273064705 3954.5332324418 2814.99279985765 2814.99279985765 2341.92168616009 2341.92168616009 2833.29137724516 2833.29137724516 3367.68636341351 3367.68636341351 3791.75748856266 3791.75748856266 3598.18303085401 2683.34062694527 3954.5332324418 3954.5332324418 2814.99279985765 2814.99279985765 2341.92168616009 2341.92168616009 1981.00718039464 1981.00718039464 2390.84880227315 2390.84880227315 2880.44149454909 2880.44149454909 3330.85592263426 1972.70861199494 1827.954701944 1827.954701944 1773.0075794492 1773.0075794492 1700.68705825851 1700.68705825851 1812.91300694134 1812.91300694134 1680.45061962698 1680.45061962698 1769.23730983124 1769.23730983124 2487.93406483723 2487.93406483723 3037.29675257006 1827.954701944 1773.0075794492 1773.0075794492 1700.68705825851 1700.68705825851 1239.14804125311 1239.14804125311 1240.63481479354 1240.63481479354 1619.11098247073 1619.11098247073 2507.44311008197 2507.44311008197 2909.48313740098 2909.48313740098 3501.17599546578 1932.03013787544 1250.74594576243 1250.74594576243 1163.37454096686 1163.37454096686 808.815616842335 808.815616842335 756.377644760582 756.377644760582 1133.93736404442 1133.93736404442 1713.49353342364 1713.49353342364 1545.82330046465 1545.82330046465 2511.56803717481 2511.56803717481 1932.03013787544 1250.74594576243 1250.74594576243 1163.37454096686 1163.37454096686 1082.67064104107 1082.67064104107 1460.31994151291 1460.31994151291 1421.25788528873 1421.25788528873 1585.95743847636 1585.95743847636 2088.04060944521 2088.04060944521 2696.86381513463 2545.74215436602 1791.19204983377 1791.19204983377 880.052951307248 880.052951307248 1288.30491701095 1288.30491701095 884.031707456121 884.031707456121 3039.93434513654 1791.19204983377 1791.19204983377 880.052951307248
