"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127"
"X1" 4571.2324820923 4635.94545972947 4635.94545972947 4571.2324820923 4571.2324820923 4003.80342277379 4003.80342277379 4563.99763837366 3279.16867151251 3279.16867151251 4236.1034323603 4236.1034323603 4577.61013745148 4577.61013745148 4264.007153807 4264.007153807 3279.16867151251 3279.16867151251 2809.40814042073 2809.40814042073 3870.14005318094 3870.14005318094 4881.08216992616 3317.68309388816 2695.77789193338 2695.77789193338 2487.09501159824 2487.09501159824 2908.39686441725 2908.39686441725 3955.90391992304 3955.90391992304 5103.49210834064 5103.49210834064 4730.69844902927 3612.54250251623 3317.68309388816 3317.68309388816 2695.77789193338 2695.77789193338 2487.09501159824 2487.09501159824 2582.30759092725 2582.30759092725 2691.14564225603 2691.14564225603 2676.45463811051 2676.45463811051 3646.95202501503 2319.87087744526 2186.48406937219 2186.48406937219 2021.86479793706 2021.86479793706 2209.98308822505 2209.98308822505 2631.72609272857 2631.72609272857 2896.26019359824 2896.26019359824 3034.75761938927 3034.75761938927 3827.89156067825 3827.89156067825 4563.44443111289 2186.48406937219 2021.86479793706 2021.86479793706 2209.98308822505 2209.98308822505 2430.82276525542 2430.82276525542 2446.77131776206 2446.77131776206 2624.83087271419 2624.83087271419 2575.71474228379 2575.71474228379 2337.78592572892 2337.78592572892 3395.03182470289 2949.68343944436 1908.93114979383 1908.93114979383 1915.44942015973 1915.44942015973 2523.96697499474 2523.96697499474 2584.632620611 2584.632620611 2742.15080059784 2742.15080059784 2860.99862565183 2860.99862565183 2392.9037732952 2392.9037732952 3468.10633505935 3468.10633505935 2949.68343944436 1908.93114979383 1908.93114979383 1915.44942015973 1915.44942015973 1806.76763954472 1806.76763954472 1518.44809262112 1518.44809262112 1507.63459302799 1507.63459302799 1938.3746065359 1938.3746065359 1645.33956574604 1645.33956574604 1835.65231967301 3262.50718052345 3015.58639242939 3015.58639242939 1916.31666097639 1916.31666097639 2093.25853339628 2093.25853339628 1877.03366648931 1877.03366648931 3669.45661621979 3015.58639242939 3015.58639242939 1916.31666097639
"X2" 4696.93862367428 4343.74610868073 4343.74610868073 4696.93862367428 4696.93862367428 4201.30984355695 4201.30984355695 4526.3621778486 3333.53067784269 3333.53067784269 4030.04128582076 4030.04128582076 4518.9149058564 4518.9149058564 4397.07434250581 4397.07434250581 3333.53067784269 3333.53067784269 2915.64802649044 2915.64802649044 4010.87406827642 4010.87406827642 5173.70695860139 3486.64597117008 2810.22564538656 2810.22564538656 2427.45993244497 2427.45993244497 2786.60569078423 2786.60569078423 3762.01300194036 3762.01300194036 4955.43327198119 4955.43327198119 4698.81721323282 3441.20752050576 3486.64597117008 3486.64597117008 2810.22564538656 2810.22564538656 2427.45993244497 2427.45993244497 2512.23633151581 2512.23633151581 2762.79043576207 2762.79043576207 3092.29261762851 3092.29261762851 3891.98825488428 2249.56128929044 2080.43245340408 2080.43245340408 1940.48190877376 1940.48190877376 2115.19449155222 2115.19449155222 2446.0274981939 2446.0274981939 2599.3549444781 2599.3549444781 2885.70866136336 2885.70866136336 3592.78240378082 3592.78240378082 4325.59744893063 2080.43245340408 1940.48190877376 1940.48190877376 2115.19449155222 2115.19449155222 2272.69384065769 2272.69384065769 2186.20607093111 2186.20607093111 2366.11488518642 2366.11488518642 2522.98589448098 2522.98589448098 2564.10045933503 2564.10045933503 3497.76008037019 2622.51685226804 1823.48278577709 1823.48278577709 1776.49990748194 1776.49990748194 2202.8061590485 2202.8061590485 2108.70219943164 2108.70219943164 2282.75327886468 2282.75327886468 2391.47717112119 2391.47717112119 2608.40436171541 2608.40436171541 3362.80394732527 3362.80394732527 2622.51685226804 1823.48278577709 1823.48278577709 1776.49990748194 1776.49990748194 1533.39193038705 1533.39193038705 1235.67379429524 1235.67379429524 1342.74278243593 1342.74278243593 1657.31072368022 1657.31072368022 1587.65560327539 1587.65560327539 2027.10994482836 3108.35447596478 2675.58721018984 2675.58721018984 1699.73661549314 1699.73661549314 1742.06112928309 1742.06112928309 1501.53220722203 1501.53220722203 3718.70972337714 2675.58721018984 2675.58721018984 1699.73661549314
"X3" 4826.11108573742 4376.12446344862 4376.12446344862 4826.11108573742 4826.11108573742 4402.09239890058 4402.09239890058 4498.00128710062 3395.99045212952 3395.99045212952 3849.12430175737 3849.12430175737 4470.6826177171 4470.6826177171 4531.21056101675 4531.21056101675 3395.99045212952 3395.99045212952 3025.28559457801 3025.28559457801 4146.59141227482 4146.59141227482 5445.36698124293 3655.78791831226 2923.80272299278 2923.80272299278 2372.40512163625 2372.40512163625 2680.62916789812 2680.62916789812 3582.88540748026 3582.88540748026 4810.94941918979 4810.94941918979 4660.55853699259 3286.95750756206 3655.78791831226 3655.78791831226 2923.80272299278 2923.80272299278 2372.40512163625 2372.40512163625 2440.86077629524 2440.86077629524 2824.25300664158 2824.25300664158 3479.3683412067 3479.3683412067 4113.71609212566 2197.37220003625 1983.20809569205 1983.20809569205 1864.43306910132 1864.43306910132 2022.85525460354 2022.85525460354 2266.43237606801 2266.43237606801 2312.36188440777 2312.36188440777 2738.68888755076 2738.68888755076 3362.57871621731 3362.57871621731 4090.96207897516 1983.20809569205 1864.43306910132 1864.43306910132 2022.85525460354 2022.85525460354 2111.24050231102 2111.24050231102 1934.68711278695 1934.68711278695 2120.48733748996 2120.48733748996 2479.74271549574 2479.74271549574 2783.57816638864 2783.57816638864 3591.32158094053 2313.6933823132 1738.64148613863 1738.64148613863 1639.55691423561 1639.55691423561 1886.6906921484 1886.6906921484 1651.64580432271 1651.64580432271 1844.0812003587 1844.0812003587 1951.40036367879 1951.40036367879 2427.31407948867 2427.31407948867 3259.08885200626 3259.08885200626 2313.6933823132 1738.64148613863 1738.64148613863 1639.55691423561 1639.55691423561 1277.58480636851 1277.58480636851 982.939536416576 982.939536416576 1195.47695589396 1195.47695589396 1399.99879869933 1399.99879869933 1547.41049604719 1547.41049604719 2216.99069117582 2965.70839367289 2350.16048029008 2350.16048029008 1491.42909141367 1491.42909141367 1377.66980762603 1377.66980762603 1147.21140702755 1147.21140702755 3771.36767370304 2350.16048029008 2350.16048029008 1491.42909141367
"X4" 4958.2914345627 4594.1414909853 4594.1414909853 4958.2914345627 4958.2914345627 4601.67383561927 4601.67383561927 4486.45671980967 3473.56412107682 3473.56412107682 3728.13746382509 3728.13746382509 4442.55027931858 4442.55027931858 4662.57612778513 4662.57612778513 3473.56412107682 3473.56412107682 3138.56009975849 3138.56009975849 4267.61007761637 4267.61007761637 5661.90692632708 3817.23454845092 3032.20777512441 3032.20777512441 2329.31660181429 2329.31660181429 2612.39520648424 2612.39520648424 3441.58465792973 3441.58465792973 4680.38969459264 4680.38969459264 4607.75318004708 3163.1389000658 3817.23454845092 3817.23454845092 3032.20777512441 3032.20777512441 2329.31660181429 2329.31660181429 2370.77591578238 2370.77591578238 2862.20758290389 2862.20758290389 3791.032530847 3791.032530847 4278.93633870408 2174.38187314861 1908.34436546852 1908.34436546852 1802.18760310343 1802.18760310343 1939.42447077464 1939.42447077464 2106.4696841161 2106.4696841161 2058.10324160056 2058.10324160056 2602.88130502456 2602.88130502456 3150.5536966518 3150.5536966518 3873.49782311461 1908.34436546852 1802.18760310343 1802.18760310343 1939.42447077464 1939.42447077464 1949.92824179382 1949.92824179382 1708.43324322412 1708.43324322412 1907.7063449787 1907.7063449787 2453.40981042951 2453.40981042951 2976.96006059054 2976.96006059054 3661.05666630751 2050.7884832601 1659.09244418189 1659.09244418189 1512.60198783542 1512.60198783542 1596.13760189464 1596.13760189464 1252.10447271082 1252.10447271082 1466.75251352148 1466.75251352148 1592.34329076062 1592.34329076062 2065.58482115138 2065.58482115138 3161.54581178161 3161.54581178161 2050.7884832601 1659.09244418189 1659.09244418189 1512.60198783542 1512.60198783542 1066.5376554142 1066.5376554142 801.903018990505 801.903018990505 1090.39296594029 1090.39296594029 1200.86101374119 1200.86101374119 1541.00642775182 1541.00642775182 2394.2382780867 2849.80148420321 2065.85220304205 2065.85220304205 1307.16702802783 1307.16702802783 1065.73012306972 1065.73012306972 852.081889844379 852.081889844379 3818.91469357861 2065.85220304205 2065.85220304205 1307.16702802783
"X5" 5090.7396456256 4865.1760513546 4865.1760513546 5090.7396456256 5090.7396456256 4793.68601981595 4793.68601981595 4494.77187106597 3570.19740743157 3570.19740743157 3691.07183876386 3691.07183876386 4439.15580514751 4439.15580514751 4785.48708759146 4785.48708759146 3570.19740743157 3570.19740743157 3254.3152044945 3254.3152044945 4365.99702029117 4365.99702029117 5798.34114204002 3961.10377071023 3131.23996950039 3131.23996950039 2304.04899578198 2304.04899578198 2597.78131717897 2597.78131717897 3355.46632893815 3355.46632893815 4572.87878218692 4572.87878218692 4534.36265535662 3074.57636443497 3961.10377071023 3961.10377071023 3131.23996950039 3131.23996950039 2304.04899578198 2304.04899578198 2306.26798145519 2306.26798145519 2868.90366926021 2868.90366926021 3992.56359840106 3992.56359840106 4362.85841899662 2182.59902617349 1864.64748324846 1864.64748324846 1760.22000110728 1760.22000110728 1870.82388855152 1870.82388855152 1978.62233644869 1978.62233644869 1856.70759389199 1856.70759389199 2487.12839613943 2487.12839613943 2967.96055933326 2967.96055933326 3684.30072497316 1864.64748324846 1760.22000110728 1760.22000110728 1870.82388855152 1870.82388855152 1794.43971586421 1794.43971586421 1520.15991927064 1520.15991927064 1741.51925727531 1741.51925727531 2445.88466594629 2445.88466594629 3125.32939199493 3125.32939199493 3694.62359841179 1853.91353480452 1589.4244192105 1589.4244192105 1403.11574996652 1403.11574996652 1350.94724236294 1350.94724236294 940.146424406578 940.146424406578 1181.32371173258 1181.32371173258 1349.9790654167 1349.9790654167 1711.25642165082 1711.25642165082 3073.06421780023 3073.06421780023 1853.91353480452 1589.4244192105 1589.4244192105 1403.11574996652 1403.11574996652 918.204465700323 918.204465700323 716.430730474685 716.430730474685 1042.49979786591 1042.49979786591 1082.97688626117 1082.97688626117 1576.25256215728 1576.25256215728 2547.20214917321 2769.60602308423 1843.21534983921 1843.21534983921 1159.46261443995 1159.46261443995 853.590617034621 853.590617034621 642.731568245165 642.731568245165 3848.90249494514 1843.21534983921 1843.21534983921 1159.46261443995
"X6" 5219.77156366336 5082.32701061977 5082.32701061977 5219.77156366336 5219.77156366336 4971.83738829576 4971.83738829576 4523.14860344954 3687.28382188317 3687.28382188317 3751.61042456746 3751.61042456746 4461.7367135985 4461.7367135985 4894.3156302255 4894.3156302255 3687.28382188317 3687.28382188317 3370.78166004789 3370.78166004789 4436.11232068693 4436.11232068693 5839.08379702601 4078.59758901323 3217.44486291948 3217.44486291948 2300.54308016092 2300.54308016092 2646.36559570882 2646.36559570882 3335.47143880139 3335.47143880139 4495.07918737747 4495.07918737747 4436.90340323211 3021.55908189716 4078.59758901323 4078.59758901323 3217.44486291948 3217.44486291948 2300.54308016092 2300.54308016092 2251.6110526642 2251.6110526642 2840.94489821146 2840.94489821146 4062.25811700659 4062.25811700659 4350.10632012968 2219.75428204166 1856.97726567915 1856.97726567915 1742.77404503715 1742.77404503715 1821.62887125928 1821.62887125928 1892.43319709539 1892.43319709539 1723.08175580986 1723.08175580986 2396.69779557649 2396.69779557649 2823.09586357715 2823.09586357715 3527.40501065953 1856.97726567915 1742.77404503715 1742.77404503715 1821.62887125928 1821.62887125928 1650.74287315209 1650.74287315209 1378.97034625562 1378.97034625562 1630.69196702496 1630.69196702496 2456.5839739115 2456.5839739115 3214.28367213317 3214.28367213317 3683.41274513717 1735.75680862247 1533.40616930471 1533.40616930471 1317.08102161064 1317.08102161064 1162.63370363677 1162.63370363677 736.330773777552 736.330773777552 1007.9844836401 1007.9844836401 1245.79500647828 1245.79500647828 1507.08566415307 1507.08566415307 2995.26463556972 2995.26463556972 1735.75680862247 1533.40616930471 1533.40616930471 1317.08102161064 1317.08102161064 843.138446112917 843.138446112917 737.945124715416 737.945124715416 1059.6895419763 1059.6895419763 1059.62841938393 1059.62841938393 1655.38141338703 1655.38141338703 2666.27481893087 2729.40189695929 1696.09491681213 1696.09491681213 1057.08688063355 1057.08688063355 771.641811788613 771.641811788613 535.552716161341 535.552716161341 3850.27413842134 1696.09491681213 1696.09491681213 1057.08688063355
"X7" 5339.98886767316 5226.88685120009 5226.88685120009 5339.98886767316 5339.98886767316 5131.62597590793 5131.62597590793 4564.89208825138 3819.16630291964 3819.16630291964 3893.82842538326 3893.82842538326 4502.96272069471 4502.96272069471 4985.13737038085 4985.13737038085 3819.16630291964 3819.16630291964 3485.01855031705 3485.01855031705 4479.40092521823 4479.40092521823 5796.03461418564 4166.65359516551 3290.04172504678 3290.04172504678 2316.85897948064 2316.85897948064 2749.16971361752 2749.16971361752 3373.27655388942 3373.27655388942 4445.46337715082 4445.46337715082 4319.73401253785 2994.61052911919 4166.65359516551 4166.65359516551 3290.04172504678 3290.04172504678 2316.85897948064 2316.85897948064 2209.63100635166 2209.63100635166 2786.58454033995 2786.58454033995 4017.19920439902 4017.19920439902 4253.582884036 2275.22585864497 1879.40351657504 1879.40351657504 1747.42136507311 1747.42136507311 1791.85056876861 1791.85056876861 1847.33665520514 1847.33665520514 1654.88118295076 1654.88118295076 2331.95641226868 2331.95641226868 2714.94972905586 2714.94972905586 3399.89185462671 1879.40351657504 1747.42136507311 1747.42136507311 1791.85056876861 1791.85056876861 1524.10440915409 1524.10440915409 1283.51076619051 1283.51076619051 1570.51240718155 1570.51240718155 2480.36726433678 2480.36726433678 3246.12588191782 3246.12588191782 3630.87035949505 1687.51174071151 1491.85559314555 1491.85559314555 1255.35353263771 1255.35353263771 1031.11809591703 1031.11809591703 632.962078103927 632.962078103927 936.696906380773 936.696906380773 1261.6557487459 1261.6557487459 1453.7310700441 1453.7310700441 2926.47047745488 2926.47047745488 1687.51174071151 1491.85559314555 1491.85559314555 1255.35353263771 1255.35353263771 832.065917762835 832.065917762835 846.383678941092 846.383678941092 1131.31304648329 1131.31304648329 1116.98618671267 1116.98618671267 1766.95381894874 1766.95381894874 2749.97423982229 2721.17289159751 1618.3173026297 1618.3173026297 997.614617272084 997.614617272084 802.629159068703 802.629159068703 518.494453464822 518.494453464822 3820.59675695583 1618.3173026297 1618.3173026297 997.614617272084
"X8" 5445.55504175889 5302.19062955218 5302.19062955218 5445.55504175889 5445.55504175889 5268.97966986807 5268.97966986807 4611.59303239804 3958.43603675256 3958.43603675256 4094.46484582035 4094.46484582035 4553.37567819097 4553.37567819097 5054.43704741741 5054.43704741741 3958.43603675256 3958.43603675256 3593.78903599486 3593.78903599486 4499.05593555536 4499.05593555536 5687.89538066979 4223.61688959596 3348.90609028134 3348.90609028134 2349.60336257635 2349.60336257635 2892.62048565472 2892.62048565472 3455.78972645011 3455.78972645011 4420.48010481453 4420.48010481453 4189.15802164529 2981.83475187657 4223.61688959596 4223.61688959596 3348.90609028134 3348.90609028134 2349.60336257635 2349.60336257635 2182.80368568831 2182.80368568831 2716.9679900703 2716.9679900703 3884.0723431304 3884.0723431304 4093.1920701139 2336.3166058994 1923.32298268853 1923.32298268853 1770.0841657213 1770.0841657213 1780.3761608858 1780.3761608858 1840.27560738063 1840.27560738063 1645.50464899022 1645.50464899022 2292.22165162462 2292.22165162462 2640.21758010538 2640.21758010538 3297.44857625864 1923.32298268853 1770.0841657213 1770.0841657213 1780.3761608858 1780.3761608858 1419.63266509126 1419.63266509126 1229.8532986518 1229.8532986518 1552.94283488753 1552.94283488753 2510.96550366245 2510.96550366245 3227.28664356953 3227.28664356953 3543.42199337042 1695.05699124347 1464.86593153922 1464.86593153922 1217.52894574863 1217.52894574863 953.82576456531 953.82576456531 615.36644148243 615.36644148243 949.952372183374 949.952372183374 1369.61910791071 1369.61910791071 1516.3187621641 1516.3187621641 2864.18848531494 2864.18848531494 1695.05699124347 1464.86593153922 1464.86593153922 1217.52894574863 1217.52894574863 870.81006995686 870.81006995686 1013.88198727052 1013.88198727052 1242.12996110311 1242.12996110311 1234.50928018074 1234.50928018074 1896.13810558345 1896.13810558345 2798.81869527798 2733.85401881474 1598.76321361684 1598.76321361684 975.858497681179 975.858497681179 917.484441474084 917.484441474084 572.470015569284 572.470015569284 3759.56739723285 1598.76321361684 1598.76321361684 975.858497681179
"X9" 5530.61607371032 5311.57680626733 5311.57680626733 5530.61607371032 5530.61607371032 5379.80005886283 5379.80005886283 4654.84793225563 4097.69231112905 4097.69231112905 4330.32539604445 4330.32539604445 4603.52808241605 4603.52808241605 5098.67461702032 5098.67461702032 4097.69231112905 4097.69231112905 3693.84967384496 3693.84967384496 4498.2429163021 4498.2429163021 5533.29270161689 4247.79677247046 3393.89747572633 3393.89747572633 2395.40194279722 2395.40194279722 3063.1913489075 3063.1913489075 3569.97038857049 3569.97038857049 4416.60624708721 4416.60624708721 4051.46384952207 2971.35501502809 4247.79677247046 4247.79677247046 3393.89747572633 3393.89747572633 2395.40194279722 2395.40194279722 2173.62267477227 2173.62267477227 2643.22334728028 2643.22334728028 3689.46189387109 3689.46189387109 3888.76464657773 2390.33576572912 1980.15728056941 1980.15728056941 1806.70562967315 1806.70562967315 1786.11425430998 1786.11425430998 1868.2370021426 1868.2370021426 1688.41887362776 1688.41887362776 2276.83986395028 2276.83986395028 2595.63385844702 2595.63385844702 3215.79178745847 1980.15728056941 1806.70562967315 1806.70562967315 1786.11425430998 1786.11425430998 1342.46240374834 1342.46240374834 1214.11941367142 1214.11941367142 1569.99633496992 1569.99633496992 2542.11870008345 2542.11870008345 3164.13835493498 3164.13835493498 3427.45319894007 1744.33669018239 1452.5475825662 1452.5475825662 1203.23099307326 1203.23099307326 928.245261885187 928.245261885187 668.969280707602 668.969280707602 1030.34059764349 1030.34059764349 1541.84910822315 1541.84910822315 1659.9231085943 1659.9231085943 2805.93331038086 2805.93331038086 1744.33669018239 1452.5475825662 1452.5475825662 1203.23099307326 1203.23099307326 945.252592625966 945.252592625966 1212.64348829174 1212.64348829174 1376.94512583746 1376.94512583746 1391.72669015286 1391.72669015286 2028.12369672344 2028.12369672344 2813.28639304376 2756.40419436708 1626.38130497704 1626.38130497704 986.675272288695 986.675272288695 1087.24252141749 1087.24252141749 678.474877000135 678.474877000135 3666.84903830125 1626.38130497704 1626.38130497704 986.675272288695
"X10" 5589.29379777498 5258.38903138222 5258.38903138222 5589.29379777498 5589.29379777498 5459.95775910141 5459.95775910141 4686.24951608955 4229.53408887051 4229.53408887051 4578.25612364665 4578.25612364665 4643.97233061719 4643.97233061719 5114.28123404057 5114.28123404057 4229.53408887051 4229.53408887051 3781.94671843221 3781.94671843221 4480.10349114998 4480.10349114998 5350.79915958131 4237.46482328946 3424.85921801484 3424.85921801484 2450.89564100197 2450.89564100197 3247.38697924116 3247.38697924116 3702.81452893551 3702.81452893551 4430.34280625098 4430.34280625098 3912.9319502147 2951.30031173574 4237.46482328946 4237.46482328946 3424.85921801484 3424.85921801484 2450.89564100197 2450.89564100197 2184.60213346014 2184.60213346014 2576.47405697339 2576.47405697339 3459.88130304642 3459.88130304642 3660.08074648991 2424.58451614922 2041.34315751223 2041.34315751223 1853.24530711667 1853.24530711667 1807.99364511869 1807.99364511869 1928.24841014475 1928.24841014475 1777.15109903406 1777.15109903406 2285.18560804399 2285.18560804399 2577.96832545329 2577.96832545329 3150.66255957991 2041.34315751223 1853.24530711667 1853.24530711667 1807.99364511869 1807.99364511869 1297.76065944246 1297.76065944246 1232.47552778441 1232.47552778441 1613.72775458537 1613.72775458537 2567.56879215893 2567.56879215893 3063.00243062237 3063.00243062237 3289.31680096115 1821.34446822388 1455.02823556041 1455.02823556041 1212.11105760642 1212.11105760642 951.925510922172 951.925510922172 779.278783929971 779.278783929971 1160.52987077223 1160.52987077223 1750.58438888979 1750.58438888979 1849.52885621795 1849.52885621795 2749.22470687375 2749.22470687375 1821.34446822388 1455.02823556041 1455.02823556041 1212.11105760642 1212.11105760642 1041.3176516549 1041.3176516549 1414.90790051217 1414.90790051217 1520.59131022733 1520.59131022733 1568.21405094606 1568.21405094606 2148.10427646604 2148.10427646604 2793.81600333827 2777.79369507827 1690.17563324724 1690.17563324724 1024.95992878406 1024.95992878406 1283.00892418441 1283.00892418441 817.565185156118 817.565185156118 3542.07021248222 1690.17563324724 1690.17563324724 1024.95992878406
