"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 3594.81613340713 3594.81613340713 4200.05649914844 4571.51313104591 3174.06490774741 3174.06490774741 3027.44454896356 3027.44454896356 3927.96104545556 3927.96104545556 3495.83144611088 3495.83144611088 4894.37003706537 3946.14096955477 3225.98589931328 3225.98589931328 3045.74418440502 3045.74418440502 3206.81220246039 3927.96104545556 3927.96104545556 3495.83144611088 3495.83144611088 3643.35602489184 3643.35602489184 3020.32777017733 3020.32777017733 2852.14270417931 2852.14270417931 3206.97501723394 3206.97501723394 4423.33129651664 3065.4350165603 3065.4350165603 2316.87544143359 2316.87544143359 3824.33295772742 3824.33295772742 3143.88352135425 3143.88352135425 2849.34491559614 2849.34491559614 3089.38025135633 3089.38025135633 2733.86315733307 2733.86315733307 3007.45606004056 3007.45606004056 3712.17289617486 3712.17289617486 4914.590220128 2745.10053211086 3010.69859090914 3010.69859090914 3629.12239388909 3629.12239388909 2983.32360798779 2983.32360798779 3023.08852851995 2982.53433321035 2982.53433321035 2970.00219802632 3773.50284341452
"X2" 3119.14017449135 3119.14017449135 3912.52507422678 4439.35852703424 3173.96754619212 3173.96754619212 2892.48471073485 2892.48471073485 4010.7797634754 4010.7797634754 3714.62250544324 3714.62250544324 4616.49517898222 4260.04684266811 3074.7266517921 3074.7266517921 2882.66607272017 2882.66607272017 2855.30980899927 4010.7797634754 4010.7797634754 3714.62250544324 3714.62250544324 3647.50817539418 3647.50817539418 3074.78004216657 3074.78004216657 2723.53600088366 2723.53600088366 2985.76895461042 2985.76895461042 4099.27238220743 2932.6523637563 2932.6523637563 2251.83054209887 2251.83054209887 3495.13132457835 3495.13132457835 2995.16737905359 2995.16737905359 2725.01817576476 2725.01817576476 3052.22012226783 3052.22012226783 2627.92144162221 2627.92144162221 2875.71425187385 2875.71425187385 3375.68224923353 3375.68224923353 4300.1639887246 2619.99669089174 2916.77311800321 2916.77311800321 3414.14279479547 3414.14279479547 2945.05831889577 2945.05831889577 3097.87408977735 2920.42653247078 2920.42653247078 3159.23330252709 3440.15364320941
"X3" 2946.73903948051 2946.73903948051 3743.74111617991 4363.95470868221 3175.01053153392 3175.01053153392 2770.1139708193 2770.1139708193 4085.50109792764 4085.50109792764 3919.50990830486 3919.50990830486 4475.04709673702 4096.82440029398 2931.96894172853 2931.96894172853 2733.31018662084 2733.31018662084 2868.7918824607 4085.50109792764 4085.50109792764 3919.50990830486 3919.50990830486 3840.15087421059 3840.15087421059 3128.41184377446 3128.41184377446 2607.57765254067 2607.57765254067 2782.55413594779 2782.55413594779 3795.26585492753 2807.31277426206 2807.31277426206 2201.3140636912 2201.3140636912 3183.98931529306 3183.98931529306 2853.85765446269 2853.85765446269 2613.0765497663 2613.0765497663 3021.11112098234 3021.11112098234 2532.3023010358 2532.3023010358 2749.52532859012 2749.52532859012 3063.60009222745 3063.60009222745 3793.98411888321 2505.23758531943 2827.53815145674 2827.53815145674 3216.32287674759 3216.32287674759 2908.43928926455 2908.43928926455 3058.68605532624 2861.27141844955 2861.27141844955 2996.89463100598 3123.84539763999
"X4" 2960.20408658759 2960.20408658759 3653.11044197755 4322.04019936731 3177.04878901772 3177.04878901772 2674.79621830766 2674.79621830766 4139.96080030819 4139.96080030819 4086.51739094711 4086.51739094711 4413.31601165538 3688.46046636833 2810.8288791925 2810.8288791925 2614.94850206788 2614.94850206788 3085.61932782782 4139.96080030819 4139.96080030819 4086.51739094711 4086.51739094711 4108.77941829093 4108.77941829093 3176.99515945904 3176.99515945904 2519.12121881035 2519.12121881035 2622.07364909135 2622.07364909135 3535.88193757854 2696.83424433767 2696.83424433767 2172.54942317579 2172.54942317579 2921.70077430109 2921.70077430109 2733.03059974073 2733.03059974073 2527.94922439322 2527.94922439322 3002.64673052144 3002.64673052144 2457.84277945861 2457.84277945861 2639.31236568786 2639.31236568786 2811.13679806011 2811.13679806011 3414.38542985644 2413.48973512721 2750.84314730224 2750.84314730224 3058.19086095707 3058.19086095707 2876.4402888075 2876.4402888075 2974.55839050162 2810.26399983141 2810.26399983141 2677.06066179124 2851.78470446356
"X5" 3046.0243841396 3046.0243841396 3600.21705910796 4289.93651392958 3178.36720244049 3178.36720244049 2614.81314495943 2614.81314495943 4164.7301275886 4164.7301275886 4197.10067399436 4197.10067399436 4377.70388082603 3243.55466063706 2720.19389519739 2720.19389519739 2538.12224031454 2538.12224031454 3353.91870154114 4164.7301275886 4164.7301275886 4197.10067399436 4197.10067399436 4352.05568394586 4352.05568394586 3214.75402431368 3214.75402431368 2467.15464396277 2467.15464396277 2521.41493012835 2521.41493012835 3338.99874157185 2604.78493549429 2604.78493549429 2166.322653729 2166.322653729 2730.67690083188 2730.67690083188 2641.71115473164 2641.71115473164 2478.30719540448 2478.30719540448 3000.55225784121 3000.55225784121 2410.37528328649 2410.37528328649 2553.13166894302 2553.13166894302 2642.0064843932 2642.0064843932 3167.20615621639 2352.33058741532 2692.18544978243 2692.18544978243 2954.07476128043 2954.07476128043 2851.29830411246 2851.29830411246 2902.44785499873 2771.38686316881 2771.38686316881 2369.17512826503 2644.13283296938
"X6" 3112.25996430092 3112.25996430092 3551.80127471824 4248.21947354456 3177.06643718944 3177.06643718944 2594.15850067028 2594.15850067028 4153.8593180297 4153.8593180297 4239.36645531066 4239.36645531066 4325.5157511092 2924.00756686521 2665.36167535505 2665.36167535505 2508.36016288769 2508.36016288769 3552.85641079425 4153.8593180297 4153.8593180297 4239.36645531066 4239.36645531066 4492.16932912283 4492.16932912283 3236.79277749538 3236.79277749538 2456.37131991787 2456.37131991787 2490.73821523957 2490.73821523957 3215.85430016106 2532.79156374045 2532.79156374045 2180.78875180537 2180.78875180537 2625.08846230546 2625.08846230546 2585.4818783956 2585.4818783956 2468.6413088231 2468.6413088231 3016.54763135253 3016.54763135253 2392.48739015832 2392.48739015832 2496.49959957217 2496.49959957217 2570.06963999974 2570.06963999974 3050.6350128193 2325.67150160175 2655.08332268032 2655.08332268032 2911.88308479943 2911.88308479943 2834.55687347006 2834.55687347006 2884.04854466207 2747.3507401006 2747.3507401006 2201.80079407101 2513.94158361348
"X7" 3141.97517772744 3141.97517772744 3500.42649864212 4193.38769396758 3171.9158600035 3171.9158600035 2606.0172662804 2606.0172662804 4112.1830029076 4112.1830029076 4221.8203068831 4221.8203068831 4251.24158982499 2741.41718504541 2641.78366018755 2641.78366018755 2518.13135577906 2518.13135577906 3666.51846397526 4112.1830029076 4112.1830029076 4221.8203068831 4221.8203068831 4528.36833848021 4528.36833848021 3242.89738057205 3242.89738057205 2480.36144332779 2480.36144332779 2520.71987116309 2520.71987116309 3158.45253270154 2478.5566257117 2478.5566257117 2209.73984704939 2209.73984704939 2595.35322845558 2595.35322845558 2560.50431807683 2560.50431807683 2492.67716923099 2492.67716923099 3047.26758374615 3047.26758374615 2398.8718170905 2398.8718170905 2467.45621673037 2467.45621673037 2582.02256572394 2582.02256572394 3044.28939087466 2328.02098584466 2637.67129410079 2637.67129410079 2922.43992610727 2922.43992610727 2825.80482781846 2825.80482781846 2915.63249185926 2737.1457069702 2737.1457069702 2175.09350429683 2453.62207318609
"X8" 3137.01288152028 3137.01288152028 3445.10565247352 4125.90537818576 3161.84826403767 3161.84826403767 2640.89802971681 2640.89802971681 4047.20642589377 4047.20642589377 4158.01803571209 4158.01803571209 4158.65069635675 2669.68758564875 2642.47553587611 2642.47553587611 2556.6716582655 2556.6716582655 3705.21056446552 4047.20642589377 4047.20642589377 4158.01803571209 4158.01803571209 4479.10273220933 4479.10273220933 3234.01007221887 3234.01007221887 2529.96781451123 2529.96781451123 2597.21524343705 2597.21524343705 3154.04399371266 2438.81606467654 2438.81606467654 2245.88779380744 2245.88779380744 2626.013509185 2626.013509185 2560.61070735426 2560.61070735426 2541.47658705299 2541.47658705299 3088.08745295702 3088.08745295702 2422.26692549459 2422.26692549459 2462.19608838231 2462.19608838231 2657.83937032457 2657.83937032457 3123.2116319025 2351.56031316954 2636.75468872504 2636.75468872504 2972.34154027568 2972.34154027568 2824.14919338781 2824.14919338781 2982.02995136421 2738.84345407777 2738.84345407777 2256.99058108343 2450.48374144156
"X9" 3099.26123885947 3099.26123885947 3384.84477584427 4046.21836845153 3145.79071078285 3145.79071078285 2689.33536221955 2689.33536221955 3966.40774841634 3966.40774841634 4061.46202790013 4061.46202790013 4051.49611271477 2682.52890577554 2660.48100292827 2660.48100292827 2613.24950856609 2613.24950856609 3679.24294539234 3966.40774841634 3966.40774841634 4061.46202790013 4061.46202790013 4362.7608550911 4362.7608550911 3211.05549229785 3211.05549229785 2596.06291248137 2596.06291248137 2706.13336194977 2706.13336194977 3189.94095304098 2410.32223679237 2410.32223679237 2281.9523236606 2281.9523236606 2701.68096074797 2701.68096074797 2579.66214033954 2579.66214033954 2606.1300736163 2606.1300736163 3134.39437119585 3134.39437119585 2455.43049185497 2455.43049185497 2476.94151071919 2476.94151071919 2777.56774492198 2777.56774492198 3262.5127889419 2388.49507561898 2649.15811764776 2649.15811764776 3048.22979072711 3048.22979072711 2828.70526448056 2828.70526448056 3067.93899230903 2750.52949806479 2750.52949806479 2415.23466775464 2491.90208784482
"X10" 3030.65411115809 3030.65411115809 3318.64083613973 3954.75410927495 3122.66331318633 3122.66331318633 2741.87904683249 2741.87904683249 3877.24654898893 3877.24654898893 3945.61658554289 3945.61658554289 3933.51770253596 2753.42840727848 2688.86387391873 2688.86387391873 2677.15373666492 2677.15373666492 3598.93975250016 3877.24654898893 3877.24654898893 3945.61658554289 3945.61658554289 4197.6888241015 4197.6888241015 3174.94173420467 3174.94173420467 2669.53851263631 2669.53851263631 2833.42091847944 2833.42091847944 3253.50294746091 2389.84020413884 2389.84020413884 2310.65272417856 2310.65272417856 2807.01910445375 2807.01910445375 2611.54160259181 2611.54160259181 2677.74670669275 2677.74670669275 3181.58201921294 3181.58201921294 2491.13146437967 2491.13146437967 2507.93821920402 2507.93821920402 2921.30628718752 2921.30628718752 3437.34332313319 2431.04631983285 2671.72187359618 2671.72187359618 3136.77696521805 3136.77696521805 2838.59559852286 2838.59559852286 3157.90736103789 2770.30100653548 2770.30100653548 2617.33696455665 2565.30432094524
