"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 3510.2397259323 3510.2397259323 3597.95586780453 3597.95586780453 3510.2397259323 3510.2397259323 3155.50236817987 3155.50236817987 3597.95586780453 3597.95586780453 3597.95586780453 3597.95586780453 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3155.50236817987 3155.50236817987 3155.50236817987 3597.95586780453 3597.95586780453 3597.95586780453 3597.95586780453 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3155.50236817987 3155.50236817987 3155.50236817987 3121.70859345104 3121.70859345104 3121.70859345104 3121.70859345104 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3510.2397259323 3155.50236817987 3155.50236817987 3125.48850924389 3125.48850924389 3125.48850924389 3125.48850924389 3125.48850924389 3125.48850924389 3698.33108275672 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152 3177.14253675152
"X2" 3307.98395572243 3307.98395572243 3303.97831087968 3303.97831087968 3307.98395572243 3307.98395572243 3037.74639646064 3037.74639646064 3303.97831087968 3303.97831087968 3303.97831087968 3303.97831087968 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3037.74639646064 3037.74639646064 3037.74639646064 3303.97831087968 3303.97831087968 3303.97831087968 3303.97831087968 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3037.74639646064 3037.74639646064 3037.74639646064 2841.28443743115 2841.28443743115 2841.28443743115 2841.28443743115 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3307.98395572243 3037.74639646064 3037.74639646064 3085.16975552345 3085.16975552345 3085.16975552345 3085.16975552345 3085.16975552345 3085.16975552345 3431.53846272054 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726 3080.13993124726
"X3" 3238.93972363877 3238.93972363877 3216.75051150893 3216.75051150893 3238.93972363877 3238.93972363877 2937.12796961117 2937.12796961117 3216.75051150893 3216.75051150893 3216.75051150893 3216.75051150893 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 2937.12796961117 2937.12796961117 2937.12796961117 3216.75051150893 3216.75051150893 3216.75051150893 3216.75051150893 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 2937.12796961117 2937.12796961117 2937.12796961117 2847.18391265266 2847.18391265266 2847.18391265266 2847.18391265266 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 3238.93972363877 2937.12796961117 2937.12796961117 3117.45782166503 3117.45782166503 3117.45782166503 3117.45782166503 3117.45782166503 3117.45782166503 3192.06477896303 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458 2995.07602340458
"X4" 3244.55377722405 3244.55377722405 3238.27793547991 3238.27793547991 3244.55377722405 3244.55377722405 2856.68232630075 2856.68232630075 3238.27793547991 3238.27793547991 3238.27793547991 3238.27793547991 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 2856.68232630075 2856.68232630075 2856.68232630075 3238.27793547991 3238.27793547991 3238.27793547991 3238.27793547991 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 2856.68232630075 2856.68232630075 2856.68232630075 3008.93591504026 3008.93591504026 3008.93591504026 3008.93591504026 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 3244.55377722405 2856.68232630075 2856.68232630075 3189.76322023737 3189.76322023737 3189.76322023737 3189.76322023737 3189.76322023737 3189.76322023737 3003.02765291429 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738 2931.26486532738
"X5" 3268.15316903315 3268.15316903315 3277.72497851649 3277.72497851649 3268.15316903315 3268.15316903315 2794.23457422372 2794.23457422372 3277.72497851649 3277.72497851649 3277.72497851649 3277.72497851649 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 2794.23457422372 2794.23457422372 2794.23457422372 3277.72497851649 3277.72497851649 3277.72497851649 3277.72497851649 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 2794.23457422372 2794.23457422372 2794.23457422372 3203.07915876874 3203.07915876874 3203.07915876874 3203.07915876874 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 3268.15316903315 2794.23457422372 2794.23457422372 3267.70157608182 3267.70157608182 3267.70157608182 3267.70157608182 3267.70157608182 3267.70157608182 2876.03022589369 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491 2891.30911585491
"X6" 3264.3876788651 3264.3876788651 3264.06489698803 3264.06489698803 3264.3876788651 3264.3876788651 2746.20755279003 2746.20755279003 3264.06489698803 3264.06489698803 3264.06489698803 3264.06489698803 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 2746.20755279003 2746.20755279003 2746.20755279003 3264.06489698803 3264.06489698803 3264.06489698803 3264.06489698803 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 2746.20755279003 2746.20755279003 2746.20755279003 3331.49383389528 3331.49383389528 3331.49383389528 3331.49383389528 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 3264.3876788651 2746.20755279003 2746.20755279003 3322.74337046697 3322.74337046697 3322.74337046697 3322.74337046697 3322.74337046697 3322.74337046697 2815.48961974271 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676 2874.70479997676
"X7" 3227.77658921995 3227.77658921995 3192.73213980252 3192.73213980252 3227.77658921995 3227.77658921995 2708.21258472696 2708.21258472696 3192.73213980252 3192.73213980252 3192.73213980252 3192.73213980252 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 2708.21258472696 2708.21258472696 2708.21258472696 3192.73213980252 3192.73213980252 3192.73213980252 3192.73213980252 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 2708.21258472696 2708.21258472696 2708.21258472696 3382.67223914218 3382.67223914218 3382.67223914218 3382.67223914218 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 3227.77658921995 2708.21258472696 2708.21258472696 3349.37113258417 3349.37113258417 3349.37113258417 3349.37113258417 3349.37113258417 3349.37113258417 2808.66869487265 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151 2875.05688366151
"X8" 3162.78309228873 3162.78309228873 3075.76790824451 3075.76790824451 3162.78309228873 3162.78309228873 2675.66654882719 2675.66654882719 3075.76790824451 3075.76790824451 3075.76790824451 3075.76790824451 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 2675.66654882719 2675.66654882719 2675.66654882719 3075.76790824451 3075.76790824451 3075.76790824451 3075.76790824451 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 2675.66654882719 2675.66654882719 2675.66654882719 3366.75052155914 3366.75052155914 3366.75052155914 3366.75052155914 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 3162.78309228873 2675.66654882719 2675.66654882719 3347.78978659074 3347.78978659074 3347.78978659074 3347.78978659074 3347.78978659074 3347.78978659074 2838.58374009991 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667 2884.50983823667
"X9" 3073.84623849378 3073.84623849378 2925.21779287975 2925.21779287975 3073.84623849378 3073.84623849378 2643.99396121578 2643.99396121578 2925.21779287975 2925.21779287975 2925.21779287975 2925.21779287975 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 2643.99396121578 2643.99396121578 2643.99396121578 2925.21779287975 2925.21779287975 2925.21779287975 2925.21779287975 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 2643.99396121578 2643.99396121578 2643.99396121578 3293.8689278675 3293.8689278675 3293.8689278675 3293.8689278675 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 3073.84623849378 2643.99396121578 2643.99396121578 3318.16571393851 3318.16571393851 3318.16571393851 3318.16571393851 3318.16571393851 3318.16571393851 2888.29219377826 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203 2895.21786448203
"X10" 2965.38486422074 2965.38486422074 2753.14416085446 2753.14416085446 2965.38486422074 2965.38486422074 2608.62170315586 2608.62170315586 2753.14416085446 2753.14416085446 2753.14416085446 2753.14416085446 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2608.62170315586 2608.62170315586 2608.62170315586 2753.14416085446 2753.14416085446 2753.14416085446 2753.14416085446 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2608.62170315586 2608.62170315586 2608.62170315586 3174.18160044326 3174.18160044326 3174.18160044326 3174.18160044326 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2965.38486422074 2608.62170315586 2608.62170315586 3260.6262368708 3260.6262368708 3260.6262368708 3260.6262368708 3260.6262368708 3260.6262368708 2940.87331989648 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987 2899.33595311987
