"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 3682.22755374399 3329.84574496966 2962.55752780324 3025.98004209913 2986.44293188719 2926.69917071236 3288.48805592092 2962.55752780324 3025.98004209913 2986.44293188719 2926.69917071236 3356.69475941454 2750.89431442317 2762.78480968099 2539.56844000664 2439.22702270712 3394.25478005323 3356.69475941454 2750.89431442317 2762.78480968099 2539.56844000664 2439.22702270712 3394.25478005323 2731.89449874808 2508.11369403567 2508.11369403567 2653.0675368727 2653.0675368727 3620.29768835853
"X2" 3851.22750932883 3500.96697388661 2985.60867368203 2945.62107117059 2932.18060105524 3008.20636210807 3456.91278209937 2985.60867368203 2945.62107117059 2932.18060105524 3008.20636210807 3139.42984004107 2658.63415760381 2645.14416619298 2468.04279714048 2560.05816427358 3321.9408478491 3139.42984004107 2658.63415760381 2645.14416619298 2468.04279714048 2560.05816427358 3321.9408478491 2644.43239430651 2371.65867279147 2371.65867279147 2601.97519221616 2601.97519221616 3631.38322319844
"X3" 3730.61133195309 3470.07289975341 3003.34092564092 2865.02543203645 2877.09946497525 3082.12423183313 3402.45279323955 3003.34092564092 2865.02543203645 2877.09946497525 3082.12423183313 2928.55896469647 2568.9823956277 2531.48662231548 2400.17873675714 2674.78668913007 3249.31120641573 2928.55896469647 2568.9823956277 2531.48662231548 2400.17873675714 2674.78668913007 3249.31120641573 2560.35875248162 2242.76528815785 2242.76528815785 2552.28016502649 2552.28016502649 3637.34033743513
"X4" 3453.53293742762 3325.23973557377 3009.10866978062 2787.03104663667 2823.11311953864 3138.36541995018 3218.96989550138 3009.10866978062 2787.03104663667 2823.11311953864 3138.36541995018 2739.94084858885 2488.75849032479 2430.99868609563 2342.66110534465 2772.54501902659 3178.42783006358 2739.94084858885 2488.75849032479 2430.99868609563 2342.66110534465 2772.54501902659 3178.42783006358 2486.49900165093 2134.10327029416 2134.10327029416 2507.25371715797 2507.25371715797 3631.47545419939
"X5" 3140.43993649817 3147.41287896429 2997.53053508534 2713.86722048502 2772.06095854 3169.15362940981 2993.80445605887 2997.53053508534 2713.86722048502 2772.06095854 3169.15362940981 2585.91643447847 2423.44283048977 2351.01378741161 2300.14202478375 2844.27555357614 3110.76086060441 2585.91643447847 2423.44283048977 2351.01378741161 2300.14202478375 2844.27555357614 3110.76086060441 2427.86802261607 2055.08041820662 2055.08041820662 2468.84383500952 2468.84383500952 3608.2853560979
"X6" 2885.58051031979 3000.5032827154 2965.11750579052 2647.19098126828 2725.51131850836 3169.53065657489 2796.49552822438 2965.11750579052 2647.19098126828 2725.51131850836 3169.53065657489 2474.86901082534 2376.91701574441 2296.64668887884 2275.56687558548 2883.78750575771 3047.46205118185 2474.86901082534 2376.91701574441 2296.64668887884 2275.56687558548 2883.78750575771 3047.46205118185 2387.77644690012 2011.82189325882 2011.82189325882 2438.23193459376 2438.23193459376 3564.24312223354
"X7" 2698.66722645318 2892.74612933791 2914.45049174154 2587.06959544048 2684.1154531291 3143.18476109161 2637.65369256831 2914.45049174154 2587.06959544048 2684.1154531291 3143.18476109161 2403.37431797578 2348.23627921217 2266.29663440503 2267.24101064237 2894.13780216585 2989.04782491235 2403.37431797578 2348.23627921217 2266.29663440503 2267.24101064237 2894.13780216585 2989.04782491235 2364.71223394407 2000.93727619534 2000.93727619534 2414.89627351188 2414.89627351188 3502.286786965
"X8" 2568.22129473124 2818.37242358735 2849.61276852571 2533.17875491636 2648.30016412337 3095.94374128964 2513.07681084066 2849.61276852571 2533.17875491636 2648.30016412337 3095.94374128964 2365.08925901645 2335.26466186111 2256.70455540889 2272.32341452919 2880.67087502972 2935.88021949094 2365.08925901645 2335.26466186111 2256.70455540889 2272.32341452919 2880.67087502972 2935.88021949094 2355.97203348655 2016.68441130727 2016.68441130727 2397.89538541348 2397.89538541348 3426.95600569427
"X9" 2482.66964284271 2771.48884487401 2774.67123966849 2485.20155904988 2618.49890789529 3033.61135308148 2418.44557890661 2774.67123966849 2485.20155904988 2618.49890789529 3033.61135308148 2353.70868349965 2335.88458498862 2264.63559104034 2287.98858705385 2848.70368088978 2888.3274131771 2353.70868349965 2335.88458498862 2264.63559104034 2287.98858705385 2848.70368088978 2888.3274131771 2358.86905451251 2053.3519376189 2053.3519376189 2386.29499078429 2386.29499078429 3342.77511579195
"X10" 2430.33269486774 2746.07109791688 2693.68106847488 2442.82816897497 2595.15230003491 2961.97391675945 2349.31890585431 2693.68106847488 2442.82816897497 2595.15230003491 2961.97391675945 2362.95823712662 2347.99445316514 2286.8754213545 2311.42333682761 2803.53174441729 2846.76415320735 2362.95823712662 2347.99445316514 2286.8754213545 2311.42333682761 2803.53174441729 2846.76415320735 2370.73001707183 2105.25279926764 2105.25279926764 2379.16693965445 2379.16693965445 3254.25828723444
