"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 3901.23100225104 3538.41123076103 3187.86443983372 3272.88110599629 3164.5860758039 3113.76563931952 3711.04115312769 3187.86443983372 3272.88110599629 3164.5860758039 3113.76563931952 3666.54902943182 2887.42631158701 2908.99362023598 2740.31235214762 2654.36449418217 3520.22624065118 3666.54902943182 2887.42631158701 2908.99362023598 2740.31235214762 2654.36449418217 3520.22624065118 2963.9211472128 2631.41732553143 2631.41732553143 2922.91083433269 2922.91083433269 3707.22671138546
"X2" 4124.83478361261 3675.70126225986 3235.57998022065 3180.43939355633 3103.80557324146 3184.2397959945 3690.17017918011 3235.57998022065 3180.43939355633 3103.80557324146 3184.2397959945 3433.02208168495 2843.58181511993 2802.96721306734 2659.09499093673 2773.85152937427 3467.64557933115 3433.02208168495 2843.58181511993 2802.96721306734 2659.09499093673 2773.85152937427 3467.64557933115 2844.33599206946 2538.86206033218 2538.86206033218 2814.04627244762 2814.04627244762 3787.3699160895
"X3" 4047.96444585245 3692.12609583209 3275.84810970209 3087.83642806941 3042.72404903258 3247.83490078683 3596.6811216703 3275.84810970209 3087.83642806941 3042.72404903258 3247.83490078683 3208.50374983136 2800.35647131024 2700.6160463668 2581.33370476766 2885.98977920602 3414.63744855052 3208.50374983136 2800.35647131024 2700.6160463668 2581.33370476766 2885.98977920602 3414.63744855052 2728.74014529053 2450.16364283761 2450.16364283761 2708.66616982382 2708.66616982382 3859.74710483176
"X4" 3803.78716037684 3630.86057865859 3299.16114207259 2998.64725057887 2983.7304872571 3295.46062253531 3459.80048213909 3299.16114207259 2998.64725057887 2983.7304872571 3295.46062253531 3011.05583899189 2760.66304728947 2610.23436430839 2513.7443646233 2978.77402400645 3362.20174852909 3011.05583899189 2760.66304728947 2610.23436430839 2513.7443646233 2978.77402400645 3362.20174852909 2625.36241813959 2372.2600800623 2372.2600800623 2613.83164955345 2613.83164955345 3912.54428104364
"X5" 3513.56726818906 3533.15343965493 3298.11917814632 2915.92917884193 2928.98178632221 3320.01175689393 3307.39443051714 3298.11917814632 2915.92917884193 2928.98178632221 3320.01175689393 2854.15653408502 2726.62137219624 2538.41445277841 2461.51599305718 3042.6714449046 3310.89827100507 2854.15653408502 2726.62137219624 2538.41445277841 2461.51599305718 3042.6714449046 3310.89827100507 2540.69919873865 2310.42458727098 2310.42458727098 2534.88891646561 2534.88891646561 3936.26911606179
"X6" 3272.6118114022 3432.61654193213 3268.0429671672 2842.03640165615 2880.23007231137 3316.92690011218 3162.13195698308 3268.0429671672 2842.03640165615 2880.23007231137 3316.92690011218 2746.64019069371 2699.71376545066 2489.73946188691 2428.19893745032 3071.40453966391 3261.16904885515 2746.64019069371 2699.71376545066 2489.73946188691 2428.19893745032 3071.40453966391 3261.16904885515 2479.28971698703 2268.27074901869 2268.27074901869 2475.50184245786 2475.50184245786 3924.70217500676
"X7" 3091.9990678591 3337.19476883014 3212.72119745337 2777.16669609329 2837.94247684097 3289.5408177145 3029.21076617812 3212.72119745337 2777.16669609329 2837.94247684097 3289.5408177145 2683.86578259384 2679.73994540526 2462.73126892905 2412.52058552555 3068.83903429587 3213.43111674234 2683.86578259384 2679.73994540526 2462.73126892905 2412.52058552555 3068.83903429587 3213.43111674234 2439.84014130224 2244.63794586479 2244.63794586479 2434.522587937 2434.522587937 3881.98192876914
"X8" 2961.68041119743 3248.33245736858 3138.03862416337 2720.9867365201 2802.27078642196 3243.14225046864 2909.41113506298 3138.03862416337 2720.9867365201 2802.27078642196 3243.14225046864 2657.86039019932 2666.08504949994 2454.41494666789 2412.01760789154 3041.35046225696 3168.09719669805 2657.86039019932 2666.08504949994 2454.41494666789 2412.01760789154 3041.35046225696 3168.09719669805 2419.61720233129 2237.18787742048 2237.18787742048 2409.61612060504 2409.61612060504 3814.81043102346
"X9" 2871.49769346294 3167.36017520625 3049.85752835592 2673.17338038698 2773.37463800544 3182.99808413498 2803.44561051063 3049.85752835592 2673.17338038698 2773.37463800544 3182.99808413498 2660.6928149568 2658.14165977629 2461.83732495064 2424.24430105967 2995.28566199328 3125.58290963602 2660.6928149568 2658.14165977629 2461.83732495064 2424.24430105967 2995.28566199328 3125.58290963602 2415.91001347438 2243.6010984793 2243.6010984793 2398.4660836292 2398.4660836292 3729.86145505365
"X10" 2811.17261981269 3095.49594834365 2954.02438911568 2633.4133151114 2751.42171083238 3114.35934607583 2711.9595451678 2954.02438911568 2633.4133151114 2751.42171083238 3114.35934607583 2684.46457185181 2655.3091215594 2482.06364226455 2446.76981100185 2936.96999259902 3086.30725587329 2684.46457185181 2655.3091215594 2482.06364226455 2446.76981100185 2936.96999259902 3086.30725587329 2426.02699468655 2261.57438446121 2261.57438446121 2398.77216753903 2398.77216753903 3633.78808319118
"X11" 2770.29597408992 3033.84635869158 2856.37654209921 2601.40271341693 2736.58792522448 3042.46718830217 2635.53155268594 2856.37654209921 2601.40271341693 2736.58792522448 3042.46718830217 2721.30090973526 2656.99286797189 2512.17421310601 2477.17536945405 2872.71453109197 3050.69309857744 2721.30090973526 2656.99286797189 2512.17421310601 2477.17536945405 2872.71453109197 3050.69309857744 2447.29281286076 2288.81811079248 2288.81811079248 2408.2474958974 2408.2474958974 3533.23027850608
"X12" 2738.31668636116 2983.40751235622 2762.74883017482 2576.84689684031 2729.05764848842 2972.55886205421 2574.67388263108 2762.74883017482 2576.84689684031 2729.05764848842 2972.55886205421 2763.34185183278 2662.60374970973 2549.26110833024 2513.05154061463 2808.82325743379 3019.1676505535 2763.34185183278 2662.60374970973 2549.26110833024 2513.05154061463 2808.82325743379 3019.1676505535 2477.04533619095 2323.05364399195 2323.05364399195 2424.61602252172 2424.61602252172 3434.82244519858
"X13" 2704.53073335626 2945.06587936763 2678.98025181786 2559.46000711933 2729.02390810807 2909.87368900367 2529.83271529822 2678.98025181786 2559.46000711933 2729.02390810807 2909.87368900367 2802.73324880411 2671.55736950648 2590.42484565122 2551.99547588873 2751.60023341086 2992.16296478393 2802.73324880411 2671.55736950648 2590.42484565122 2551.99547588873 2751.60023341086 2992.16296478393 2512.63259991776 2362.01074223709 2362.01074223709 2445.60993803541 2445.60993803541 3345.20098412915
"X14" 2658.06986263056 2919.59900550594 2610.92061292613 2548.96468518663 2736.68861240974 2859.65903416637 2501.3883766176 2610.92061292613 2548.96468518663 2736.68861240974 2859.65903416637 2831.61783674008 2683.27342072555 2632.77108747904 2591.60817434568 2707.3567814915 2970.11642914423 2831.61783674008 2683.27342072555 2632.77108747904 2591.60817434568 2707.3567814915 2970.11642914423 2551.40978087635 2403.42496320033 2403.42496320033 2468.96708354547 2468.96708354547 3271.01184992125
"X15" 2592.77013036553 2907.98357840595 2563.93492618749 2545.37871661354 2752.58126305255 2827.00551844559 2489.3130422631 2563.93492618749 2545.37871661354 2752.58126305255 2827.00551844559 2845.01194623673 2698.10681997366 2674.31819313407 2630.65545961021 2682.12580987649 2954.66726096106 2845.01194623673 2698.10681997366 2674.31819313407 2630.65545961021 2682.12580987649 2954.66726096106 2591.78777412641 2446.54136277637 2446.54136277637 2494.09396237884 2494.09396237884 3218.93958798022
"X16" 2521.80688231912 2912.31874839875 2541.40261876169 2549.87599279423 2778.51507703591 2816.34047638751 2492.14303411113 2541.40261876169 2549.87599279423 2778.51507703591 2816.34047638751 2849.45743492848 2720.14369143666 2716.72771179321 2672.55796727129 2680.79003150132 2952.24662436651 2849.45743492848 2720.14369143666 2716.72771179321 2672.55796727129 2680.79003150132 2952.24662436651 2636.38639576059 2496.63281779292 2496.63281779292 2527.06220703552 2527.06220703552 3195.77935899494
"X17" 2463.53582927845 2934.74102429078 2545.27379728594 2563.88043348358 2816.73711192957 2831.42339150385 2507.64426496768 2545.27379728594 2563.88043348358 2816.73711192957 2831.42339150385 2854.24519593117 2754.21394325346 2762.77749638409 2722.08706914049 2707.26251996004 2970.2856970845 2854.24519593117 2754.21394325346 2762.77749638409 2722.08706914049 2707.26251996004 2970.2856970845 2688.93188796192 2560.55387811107 2560.55387811107 2575.72704585846 2575.72704585846 3207.30116853511
