"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X1" 3211.93927300627 3193.6802581356 3101.30716485888 2714.78646069639 2716.74829040928 2260.38589746372 2296.83911300942 2827.20384393753 3340.98632116021 3328.53082707474 2714.78646069639 2716.74829040928 2260.38589746372 2296.83911300942 2827.20384393753 2813.24776391601 2956.72426572258 2954.41655010324 2492.98033453061 2491.48953429646 2283.03799031269 2289.57418087751 2247.54146287802 2251.35371433301 2470.05090401732 2398.87069767523 3096.96408458209 2956.72426572258 2954.41655010324 2492.98033453061 2491.48953429646 2283.03799031269 2289.57418087751 2247.54146287802 2251.35371433301 2470.05090401732 2398.87069767523 3438.51161868776 2580.9925150433 2413.24802812758 2445.44636733761 2345.87923427123 2350.10146353419 2393.96678096632 2405.43278489391 2521.73624048126 2515.46837057531 3492.37850138588 3401.72339081684 2345.87923427123 2350.10146353419 2393.96678096632 2405.43278489391 2521.73624048126 2515.46837057531 3176.92787946759 3061.0958229727
"X2" 2974.20591880573 3014.53557030381 2876.60953291153 2504.16388392438 2502.91063501593 2105.75967385971 2082.27221560209 2522.46539984701 3017.22580110693 3024.40237094735 2504.16388392438 2502.91063501593 2105.75967385971 2082.27221560209 2522.46539984701 2521.84544519494 2691.2844164621 2685.8626667483 2302.58885432773 2303.27384516726 2127.99380235845 2125.26321764611 2096.33399228304 2094.68715549007 2249.59052842704 2270.66330625615 2821.34881012038 2691.2844164621 2685.8626667483 2302.58885432773 2303.27384516726 2127.99380235845 2125.26321764611 2096.33399228304 2094.68715549007 2249.59052842704 2270.66330625615 3146.52509859718 2472.25056880042 2332.25074123778 2317.60253101905 2241.34458384523 2239.52152300332 2257.45435409048 2252.4435240645 2321.81083278723 2324.59794191769 3115.19220926006 3175.37698503638 2241.34458384523 2239.52152300332 2257.45435409048 2252.4435240645 2321.81083278723 2324.59794191769 2808.9730527989 2863.15683885373
"X3" 2741.14819226428 2837.20625576039 2661.08405165438 2302.21296445035 2297.91432091125 1965.96642033994 1948.64007848488 2239.88718930343 2701.47802566875 2727.26813264732 2302.21296445035 2297.91432091125 1965.96642033994 1948.64007848488 2239.88718930343 2382.20501721351 2435.07848439909 2426.75775472657 2125.73948752291 2128.5036166279 1991.81979432386 1980.04855526434 1962.78254063106 1955.85687365684 2049.33917235219 2201.96553384107 2554.25008919176 2435.07848439909 2426.75775472657 2125.73948752291 2128.5036166279 1991.81979432386 1980.04855526434 1962.78254063106 1955.85687365684 2049.33917235219 2201.96553384107 2864.75806869199 2370.89548537836 2260.51503927579 2201.01994435801 2146.81767260996 2139.17542785364 2133.83838640009 2113.0044868219 2137.494927916 2148.94659318165 2753.06578112546 2955.63079860254 2146.81767260996 2139.17542785364 2133.83838640009 2113.0044868219 2137.494927916 2148.94659318165 2460.6793272009 2675.29029062219
"X4" 2524.84440517606 2668.7420130768 2470.156546962 2125.19406675687 2118.33145029294 1856.77984789426 1881.70360861049 2004.9143906119 2412.36673002764 2453.99809533567 2125.19406675687 2118.33145029294 1856.77984789426 1881.70360861049 2004.9143906119 2341.86848294256 2205.64783477616 2195.03988489168 1979.97101568261 1984.4899343447 1889.96348137692 1870.45794763128 1861.65352027001 1850.23708142323 1888.22940583772 2176.68803098599 2311.46614657633 2205.64783477616 2195.03988489168 1979.97101568261 1984.4899343447 1889.96348137692 1870.45794763128 1861.65352027001 1850.23708142323 1888.22940583772 2176.68803098599 2611.71433369172 2286.61407118032 2206.20735527549 2108.79035774241 2072.21881128774 2059.64427119972 2036.09163364549 2001.86745108709 1985.92124283513 2004.6879890875 2432.53617869405 2754.89726391818 2072.21881128774 2059.64427119972 2036.09163364549 2001.86745108709 1985.92124283513 2004.6879890875 2158.97507103191 2507.83406314597
"X5" 2335.75304682771 2515.61460024494 2315.54309520868 1985.25174055076 1976.54884967965 1787.845120367 1863.42781112643 1835.03362614119 2165.85320554254 2219.18122568394 1985.25174055076 1976.54884967965 1787.845120367 1863.42781112643 1835.03362614119 2349.41366413912 2017.44349899917 2005.46280381053 1877.46100729985 1883.23372084841 1831.38436117646 1806.30231276459 1801.53269294547 1786.88995022568 1778.29818795959 2176.60212159981 2105.99851204101 2017.44349899917 2005.46280381053 1877.46100729985 1883.23372084841 1831.38436117646 1806.30231276459 1801.53269294547 1786.88995022568 1778.29818795959 2176.60212159981 2402.36385299162 2225.89128955503 2173.81979592151 2049.08797146384 2023.36914291124 2007.26395241222 1972.30024129255 1928.50149873047 1878.85861576282 1902.84782391531 2174.77110593653 2583.36513613606 2023.36914291124 2007.26395241222 1972.30024129255 1928.50149873047 1878.85861576282 1902.84782391531 1924.53387931704 2368.78644671483
"X6" 2181.83677876432 2383.08434497983 2205.17371459881 1890.58692441358 1880.9275981144 1764.4299729147 1877.23100991829 1740.82213787899 1973.88556431557 2033.84905798654 1890.58692441358 1880.9275981144 1764.4299729147 1877.23100991829 1740.82213787899 2362.87341981371 1880.90507323937 1868.65675253615 1825.80727771456 1832.21589910229 1820.63403672586 1792.70677417587 1786.84350284762 1770.55771387516 1726.38363164423 2186.10938426036 1947.25525161934 1880.90507323937 1868.65675253615 1825.80727771456 1832.21589910229 1820.63403672586 1792.70677417587 1786.84350284762 1770.55771387516 1726.38363164423 2186.10938426036 2247.29484407063 2192.75304952229 2165.58355970132 2026.53545040984 2003.46155225164 1985.56984348636 1947.08655520605 1898.44701987256 1823.59111662549 1850.21854203633 1994.42962895374 2448.43948407801 2003.46155225164 1985.56984348636 1947.08655520605 1898.44701987256 1823.59111662549 1850.21854203633 1771.21728933995 2263.74697835547
"X7" 2063.16203390144 2272.44531215137 2135.98759130164 1838.19105866506 1828.37015222251 1780.63578258312 1914.8082080497 1713.72501892765 1835.73079072945 1897.73724641966 1838.19105866506 1828.37015222251 1780.63578258312 1914.8082080497 1713.72501892765 2373.70074327455 1794.1283864871 1782.56653068365 1820.03715531695 1826.52750276483 1851.26791539722 1822.95461228668 1811.68196307375 1795.17652035084 1725.71492003605 2200.9392807132 1833.61614850669 1794.1283864871 1782.56653068365 1820.03715531695 1826.52750276483 1851.26791539722 1822.95461228668 1811.68196307375 1795.17652035084 1725.71492003605 2200.9392807132 2143.72436529729 2184.77571758086 2178.411364601 2036.66308970607 2009.37418834291 1991.26133546425 1956.28393665479 1907.05017891665 1815.17926965759 1842.12819495937 1886.37780072855 2349.03865167345 2009.37418834291 1991.26133546425 1956.28393665479 1907.05017891665 1815.17926965759 1842.12819495937 1692.68439697077 2191.34355389181
"X8" 1977.85217384446 2184.01971217726 2102.21134341355 1822.28903504877 1812.95080106212 1827.80476944531 1969.91572499761 1740.46027294436 1747.53248409945 1807.80051607051 1822.28903504877 1812.95080106212 1827.80476944531 1969.91572499761 1740.46027294436 2381.71026250352 1752.1662616771 1742.00929662537 1852.07347603227 1858.19976627789 1914.12594964967 1887.40424136669 1867.59451987929 1852.01445141931 1766.16144686886 2219.66014799943 1760.74288324173 1752.1662616771 1742.00929662537 1852.07347603227 1858.19976627789 1914.12594964967 1887.40424136669 1867.59451987929 1852.01445141931 1766.16144686886 2219.66014799943 2085.57099387328 2197.94417429271 2207.90347434862 2072.75474733838 2036.42762973158 2019.35121740562 1993.55718375667 1947.14074463877 1845.66739469835 1871.07651512994 1840.5950789191 2281.99024003282 2036.42762973158 2019.35121740562 1993.55718375667 1947.14074463877 1845.66739469835 1871.07651512994 1677.60749616817 2148.48995712632
"X9" 1924.0695765319 2118.15584549425 2098.1128374718 1837.14788548711 1828.78671458698 1897.31456531249 2036.29492817324 1807.80826634643 1705.49243840001 1761.04741538803 1837.14788548711 1828.78671458698 1897.31456531249 2036.29492817324 1807.80826634643 2386.72828050689 1750.12363948556 1741.85515420656 1913.88237161187 1919.30671396675 2000.08466967791 1976.45286258961 1946.16307496872 1932.37633270055 1837.63995946697 2240.8494363945 1724.34457163975 1750.12363948556 1741.85515420656 1913.88237161187 1919.30671396675 2000.08466967791 1976.45286258961 1946.16307496872 1932.37633270055 1837.63995946697 2240.8494363945 2066.80628097974 2228.26739380239 2249.67909353301 2128.12369925137 2079.96633511109 2064.87757375825 2052.60353473202 2011.58477388627 1907.14530490075 1929.60662081887 1847.13332197736 2244.15974985123 2079.96633511109 2064.87757375825 2052.60353473202 2011.58477388627 1907.14530490075 1929.60662081887 1714.73309817808 2132.13523736638
"X10" 1900.01355476064 2075.22850510017 2117.9946740467 1877.07027083559 1870.03126216351 1980.56838501068 2107.66408972599 1902.59666574403 1705.86633104701 1754.53692180972 1877.07027083559 1870.03126216351 1980.56838501068 2107.66408972599 1902.59666574403 2388.59141241098 1783.15201286751 1777.02132068802 1997.46411710503 2001.9561299278 2100.04675248275 2080.52549064435 2038.99536298844 2027.59379725803 1930.10304415078 2263.09165018524 1720.17288460617 1783.15201286751 1777.02132068802 1997.46411710503 2001.9561299278 2100.04675248275 2080.52549064435 2038.99536298844 2027.59379725803 1930.10304415078 2263.09165018524 2081.44790002922 2271.77389534914 2299.37136226863 2196.10501842758 2135.35332403478 2122.89811774721 2127.14547515121 2093.27647629464 1991.73928739739 2010.29651102631 1896.10548199502 2232.44701930962 2135.35332403478 2122.89811774721 2127.14547515121 2093.27647629464 1991.73928739739 2010.29651102631 1792.8691187795 2139.26021738234
