"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X1" 3322.95992780391 3300.28324092826 3453.67912507896 2848.00267454925 2853.21206060402 2381.95572025885 2386.45487826335 2870.20344193106 3500.19917398436 3495.80375826846 2848.00267454925 2853.21206060402 2381.95572025885 2386.45487826335 2870.20344193106 2815.84524875288 3150.53645561249 3167.32084982092 2592.74123149909 2598.16096518829 2387.71987121478 2402.47598427133 2342.6422562411 2342.45100935692 2524.50135158974 2433.31696549019 3140.57292561686 3150.53645561249 3167.32084982092 2592.74123149909 2598.16096518829 2387.71987121478 2402.47598427133 2342.6422562411 2342.45100935692 2524.50135158974 2433.31696549019 3593.57532819033 2779.25253371089 2473.6515517576 2498.1374941905 2435.08687519991 2440.29238365228 2468.51038688876 2468.89243520875 2560.60807847239 2550.30240610265 3634.2279549063 3515.81088449678 2435.08687519991 2440.29238365228 2468.51038688876 2468.89243520875 2560.60807847239 2550.30240610265 3213.6001630546 3087.24850430441
"X2" 3097.53245458993 3125.10928890558 3188.39296556355 2636.42786047395 2630.14817672569 2222.38442669922 2219.54293955999 2614.80642458428 3183.57499961934 3186.07897144018 2636.42786047395 2630.14817672569 2222.38442669922 2219.54293955999 2614.80642458428 2609.39797353506 2875.14676246655 2864.41283992029 2405.1545282675 2402.92936679748 2226.94415967696 2220.67125023294 2174.99873483069 2175.08092550749 2307.63725308924 2345.7926996896 2916.76538586134 2875.14676246655 2864.41283992029 2405.1545282675 2402.92936679748 2226.94415967696 2220.67125023294 2174.99873483069 2175.08092550749 2307.63725308924 2345.7926996896 3248.86662028924 2625.62748784787 2391.50809966168 2380.32004693521 2328.78472346211 2326.56902868475 2333.22302064332 2333.05598529132 2381.61042434912 2386.14188026995 3233.8414014066 3292.89491913902 2328.78472346211 2326.56902868475 2333.22302064332 2333.05598529132 2381.61042434912 2386.14188026995 2879.93140076528 2937.9654036046
"X3" 2876.49465071062 2951.79925013682 2932.89378194119 2434.04201618743 2416.56818882484 2078.90345277478 2096.63485603189 2376.07771939755 2874.32579759768 2883.368325765 2434.04201618743 2416.56818882484 2078.90345277478 2096.63485603189 2376.07771939755 2561.48137712364 2611.34200968931 2574.39639340114 2233.2325117769 2223.88925359067 2088.02740966152 2061.26640556693 2026.6993700799 2027.04596940138 2112.29405734753 2272.68845739618 2698.68231504095 2611.34200968931 2574.39639340114 2233.2325117769 2223.88925359067 2088.02740966152 2061.26640556693 2026.6993700799 2027.04596940138 2112.29405734753 2272.68845739618 2918.40771426877 2483.1251281583 2319.27781575096 2273.92199902218 2234.58036339226 2225.19869921623 2213.08258241408 2212.38820356414 2220.18468717729 2238.93851169632 2851.24104559121 3077.11875855892 2234.58036339226 2225.19869921623 2213.08258241408 2212.38820356414 2220.18468717729 2238.93851169632 2566.28031323756 2797.82397818923
"X4" 2671.32306948453 2787.50307442305 2704.75657715322 2257.41262259461 2229.99611989018 1966.72400046288 2019.56428740147 2175.80810196021 2590.14477240342 2604.74497228878 2257.41262259461 2229.99611989018 1966.72400046288 2019.56428740147 2175.80810196021 2604.4836126506 2378.77111407459 2319.55315949766 2094.59048900488 2079.40273479562 1986.07518636211 1941.72768889406 1913.36893393028 1913.94041991525 1957.14955643534 2218.66573032464 2498.12264540459 2378.77111407459 2319.55315949766 2094.59048900488 2079.40273479562 1986.07518636211 1941.72768889406 1913.36893393028 1913.94041991525 1957.14955643534 2218.66573032464 2625.59477275065 2366.0966219575 2265.83685283763 2191.68133047257 2162.83117275157 2147.3630909978 2121.80800361938 2120.66732025954 2091.84785334285 2122.62188451117 2515.19168104023 2880.55010759471 2162.83117275157 2147.3630909978 2121.80800361938 2120.66732025954 2091.84785334285 2122.62188451117 2297.08586176961 2672.80677327331
"X5" 2491.8914165683 2638.71356693723 2517.6470647796 2118.64836130383 2083.4562850227 1894.71625459107 1984.34340609093 2029.15875811661 2346.18634859023 2364.88148934129 2118.64836130383 2083.4562850227 1894.71625459107 1984.34340609093 2029.15875811661 2674.55451814381 2192.34174577434 2116.90872122228 2000.84169748434 1981.62675356929 1929.05027112831 1871.85663971723 1844.12087248395 1844.85384095558 1853.57388445587 2184.67832268073 2324.96191303621 2192.34174577434 2116.90872122228 2000.84169748434 1981.62675356929 1929.05027112831 1871.85663971723 1844.12087248395 1844.85384095558 1853.57388445587 2184.67832268073 2388.86258028426 2284.09390983361 2236.1203856836 2141.50218012727 2119.19739592909 2099.36624452274 2067.40021667421 2065.94037511372 2006.34100599433 2045.70137563111 2248.08614990378 2712.87383907117 2119.19739592909 2099.36624452274 2067.40021667421 2065.94037511372 2006.34100599433 2045.70137563111 2090.22010274051 2566.97819721526
"X6" 2345.69940895907 2510.66245130351 2380.95487456518 2025.81609155326 1985.70235650033 1867.51031388129 1985.29418572468 1945.49082101855 2153.85797819636 2174.86483690668 2025.81609155326 1985.70235650033 1867.51031388129 1985.29418572468 1945.49082101855 2720.9884684313 2062.23479964783 1978.07706449356 1958.85021385176 1937.76496953009 1920.46052001191 1856.39426969045 1823.68035305671 1824.49542765009 1807.7188145289 2170.24473651354 2186.53957333239 2062.23479964783 1978.07706449356 1958.85021385176 1937.76496953009 1920.46052001191 1856.39426969045 1823.68035305671 1824.49542765009 1807.7188145289 2170.24473651354 2220.92144299233 2242.88468259845 2232.59324911559 2127.80334760402 2106.47741677185 2084.43609138118 2054.03991475892 2052.4186745599 1969.18699741511 2012.88375380309 2065.14726029081 2581.04963887609 2106.47741677185 2084.43609138118 2054.03991475892 2052.4186745599 1969.18699741511 2012.88375380309 1957.26579616774 2483.07353559564
"X7" 2232.79125606291 2404.49422889306 2291.41439695261 1975.70434233722 1933.38329180584 1879.27303769655 2015.19280142352 1918.08604797715 2012.78793777895 2034.49044045174 1975.70434233722 1933.38329180584 1879.27303769655 2015.19280142352 1918.08604797715 2737.91465533142 1985.02499311695 1898.93327742774 1962.80984697133 1941.75752211456 1953.19136702014 1887.63736765938 1845.87824229925 1846.70407994144 1812.40286670164 2172.67442506402 2082.39569944856 1985.02499311695 1898.93327742774 1962.80984697133 1941.75752211456 1953.19136702014 1887.63736765938 1845.87824229925 1846.70407994144 1812.40286670164 2172.67442506402 2117.28473532126 2238.17532627955 2251.84252136154 2146.08159072351 2120.77895111597 2098.46088908094 2076.48061112461 2074.83950292756 1975.02761154497 2019.2498907227 1960.17734440483 2483.90627429908 2120.77895111597 2098.46088908094 2076.48061112461 2074.83950292756 1975.02761154497 2019.2498907227 1891.83698476419 2420.51517089646
"X8" 2151.37658262108 2320.3512754249 2242.63646157917 1962.31801135648 1920.16019940905 1921.58715717046 2066.44708289887 1936.2532903452 1919.70449374257 1940.77426989156 1962.31801135648 1920.16019940905 1921.58715717046 2066.44708289887 1936.2532903452 2730.65951965467 1953.93058412352 1871.46846887951 2003.78476141111 1984.26811067766 2017.50598072831 1954.80935451623 1901.85691891136 1902.63615290895 1857.15298291451 2188.73907747221 2010.15043343673 1953.93058412352 1871.46846887951 2003.78476141111 1984.26811067766 2017.50598072831 1954.80935451623 1901.85691891136 1902.63615290895 1857.15298291451 2188.73907747221 2069.22158865079 2263.18689268586 2289.00428142143 2189.62916070838 2156.55892282103 2135.51742911659 2127.14850802012 2125.60123890851 2015.82064836385 2057.50734190153 1921.68993861154 2418.27004757105 2156.55892282103 2135.51742911659 2127.14850802012 2125.60123890851 2015.82064836385 2057.50734190153 1883.11291062568 2377.9164706444
"X9" 2099.7018867263 2258.40186555677 2228.27930707972 1979.70412646298 1939.73913717273 1986.07006643152 2131.48283384622 1989.35406761969 1871.39183453988 1890.78668234171 1979.70412646298 1939.73913717273 1986.07006643152 2131.48283384622 1989.35406761969 2704.54253089624 1962.22328054928 1887.73357621292 2072.88147262626 2056.00443766597 2103.70336123038 2047.17428990882 1982.79757213729 1983.48674771978 1931.54228144343 2215.22697974511 1967.46112965389 1962.22328054928 1887.73357621292 2072.88147262626 2056.00443766597 2103.70336123038 2047.17428990882 1982.79757213729 1983.48674771978 1931.54228144343 2215.22697974511 2068.06590971207 2311.1741463605 2339.23483156214 2251.76688152114 2208.29844741858 2189.70843786394 2198.50229886797 2197.1348806174 2083.56494420194 2120.40124036209 1938.27590268346 2381.00429925343 2208.29844741858 2189.70843786394 2198.50229886797 2197.1348806174 2083.56494420194 2120.40124036209 1920.33908849744 2353.91497697649
"X10" 2076.04855490324 2218.84037194012 2242.04137594558 2021.94508045491 1985.86396133701 2064.3642526476 2202.73485631593 2066.79045790925 1864.68642217821 1881.64909883564 2021.94508045491 1985.86396133701 2064.3642526476 2202.73485631593 2066.79045790925 2664.88101704451 2003.22059000442 1939.83032861352 2161.23870658336 2147.7076137157 2202.10723366064 2154.02459376332 2079.91011771205 2080.47964333704 2025.17814456647 2248.93929917227 1952.01969241884 2003.22059000442 1939.83032861352 2161.23870658336 2147.7076137157 2202.10723366064 2154.02459376332 2079.91011771205 2080.47964333704 2025.17814456647 2248.93929917227 2105.20652567465 2375.41787976189 2397.70516326975 2325.83653454464 2270.49652095971 2255.15583662048 2283.02455855112 2281.89540447319 2170.29123385805 2200.70600520468 1998.59044570592 2369.00584089214 2270.49652095971 2255.15583662048 2283.02455855112 2281.89540447319 2170.29123385805 2200.70600520468 1992.81505103431 2347.17082465622
