"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106"
"X1" 1966.59018954353 1782.82854605442 1815.73393067621 2180.75944405085 2613.38624260912 2648.2397987414 1284.35544640025 1342.17455663099 2146.29523152283 2591.31330846917 2560.75980152434 2191.67628456807 2210.03446682687 2029.91395771485 2794.87813927132 2761.8351209395 2191.67628456807 2210.03446682687 2008.08798391707 2778.84483700496 2747.21708351239 2575.68219784813 2585.26947134111 1537.07275547105 2346.31764926004 2273.36863022386 2617.80614727668 2562.69444189685 2575.68219784813 2585.26947134111 1904.66076365894 2316.2147673318 2280.27177557696 2623.67638634885 2626.3360824138 2349.51113614212 2395.19611362961 1687.13983497615 2352.54204049493 2311.41921909105 2320.25269032405 2323.84127212714 2349.51113614212 2395.19611362961 1423.97301940933 1487.52373198067 1685.9438278574 2350.48090538926 2350.63944858886 2354.21703643131 2367.80646848493 2224.32303031644 2234.92224951235 1807.13288373714 1854.60319398538 1623.02435308823 2311.9415189376 2312.08814734049 2283.76517142746 2291.09950800646 2224.32303031644 2234.92224951235 1807.13288373714 1854.60319398538 1629.32172134924 2317.35292861364 2316.81801541583 2281.08790129886 2286.52396276831 2240.78731120127 2244.92524439591 1998.16890933415 2053.95824070683 1625.81394087983 2352.96684708044 2351.83784899277 2249.49563211455 2254.36175037895 2240.78731120127 2244.92524439591 1998.16890933415 2053.95824070683 1618.21462603654 2350.3676402326 2353.78258131044 2253.45748283753 2261.54391150625 1981.05958254801 2007.79205379903 1738.29366856508 1738.29366856508 1753.57208649497 1753.57208649497 1295.01405244333 1981.05958254801 2007.79205379903 1822.83010448832 1822.83010448832 1829.91509843791 1829.91509843791 1367.29001261874 1367.29001261874 1038.41004659813 1115.71291392716 1115.71291392716 1157.51415579527
"X2" 1939.14191824942 1810.29914620452 1787.31934405182 2119.0250849336 2475.76222687659 2452.66980365621 1369.11181166683 1311.08403634081 2126.78772110271 2492.99837864442 2544.99347654005 2245.41245146991 2152.75299723518 2049.02907008991 2685.43390882961 2715.54295870171 2245.41245146991 2152.75299723518 2061.59260011797 2698.33675306702 2752.97724831151 2631.26629521293 2524.98318590033 1623.79599595863 2201.68421127601 2261.70646900163 2564.26581515441 2608.4923712864 2631.26629521293 2524.98318590033 1893.98714107869 2224.2991436447 2255.04921393817 2556.47520918502 2553.90257215642 2335.41919375578 2274.14049629065 1685.80089537209 2241.38739764671 2266.92019018892 2286.2715694484 2283.95507246026 2335.41919375578 2274.14049629065 1468.50452075376 1384.43455355088 1685.57704756162 2242.61257417166 2242.51832927117 2260.57718299782 2250.23764755814 2132.27038901365 2125.68043303867 1789.01913568145 1731.23137054477 1673.6337102474 2220.51200569604 2220.41445777151 2204.96795696431 2184.80741542574 2132.27038901365 2125.68043303867 1789.01913568145 1731.23137054477 1669.46179679204 2216.3849387011 2217.28619667005 2191.70037612189 2187.95899564064 2162.42907050832 2159.00711230371 1961.73205061454 1900.30512163134 1677.83711029916 2256.16882668751 2256.90575242142 2193.7690707697 2189.86059197835 2162.42907050832 2159.00711230371 1961.73205061454 1900.30512163134 1684.32135475918 2257.86387300614 2255.63575944111 2204.66556550027 2181.26938197629 1952.35778737734 1921.25080376514 1788.79831091343 1788.79831091343 1810.94356992226 1810.94356992226 1402.77519567713 1952.35778737734 1921.25080376514 1709.51379184963 1709.51379184963 1741.08232406014 1741.08232406014 1330.76635981125 1330.76635981125 1067.16788404739 1129.40537639854 1129.40537639854 1173.50552356965
"X3" 1923.63866911793 1844.56543590948 1768.51571869692 2067.83451814615 2351.62543759999 2273.9382596599 1454.60384033602 1287.39723192647 2116.21859310139 2406.13898578019 2535.54739514009 2298.28014601313 2100.5372309332 2072.68618892415 2584.1936945576 2674.63756638453 2298.28014601313 2100.5372309332 2117.88123307171 2624.92691594755 2761.04772418304 2684.98026037289 2469.29180467756 1708.37937625958 2067.80153508845 2254.29967085058 2513.96358079238 2652.20615614266 2684.98026037289 2469.29180467756 1886.58811838403 2140.41739998312 2234.17317885239 2493.18988039959 2485.66378879677 2322.46608142609 2159.99871147236 1712.07931313095 2138.34659433364 2227.24453848729 2254.55302341425 2246.6374347311 2322.46608142609 2159.99871147236 1511.89885840731 1288.46933467293 1715.23736960832 2142.68737714712 2142.35347431505 2172.09245933741 2139.0377795657 2044.72178722431 2021.83777227544 1772.58780793643 1615.42388314144 1722.91317851522 2134.90675224685 2134.57792336911 2130.52928182901 2084.45923670769 2044.72178722431 2021.83777227544 1772.58780793643 1615.42388314144 1708.88642662891 2121.67988786361 2123.98397467147 2107.36560657255 2094.93040066931 2087.61713841939 2077.05513508229 1926.82616091062 1754.96914652491 1727.83390537402 2164.2192321581 2166.72458430822 2139.99460956011 2127.78489412313 2087.61713841939 2077.05513508229 1926.82616091062 1754.96914652491 1747.64834448205 2169.98419363438 2162.40785807826 2157.29730030688 2104.33528203255 1925.11833972286 1839.34796470682 1835.92466527225 1835.92466527225 1863.42517048038 1863.42517048038 1505.32469027177 1925.11833972286 1839.34796470682 1601.1445099712 1601.1445099712 1655.32812417416 1655.32812417416 1297.18940684225 1297.18940684225 1095.02817873397 1143.53285236225 1143.53285236225 1153.02647242879
"X4" 1932.70464316438 1891.12430972825 1770.16655747322 2041.33789066658 2261.20224454136 2137.82420897773 1538.14162005436 1279.88288234661 2124.45762751091 2347.3330444109 2540.77772727483 2349.68871848538 2062.80363615537 2105.38517485091 2506.45829717479 2648.95856267969 2349.68871848538 2062.80363615537 2178.08556856484 2571.60043909599 2776.18592209762 2735.62205696391 2427.77590534858 1786.48347443009 1962.584126228 2256.56570804127 2474.74033290349 2692.7532063235 2735.62205696391 2427.77590534858 1887.4842602879 2077.46695443428 2224.05099380271 2442.873991249 2431.16374927426 2314.97794701872 2067.06134855937 1756.66214691199 2057.24103843801 2199.75678032968 2230.49354871133 2217.85605022236 2314.97794701872 2067.06134855937 1552.5138753973 1212.19590389059 1764.04946020749 2064.20514996301 2063.66945496464 2099.65646939973 2047.31205096167 1971.88534462684 1935.27038155112 1761.45799377752 1520.98047416966 1767.37688244741 2066.16052871649 2065.6368839021 2070.12531285715 2002.38778139957 1971.88534462684 1935.27038155112 1761.45799377752 1520.98047416966 1745.15875668313 2045.05768801722 2048.61502335857 2038.79021878579 2019.02768346847 2025.13860931491 2008.5708398238 1898.28876647628 1633.94294143089 1772.05474841157 2087.89826880856 2091.89441487085 2094.85141691846 2075.64784585747 2025.13860931491 2008.5708398238 1898.28876647628 1633.94294143089 1803.0418736594 2097.09420479442 2085.00927966595 2117.30601391676 2039.722211355 1904.15072388415 1772.21113370643 1875.60061651326 1875.60061651326 1906.04134886521 1906.04134886521 1594.70454460019 1904.15072388415 1772.21113370643 1508.60374289564 1508.60374289564 1581.50811109023 1581.50811109023 1272.10307543456 1272.10307543456 1120.11346248608 1158.31129519691 1158.31129519691 1118.66360922491
"X5" 1972.02367176014 1951.82545258451 1798.31877716659 2046.963451709 2218.32437103268 2062.43294797207 1616.2749246213 1293.86690164242 2155.52724951377 2327.58289403918 2565.43967184847 2398.88185981928 2046.74101885098 2147.90751244604 2463.30257258224 2645.10249985167 2398.88185981928 2046.74101885098 2240.37017170513 2547.48204608766 2801.01250479619 2782.16429265184 2407.90309425278 1853.86179713683 1898.30314149079 2270.83704962227 2452.40835822577 2728.82258748756 2782.16429265184 2407.90309425278 1898.70689419846 2043.75194854302 2227.97326059951 2412.31173054176 2397.571457374 2315.82413078542 2006.08847640285 1808.70017245949 2007.4677623081 2188.72263191812 2217.78027934359 2201.74366655051 2315.82413078542 2006.08847640285 1588.58518039327 1164.90418274114 1819.79649261358 2016.31306704887 2015.63266515437 2051.37683156959 1984.90033786431 1921.29683908596 1874.81356198096 1757.9106739091 1458.06957139159 1803.37116431771 2022.13948245629 2021.47583499802 2030.97973639378 1947.89491993815 1921.29683908596 1874.81356198096 1757.9106739091 1458.06957139159 1775.4197911211 1995.01756706564 1999.55574417253 1994.00824716847 1968.97324380837 1981.79744532394 1960.91232867651 1879.68390856885 1549.38881705437 1806.73268852675 2035.21405246975 2040.28297277161 2063.72127444733 2039.48168420427 1981.79744532394 1960.91232867651 1879.68390856885 1549.38881705437 1845.64986511706 2046.87890559164 2031.54960881834 2089.53146265208 1994.59851246528 1893.25967165657 1727.82127352564 1903.92458626542 1903.92458626542 1934.81220188926 1934.81220188926 1664.25621903212 1893.25967165657 1727.82127352564 1440.06184519289 1440.06184519289 1526.49819637955 1526.49819637955 1259.31482811321 1259.31482811321 1139.73495889012 1172.5483621658 1172.5483621658 1088.71514791893
"X6" 2042.90910060244 2026.32631784068 1855.43025213911 2087.58243333838 2230.914400696 2058.48808505483 1685.82189404177 1331.88786240585 2209.99710058862 2352.92973762485 2611.54704258277 2445.10576562275 2056.94755651637 2199.22507765468 2461.50061440124 2666.74605537749 2445.10576562275 2056.94755651637 2301.97579222225 2557.96155155942 2836.57837582569 2823.82940301399 2414.57448400421 1907.22497857769 1882.12114466266 2297.58448056934 2450.6312985932 2759.27907955257 2823.82940301399 2414.57448400421 1920.60335345748 2043.78320158542 2247.15617852142 2405.82921999971 2389.46946494218 2326.63493494777 1983.99587757582 1858.51558911155 1994.49479197162 2196.17210371717 2218.57281333043 2200.75540509149 2326.63493494777 1983.99587757582 1618.68790490405 1152.47084354744 1871.76748368202 2004.31402201977 2003.55870090517 2032.41351447233 1958.11890341713 1897.75490602377 1846.12658619906 1763.20667251416 1433.1467637924 1827.91860802366 2007.62220436873 2006.88551077234 2017.70540425518 1926.97058558143 1897.75490602377 1846.12658619906 1763.20667251416 1433.1467637924 1797.20524012424 1976.77140381308 1981.92316740458 1978.16949693668 1950.37305292002 1962.10736679937 1938.95908625541 1873.30999281282 1509.24749270837 1828.8488052317 2011.2323575278 2016.86300859127 2050.29290050577 2023.40620743094 1962.10736679937 1938.95908625541 1873.30999281282 1509.24749270837 1871.73999955586 2024.1899657114 2007.16185545246 2077.31961370794 1973.83265141204 1895.01018494532 1711.52975277655 1918.03727561394 1918.03727561394 1947.17399952528 1947.17399952528 1709.37310640572 1895.01018494532 1711.52975277655 1400.85922185037 1400.85922185037 1494.95135014768 1494.95135014768 1261.11672699555 1261.11672699555 1151.5121864219 1184.7855519803 1184.7855519803 1076.44309811507
"X7" 2136.14609326071 2109.11303358427 1934.52449376306 2154.67802988955 2290.12492044453 2115.5043015756 1745.22351123837 1388.91971622325 2280.44416994446 2415.52156057783 2673.85813833947 2487.7430213452 2090.17956984827 2254.67874902946 2495.2692948019 2709.35331436641 2487.7430213452 2090.17956984827 2359.19630202355 2597.6816937273 2879.85187817222 2860.62525618944 2444.85087394131 1946.79989104873 1906.82828128868 2332.91429759663 2466.73764697913 2783.84865379385 2860.62525618944 2444.85087394131 1949.75855877982 2071.74315765447 2277.68268195942 2420.46150739784 2403.7572565309 2345.63955561011 1996.28147931507 1901.93211400365 2012.81416802843 2218.38827320915 2230.75887638451 2212.6181545535 2345.63955561011 1996.28147931507 1642.78098579197 1170.75390323787 1915.81784618526 2022.79182111357 2022.02431006818 2039.24041054462 1962.84499339639 1898.07421853327 1845.55133969275 1775.92961385794 1441.8345632699 1840.71671779111 2018.49533660127 2017.74585326229 2027.20995494353 1935.75918422091 1898.07421853327 1845.55133969275 1775.92961385794 1441.8345632699 1809.88546248241 1986.01901423636 1991.43371037888 1987.87844207783 1959.58185987385 1963.68575144463 1940.12361840879 1877.81416568618 1508.88814020572 1838.19987410616 2012.33826960927 2018.07049914695 2053.0174379105 2025.63644179376 1963.68575144463 1940.12361840879 1877.81416568618 1508.88814020572 1881.51918518202 2025.52960054849 2008.19432125462 2079.37139357737 1975.21566265115 1908.17665850442 1720.65216639474 1918.87925377879 1918.87925377879 1945.06619261664 1945.06619261664 1732.06082229883 1908.17665850442 1720.65216639474 1388.04781262161 1388.04781262161 1484.89257249 1484.89257249 1275.60459229557 1275.60459229557 1154.93176517996 1193.78355431591 1193.78355431591 1080.23353134927
"X8" 2239.90387508963 2193.38421684289 2026.28319567537 2236.90625966551 2382.95381965271 2217.74377373778 1793.31698273019 1458.05999537839 2357.45839404748 2504.06300347031 2745.3298630594 2526.20703652345 2141.25200891452 2308.70359509167 2555.71530953611 2766.35200970515 2526.20703652345 2141.25200891452 2408.08369931026 2658.62219349269 2926.7864142106 2892.75175178925 2493.85258046974 1973.68028361097 1961.65493146425 2371.84791808302 2496.48672925499 2802.46723678333 2892.75175178925 2493.85258046974 1981.8221031569 2119.25466843849 2314.36107644821 2451.43823628943 2435.4319823092 2370.22336864194 2035.61717254422 1936.13680763634 2054.19942231526 2250.22918142256 2251.16743779275 2233.88717319774 2370.22336864194 2035.61717254422 1661.16388059102 1213.13196799928 1949.43185356346 2063.67530788027 2062.94638979482 2066.1812106304 1992.37220525412 1917.09316268674 1867.12360515225 1793.99984895134 1477.0750775643 1842.1213923456 2048.44336949609 2047.7299920987 2054.4935167763 1967.96833591165 1917.09316268674 1867.12360515225 1793.99984895134 1477.0750775643 1813.28132456758 2016.10480400466 2021.47593798289 2017.624344111 1990.66461552913 1982.44368940017 1959.97102701909 1890.93992522689 1540.57029816484 1835.27522657089 2032.76727876322 2038.22742031379 2069.04998766534 2042.92637750779 1982.44368940017 1959.97102701909 1890.93992522689 1540.57029816484 1876.16481589062 2045.33235450737 2028.8199851148 2093.23825164698 1994.78763666662 1930.59541920983 1750.51646087851 1908.3296048718 1908.3296048718 1931.54182513708 1931.54182513708 1735.9590122998 1930.59541920983 1750.51646087851 1396.6294880068 1396.6294880068 1492.70785349011 1492.70785349011 1299.83552556551 1299.83552556551 1149.93964722349 1198.3547953829 1198.3547953829 1094.76117897238
"X9" 2342.36299329614 2272.33983611404 2121.40228929919 2322.93971128385 2496.43765712797 2349.52067559056 1828.92615939011 1532.41979444689 2431.63649176693 2607.2885357591 2818.92961614378 2559.90643146607 2205.00047709351 2355.73264642918 2633.97605302423 2831.18637389383 2559.90643146607 2205.00047709351 2444.68001169872 2732.78716484849 2973.33946808225 2920.40326541352 2556.72147504062 1988.94488397934 2035.86616094491 2409.41082382601 2535.6534477699 2815.06368758782 2920.40326541352 2556.72147504062 2012.44690170652 2177.96308667407 2352.00674583835 2494.0077772736 2479.51072362762 2397.77800343342 2094.70592603079 1958.29896747778 2110.45061108724 2286.56392814426 2276.63687330188 2261.12848869813 2397.77800343342 2094.70592603079 1674.12918909486 1273.01117524396 1970.07541516305 2118.91909214256 2118.26766182715 2107.58276085351 2040.02269966144 1949.67159764192 1904.90460148777 1815.34389279957 1531.8410096036 1832.47531979755 2091.17279765438 2090.53311742566 2094.57662991504 2017.33259014291 1949.67159764192 1904.90460148777 1815.34389279957 1531.8410096036 1807.20289040357 2060.39721580271 2065.46209186942 2061.91949764227 2037.71141925879 2014.31213814289 1994.08801194097 1910.44088039443 1596.5905753244 1820.54972399607 2066.77697652698 2071.67741894505 2095.56071696912 2072.04709885287 2014.31213814289 1994.08801194097 1910.44088039443 1596.5905753244 1856.83652523893 2078.05388267779 2063.23423860022 2116.48497865864 2028.60942836351 1960.11351457223 1796.47454065799 1888.2539993819 1888.2539993819 1909.64049790053 1909.64049790053 1724.68545724156 1960.11351457223 1796.47454065799 1421.63080584628 1421.63080584628 1514.80368727717 1514.80368727717 1330.87771936826 1330.87771936826 1136.47203258 1197.30675023819 1197.30675023819 1114.70544256804
"X10" 2431.70188057618 2339.17347736909 2210.58136606728 2401.45467720839 2617.63693502905 2495.18335799719 1850.86019318861 1605.11593534025 2493.57127926297 2713.94965883574 2887.62730720982 2588.24437405418 2276.27536901171 2390.19057569161 2721.20956090596 2897.30970223233 2588.24437405418 2276.27536901171 2465.01280344306 2812.19604192866 3015.46802542896 2943.76887913726 2628.61547135163 1993.6586252776 2118.7495346743 2440.62691619164 2580.02349181489 2821.55973092678 2943.76887913726 2628.61547135163 2037.28426524005 2239.52678358402 2385.43627151804 2543.43184036947 2531.02484258837 2425.6983923043 2166.27350720931 1965.56660827078 2173.38500762761 2322.26684966928 2304.01138311347 2290.91500680533 2425.6983923043 2166.27350720931 1681.96298870543 1343.81770337053 1975.19287813671 2180.49441814677 2179.94752714628 2157.80865071087 2099.13962454904 1990.6850278954 1952.97424892466 1837.89207560465 1599.12767948203 1812.10837022982 2140.40497989797 2139.86532702035 2142.49459958055 2077.60631737977 1990.6850278954 1952.97424892466 1837.89207560465 1599.12767948203 1791.44920887525 2112.2812050085 2116.82061578687 2115.29300540879 2094.83081439031 2055.23731128892 2038.07786852384 1934.07821139334 1669.27390718359 1794.48430161502 2108.64054344128 2112.77939813206 2129.73165354384 2109.78312513858 2055.23731128892 2038.07786852384 1934.07821139334 1669.27390718359 1824.6775080325 2118.1646633172 2105.64830282135 2146.6869500509 2072.75819114447 1994.58627655174 1853.89699513404 1860.50682411187 1860.50682411187 1882.39183460447 1882.39183460447 1701.8401904795 1994.58627655174 1853.89699513404 1458.09737169029 1458.09737169029 1547.60300188674 1547.60300188674 1365.80712993125 1365.80712993125 1114.4553048105 1189.44059815305 1189.44059815305 1134.74464109076
