"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106"
"X1" 3578.55431685842 4064.84101369673 4075.32251746494 3188.15182680177 3577.23490575823 3585.60161465782 3719.52457151897 3704.54553034329 3292.13573241262 3646.26188904181 3618.39858196695 3730.95558251524 3697.11226910382 3199.23091603389 3480.73957667657 3449.32964241892 3730.95558251524 3697.11226910382 3237.44025612659 3513.65280725784 3459.99124190999 3744.43361171371 3707.86372652625 4282.76690731768 3099.07859896628 3089.86363395619 3258.17787883305 3207.312844922 3744.43361171371 3707.86372652625 2908.14030541848 3116.10298004392 3093.79997161157 3277.66327932154 3264.92330493201 3346.33652804909 3309.02535322918 2853.95780828987 2890.6365948327 2868.45324441744 2843.55216095094 2830.38267136901 3346.33652804909 3309.02535322918 3741.54131290285 3633.76657227077 2883.28081769998 2919.26646801571 2915.42404503196 2889.40209156691 2890.78178704982 2843.51136786166 2826.63403612786 3159.71519652338 3088.90715241204 3074.48910355265 2852.71686006704 2853.76748410712 2885.47281715491 2886.86990971487 2843.51136786166 2826.63403612786 3159.71519652338 3088.90715241204 3071.811001116 2839.16245952313 2855.57456308199 2887.33593535615 2897.02577735737 2883.37993185867 2868.24869206346 3055.33169510998 2966.569708192 3471.5422397198 2951.31409997905 2965.39743150857 2905.66650097799 2912.72570410132 2883.37993185867 2868.24869206346 3055.33169510998 2966.569708192 3471.30779849035 2951.89416424763 2956.88192398379 2895.254009622 2906.41907492536 2983.11749456842 2925.70579109474 2518.58467006425 2518.58467006425 2382.02358209901 2382.02358209901 2541.94421338811 2983.11749456842 2925.70579109474 2579.99316436321 2579.99316436321 2462.97299357058 2462.97299357058 2632.1088619999 2632.1088619999 2343.67212782724 2343.5622322431 2343.5622322431 3174.17022545995
"X2" 3541.73877713537 3955.10643563485 3949.36764326174 3212.26719145766 3588.39719098195 3584.75186504021 3742.90426104464 3782.13759912539 3180.71037216085 3504.21056991713 3529.6770882024 3623.18178437801 3675.603237189 3105.78676413116 3344.97742001211 3369.34230214863 3623.18178437801 3675.603237189 3086.82423335575 3323.77336930232 3360.40042611945 3591.30146000467 3625.46520033859 4056.75389086378 2968.47656457357 2973.05531136067 3104.24807904453 3138.9914002751 3591.30146000467 3625.46520033859 2808.03591319345 2945.76959928491 2958.96638206259 3092.85737227853 3100.28881153687 3194.41052501594 3224.68014552302 2705.50582853994 2746.74872983416 2759.57447707488 2758.50192662589 2766.05854092454 3194.41052501594 3224.68014552302 3536.95093546827 3617.4537104474 2691.48405618567 2731.50430673005 2730.0076980471 2728.37579658751 2727.51193972549 2717.44908639783 2742.5981418907 2977.58452097375 3015.97907912136 3095.49045442077 2705.13400029954 2704.45067764298 2715.60148766121 2714.74119925836 2717.44908639783 2742.5981418907 2977.58452097375 3015.97907912136 3089.26588224217 2714.18194823769 2703.28087040856 2714.4545255066 2709.59301180134 2692.96595075882 2701.36543277044 2841.10897990015 2840.72610069575 3461.60719579741 2823.97817260902 2812.93356955603 2750.69811355085 2743.96779842307 2692.96595075882 2701.36543277044 2841.10897990015 2840.72610069575 3462.20247143212 2823.44854509241 2819.75407402178 2757.32520389109 2750.21725245506 2789.72991704917 2822.88480749507 2474.78932662998 2474.78932662998 2300.21592900005 2300.21592900005 2444.88017005298 2789.72991704917 2822.88480749507 2385.4422295947 2385.4422295947 2262.14088122444 2262.14088122444 2392.36166851592 2392.36166851592 2170.6019104347 2140.0486051192 2140.0486051192 2791.561738161
"X3" 3544.98250297468 3857.36682842808 3835.67928341116 3311.59094179038 3602.26028892163 3584.75784736001 3690.72378173536 3658.13797550744 3084.74767581079 3370.95969284519 3446.4177607502 3521.28330999208 3656.44787597149 3023.63857822823 3218.87681942407 3295.62595195667 3521.28330999208 3656.44787597149 2950.24518893919 3146.84016683438 3268.26775706843 3447.32276677724 3549.37801042913 3834.52581291649 2848.31649737801 2865.77381283805 2962.23449049455 3079.68326705034 3447.32276677724 3549.37801042913 2657.81104683527 2786.84931000631 2833.41766679983 2921.63731339296 2948.15024332747 3049.57681431155 3144.51453761565 2569.17652928079 2614.95827136734 2661.08565314592 2680.280748987 2707.17092514622 3049.57681431155 3144.51453761565 3338.50622869393 3598.93224218579 2513.18170622149 2558.34065283908 2558.63458071305 2578.04493057935 2575.05780455084 2596.71541060809 2662.20774475749 2805.04184063217 2947.01170400059 2870.93344666312 2566.14774393009 2563.82969688418 2555.87338125355 2552.87882699648 2596.71541060809 2662.20774475749 2805.04184063217 2947.01170400059 2887.74814647265 2596.50375573139 2559.85331155047 2551.88050105611 2533.47790548536 2514.13521762486 2544.83646573668 2638.29143571815 2795.00076447693 3181.23001210819 2701.68992656113 2666.86827722133 2605.28479835621 2585.52578038727 2514.13521762486 2544.83646573668 2638.29143571815 2795.00076447693 3180.75656029068 2700.11083966064 2688.20038405829 2628.08123575034 2603.63363565893 2607.52328100403 2727.413479133 2431.50338763777 2431.50338763777 2260.46426368201 2260.46426368201 2353.53603636531 2607.52328100403 2727.413479133 2199.86984478869 2199.86984478869 2072.69176763687 2072.69176763687 2164.67027022586 2164.67027022586 2002.18354965883 1945.70419886073 1945.70419886073 2401.60074917611
"X4" 3582.52755790359 3786.12334625258 3750.15992134508 3452.98402942516 3619.69338417622 3586.39351141418 3606.03967628399 3442.74065963691 3022.29773578376 3260.68911441051 3377.52619064672 3435.4531411631 3642.30616157131 2965.47418349085 3116.93117608765 3237.26391041784 3435.4531411631 3642.30616157131 2846.15807301952 3002.64165566358 3194.57069398859 3327.40843052178 3488.11350294299 3628.07111629133 2752.43181964518 2780.47474541085 2848.05032157044 3037.45388596466 3327.40843052178 3488.11350294299 2510.50459515766 2656.53264896364 2730.83452334779 2782.94219348083 2825.4693124748 2925.04824769568 3075.56902044733 2458.02881344083 2510.63791733157 2584.91600494876 2616.88979002161 2659.71306694597 2925.04824769568 3075.56902044733 3159.87228464449 3571.60912815931 2365.86238132735 2419.46602156994 2420.64243956367 2453.74008962039 2448.96793432347 2491.28238351595 2591.66660310165 2657.20719705864 2886.14316866257 2543.20989812369 2449.73409364821 2446.0488572471 2421.06261659897 2416.27554637116 2491.28238351595 2591.66660310165 2657.20719705864 2886.14316866257 2594.35385319273 2497.91400574579 2439.72526493584 2414.67952490959 2385.1457814016 2364.60264508769 2414.05448948447 2464.71153182279 2796.71855203502 2784.4183497245 2594.49663096159 2539.61272833472 2484.34769062177 2453.6747801273 2364.60264508769 2414.05448948447 2464.71153182279 2796.71855203502 2781.9886003545 2592.03311974092 2573.18511232856 2520.79089753543 2481.70890642359 2454.03628251178 2648.0374582139 2390.28273133707 2390.28273133707 2249.47109096386 2249.47109096386 2274.98564227433 2454.03628251178 2648.0374582139 2039.86067159024 2039.86067159024 1913.21368503434 1913.21368503434 1971.29727265009 1971.29727265009 1853.82857391908 1778.06894541046 1778.06894541046 2050.26109418303
"X5" 3642.1089944723 3748.02247426789 3700.79806716534 3600.79062912159 3638.93950332867 3588.86662993781 3524.3770275153 3231.76021066023 3002.1015710183 3182.99461000674 3328.65684131055 3372.8374747205 3633.87815593942 2937.6677880873 3048.9235579516 3199.95680156874 3372.8374747205 3633.87815593942 2785.41923508404 2904.94649987339 3146.44226396984 3242.06585884607 3446.86418593216 3446.77499105609 2689.31666950756 2724.6464861852 2772.00948426842 3015.86910257011 3242.06585884607 3446.86418593216 2407.15671415132 2566.43407867178 2660.19282324341 2689.41682937937 2743.36753624367 2830.17145634175 3022.00313847271 2379.2495899651 2443.26851006817 2537.83321215545 2572.97014315007 2626.85699637194 2830.17145634175 3022.00313847271 3010.65281664755 3529.408299521 2260.37097718829 2327.6317115554 2328.66973013687 2365.84222908659 2359.79200666778 2408.45045349713 2535.02551049746 2544.28476347669 2835.11143322042 2236.56850219746 2365.68497151683 2361.02866204335 2321.78306170309 2315.71402520775 2408.45045349713 2535.02551049746 2544.28476347669 2835.11143322042 2319.76479921588 2426.53089625274 2353.03804750922 2313.69055454341 2276.45127980795 2256.96948564585 2319.82469229267 2333.29924233236 2814.3884390481 2406.26146233274 2509.89156601179 2440.49765097217 2398.37825717936 2359.95201484093 2256.96948564585 2319.82469229267 2333.29924233236 2814.3884390481 2401.89487399834 2506.79034974852 2482.91027096334 2444.65186359368 2395.02811207673 2341.61447343041 2589.90924030338 2351.13816602325 2351.13816602325 2252.3663888272 2252.3663888272 2212.75826581318 2341.61447343041 2589.90924030338 1917.08757369282 1917.08757369282 1796.47492263163 1796.47492263163 1827.50458563682 1827.50458563682 1734.9828130851 1648.26261492081 1648.26261492081 1772.13051570833
"X6" 3710.85056105578 3744.96701393286 3690.50660886902 3724.83443025768 3657.60064426718 3590.96023559328 3471.78241005735 3097.74471100059 3027.09586868758 3143.50541369361 3302.91960004512 3337.79497257093 3630.96635257231 2942.60991661275 3020.59232160194 3186.80968892442 3337.79497257093 3630.96635257231 2773.38691616154 2862.05776543504 3127.91326505739 3197.7812238628 3428.42184776126 3297.29589950115 2663.48890411435 2702.1765348596 2739.96370226948 3015.98771861097 3197.7812238628 3428.42184776126 2375.94643973072 2523.39077003076 2626.63332552732 2648.44273580691 2708.22662897388 2770.84049794952 2986.10105859033 2336.15933654028 2417.91278695623 2523.08944468326 2550.93011229183 2610.08718720434 2770.84049794952 2986.10105859033 2897.04534791511 3468.18211927946 2202.55707496457 2290.02088588285 2289.90959638205 2320.5792449552 2313.86908788244 2352.99807887573 2494.76489899603 2472.4460186327 2794.52622298363 2045.15322250652 2320.03152950496 2314.884066598 2264.769481679 2258.04001159315 2352.99807887573 2494.76489899603 2472.4460186327 2794.52622298363 2147.75474718748 2387.29427003561 2306.05052259542 2255.796346976 2214.91131994849 2199.12697058113 2268.85541989823 2252.34417358805 2822.80173493471 2149.64727630559 2452.84278843145 2375.70944514009 2353.88580780236 2311.55378204092 2199.12697058113 2268.85541989823 2252.34417358805 2822.80173493471 2144.06272981349 2449.40473059765 2422.81346883344 2405.31350162834 2350.16274951253 2277.96533022795 2555.81394172383 2313.77796336618 2313.77796336618 2256.49578370224 2256.49578370224 2168.4506537975 2277.96533022795 2555.81394172383 1838.92348312405 1838.92348312405 1730.30755078919 1730.30755078919 1742.63083041494 1742.63083041494 1650.9814607113 1562.66225625233 1562.66225625233 1590.33561120327
"X7" 3778.99717244743 3767.75949334426 3709.90029854017 3817.1249883954 3673.12880462965 3591.21453863102 3446.10194798736 3040.40312810037 3086.37322346935 3136.8811126548 3296.65785607788 3326.82935525357 3631.69224839236 2973.13049862472 3026.52016090998 3194.0815347256 3326.82935525357 3631.69224839236 2801.2719568077 2866.90408145327 3134.65954178461 3189.72245144777 3429.41858787876 3178.36591311193 2669.11316612461 2707.69145588169 2745.81001917739 3033.31690025878 3189.72245144777 3429.41858787876 2408.00305495787 2521.07867316415 2624.93013572457 2653.03194283988 2713.63685734886 2743.32979340964 2965.61421802896 2322.59633547461 2428.09107675017 2535.1601804236 2547.69385773308 2606.99176215604 2743.32979340964 2965.61421802896 2816.01132865138 3390.65369721759 2185.21095832488 2298.8507287438 2296.84592384499 2312.84194187424 2306.02707445129 2322.55288609002 2469.34935044298 2436.96648528524 2762.85712166403 1968.2410212478 2308.28047635431 2303.07133918745 2245.77110929967 2238.93915279445 2322.55288609002 2469.34935044298 2436.96648528524 2762.85712166403 2077.49254780239 2376.36615225425 2294.13231371307 2236.66134425062 2195.71929403834 2185.67730282051 2256.4189917635 2216.93828314358 2818.74387349434 2015.61455566918 2421.05405779206 2342.29520980104 2346.23860047249 2303.45110651692 2185.67730282051 2256.4189917635 2216.93828314358 2818.74387349434 2009.55869807486 2417.55047688137 2390.34810984963 2398.60714848086 2342.44754797277 2257.85768722228 2542.76121005409 2278.16657233936 2278.16657233936 2258.67887758096 2258.67887758096 2139.49203238037 2257.85768722228 2542.76121005409 1800.85347036389 1800.85347036389 1709.03486054437 1709.03486054437 1709.82677971995 1709.82677971995 1596.93343287187 1515.40284145809 1515.40284145809 1495.01488901392
"X8" 3837.54051540972 3804.44593172957 3746.54135645444 3875.17366068297 3682.93501297289 3588.10711939986 3438.0867228683 3041.1847590745 3165.59090038395 3155.06596512236 3304.53934207203 3334.50055766952 3633.75966408711 3019.68906604981 3058.52913680627 3216.33654913668 3334.50055766952 3633.75966408711 2856.7799753108 2908.60993907796 3160.28901505103 3210.25797286105 3444.9624467642 3086.76133153555 2697.7913720514 2733.52531116771 2780.4878677099 3061.98948665861 3210.25797286105 3444.9624467642 2485.13514214152 2549.91700006317 2647.29190877896 2692.64154060235 2750.02389413492 2741.53535010504 2957.17345922255 2330.05193743586 2464.46712145903 2566.34847977693 2558.82992231514 2614.19595274494 2741.53535010504 2957.17345922255 2762.22976844911 3301.25015024731 2197.89078768514 2342.63496681789 2338.32279306991 2334.7178944731 2328.24757525084 2312.97593268603 2456.25199059629 2430.42760471935 2738.0458994239 1981.37346082819 2323.33564590416 2318.41066929277 2257.82256758373 2251.33930827497 2312.97593268603 2456.25199059629 2430.42760471935 2738.0458994239 2086.97328317631 2387.73769736709 2309.95994046289 2249.17780181158 2211.0230498722 2207.93735254257 2274.96078022521 2218.91222558455 2804.48223392516 1979.73131235508 2410.43440006852 2335.04366771765 2368.05006067472 2327.59199726805 2207.93735254257 2274.96078022521 2218.91222558455 2804.48223392516 1973.81061305297 2407.08637405379 2380.99486827565 2417.93654869016 2364.43872962311 2272.86166057228 2546.33383712641 2244.3337595301 2244.3337595301 2258.08221928282 2258.08221928282 2122.28198690205 2272.86166057228 2546.33383712641 1795.42395027634 1795.42395027634 1723.64007789218 1723.64007789218 1718.23878610557 1718.23878610557 1565.41469476002 1497.58982649332 1497.58982649332 1468.12722034065
"X9" 3877.42061841657 3843.08678303444 3788.01053024691 3896.43228001815 3684.42369400802 3580.11181698942 3438.41752767245 3081.45021756461 3250.42799272387 3190.0330103925 3321.24828776088 3355.39011585568 3634.87392424361 3072.76317727289 3108.47157477125 3248.15642273975 3355.39011585568 3634.87392424361 2927.64785301644 2976.34249425033 3198.43158075905 3251.78925940422 3470.17821761349 3019.28956849217 2741.15201526516 2772.03562237641 2834.96988213509 3096.15134797231 3251.78925940422 3470.17821761349 2589.0549202431 2600.36098467698 2685.95518550724 2756.76892312067 2807.84907576133 2759.38280538889 2957.42335050106 2350.04146067635 2517.73497765673 2608.97958914753 2579.92342992957 2628.33692216036 2759.38280538889 2957.42335050106 2730.41005043698 3204.38447282854 2230.18894088304 2409.92765714787 2403.22419200504 2378.32879836748 2372.54683639324 2320.1525287731 2452.96025899413 2445.44385151975 2718.04215368248 2060.03840803678 2358.13196621806 2353.75373826246 2293.99433023184 2288.2047064755 2320.1525287731 2452.96025899413 2445.44385151975 2718.04215368248 2154.13606856199 2415.42597097432 2346.24209700817 2286.2745169021 2253.010214993 2257.26515092432 2316.96189460023 2250.13979627716 2782.26575406258 2017.5248584752 2416.91738684392 2348.77383931826 2411.96733973874 2375.96139269712 2257.26515092432 2316.96189460023 2250.13979627716 2782.26575406258 2012.20539240326 2413.89600805941 2390.26119988395 2456.73523279134 2408.72652760068 2314.58744823097 2562.13329372398 2212.31104467541 2212.31104467541 2253.84363806604 2253.84363806604 2113.23322316964 2314.58744823097 2562.13329372398 1815.21877619257 1815.21877619257 1765.14759035092 1765.14759035092 1757.05989150432 1757.05989150432 1549.02595282811 1500.36190224639 1500.36190224639 1491.70407671454
"X10" 3889.51483526054 3871.74336356114 3821.89298220412 3878.28938777965 3674.98972217847 3565.6970048621 3437.69403261862 3142.45049917995 3326.56914277524 3233.77495637614 3341.47938944495 3384.09501716657 3632.73925385608 3122.83758983097 3168.22081017661 3284.13417459192 3384.09501716657 3632.73925385608 3001.62979594376 3059.2992607735 3242.73187587066 3306.74219192756 3500.20190569516 2972.78553703103 2790.84065163615 2815.59468577491 2900.25163380831 3129.95471926688 3306.74219192756 3500.20190569516 2701.35644375984 2662.89103999278 2733.17557426796 2834.93984789574 2877.59855698455 2790.82053278506 2963.01837819719 2374.09453361365 2578.60843715916 2655.39221365236 2606.57106205683 2646.05993889294 2790.82053278506 2963.01837819719 2715.28592410573 3104.46053620308 2271.72017677567 2489.31017574737 2480.46138153681 2435.82151315102 2430.96666442077 2339.98756760671 2456.97305779555 2474.65433996917 2700.80097463833 2179.64286230086 2405.62743638306 2401.97560150499 2347.38483949069 2342.52794195941 2339.98756760671 2456.97305779555 2474.65433996917 2700.80097463833 2256.83951149728 2453.46715644456 2395.71137176828 2340.90878545158 2313.89930988282 2325.05006609666 2374.93063273589 2302.5286929253 2754.32668841618 2104.45494786429 2436.45652169981 2378.32916254574 2470.66295629669 2440.57204971542 2325.05006609666 2374.93063273589 2302.5286929253 2754.32668841618 2100.06202727351 2433.88309492134 2413.67624408355 2508.45905186239 2467.92676282889 2374.67579077209 2585.77471773597 2182.13174127206 2182.13174127206 2245.07062671132 2245.07062671132 2108.76748544582 2374.67579077209 2585.77471773597 1852.85082085517 1852.85082085517 1824.61275011205 1824.61275011205 1815.51755638716 1815.51755638716 1540.38428226582 1514.88094102101 1514.88094102101 1547.82930962788
