"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131"
"X1" 3055.67767893419 2436.33473894569 3049.12011195715 2122.04420329085 1970.36653842135 3036.16208904124 1998.10162961349 2110.19429851682 1952.06201039348 3016.13686461127 2171.58971097581 2200.21255799936 2198.66905749949 2065.29874131306 3078.22317828922 3075.06016786701 2086.60972789533 2185.83165359594 2185.67581016923 2193.07312242376 2111.0647566894 3068.55917054492 3140.00846051724 2083.90037721048 2086.60972789533 2185.83165359594 2191.23740002734 2132.3299031417 2088.05462614487 2395.57135552628 2401.58806110497 2052.49092447824 2064.09589019237 2096.27953237487 2191.67228398508 2132.7926127539 2131.06618922077 2489.13619635946 2398.92343200946 2127.67619056719 2052.49092447824 2064.09589019237 2096.27953237487 2096.09728091287 1885.11427775919 1884.18643725011 2168.22984386749 2141.5555245058 2251.39639862507 2270.75664639563 2179.29502148039 2166.80811070022 2086.35740210854 2097.63850320672 1897.74812869532 1898.73530219563 2168.06519731965 2158.2119242085 2106.68558475867 2251.39639862507 2270.75664639563 2179.29502148039 2166.80811070022 2086.35740210854 2083.85723450727 1942.18371367043 1942.8563269169 2150.64850180517 2128.60770312441 2286.51640961899 2643.09104466141 2643.09104466141 2563.43685481822 2563.43685481822 2413.52360925419 2413.52360925419 1933.10362913061 1933.10362913061 2149.25514277445 2149.25514277445 2664.56142557766 2286.51640961899 2286.51640961899 2643.09104466141 2643.09104466141 2563.43685481822 2563.43685481822 2413.52360925419 2413.52360925419 2270.59161604985 2270.59161604985 2188.96630921069 2188.96630921069 2721.47981808002 2696.60809009658 2696.60809009658 2801.67978076272 2801.67978076272 2733.03190841903 2733.03190841903 2259.11981756342 2259.11981756342 2164.51875863977 2164.51875863977 2703.23703370908 2801.67978076272 2801.67978076272 2733.03190841903 2733.03190841903 2546.27989803789 2546.27989803789 2304.8540221781 2304.8540221781 2807.46416064239 2412.69790619381 2412.69790619381 2540.69747535753 2540.69747535753 2345.8155973871 2345.8155973871 2777.41878071091 2365.73306717588 2365.73306717588 2323.54427946574 2323.54427946574 3067.03623580456 3067.03623580456 2338.46747326557 2338.46747326557 3008.85400944332 3119.63768417792
"X2" 2753.8292626497 2140.7189874145 2756.61468314568 1892.83129605582 1944.31262620182 2731.04376376581 1814.98747315625 1896.8310485469 1948.59755447334 2739.57910831242 1979.56194702528 1959.83108068147 1954.17973793026 2025.18381024087 2882.09864095529 2869.69480861604 1924.24605642447 1958.40328089713 1965.31202255205 1961.48395191118 1981.86056316958 2879.7931057594 2831.03604202963 1925.47273244346 1924.24605642447 1958.40328089713 1950.46551939022 1928.12109194893 1957.43797846068 2256.10285034413 2296.57423014812 1848.233141564 1842.50070865289 1875.55985938766 1950.29647481532 1927.95759168526 1928.00234262476 2244.37166723181 2255.83711877265 1810.82714380203 1848.233141564 1842.50070865289 1875.55985938766 1878.99626674319 1772.9886676043 1773.10817443881 1943.40446737082 1938.3793223329 1858.63304175907 1845.53615377921 1781.08823320684 1796.62436889228 1863.3512479141 1874.94288798451 1771.46832851916 1771.34574057694 1947.44386040628 1942.48069296561 1883.26740336597 1858.63304175907 1845.53615377921 1781.08823320684 1796.62436889228 1863.3512479141 1864.50062495973 1786.3683362916 1786.12804415398 1935.26878792891 1947.32167717296 2042.08713564611 2111.94140306124 2111.94140306124 2037.99506063698 2037.99506063698 2007.03148007434 2007.03148007434 1794.96686808047 1794.96686808047 1935.99944859161 1935.99944859161 2369.62286551983 2042.08713564611 2042.08713564611 2111.94140306124 2111.94140306124 2037.99506063698 2037.99506063698 2007.03148007434 2007.03148007434 1935.99952710257 1935.99952710257 1960.17425762796 1960.17425762796 2406.48531284447 2377.17438228868 2377.17438228868 2393.32649597952 2393.32649597952 2263.56668828762 2263.56668828762 1923.92979003802 1923.92979003802 1974.58153537793 1974.58153537793 2412.25681018189 2393.32649597952 2393.32649597952 2263.56668828762 2263.56668828762 2173.6842923384 2173.6842923384 2060.08867502246 2060.08867502246 2493.77613226146 2202.94487140035 2202.94487140035 2173.15177910028 2173.15177910028 2032.04236490185 2032.04236490185 2507.6304754467 2161.11445429492 2161.11445429492 2110.82431995551 2110.82431995551 2694.39996383798 2694.39996383798 2101.64682879628 2101.64682879628 2711.81186093044 2807.71309292027
"X3" 2469.15913212201 2004.38134830057 2480.97229230064 1677.48852634228 1918.72010814158 2447.86635686837 1644.17821993691 1696.25785380021 1943.93412152981 2484.34341007013 1800.29048407068 1734.95276451925 1725.29478097565 1985.01043837701 2625.1169047714 2653.79288080899 1770.73219127265 1748.08608581637 1758.96371021035 1745.11105091007 1858.89313468076 2545.87551950702 2540.13884283322 1775.60189713204 1770.73219127265 1748.08608581637 1726.87046162242 1737.88301954828 1836.04814947467 2119.64583524456 2192.83012983921 1661.36270371642 1639.27209848739 1670.85816442499 1726.14215730116 1737.14198668674 1738.75552160212 2009.8393614743 2115.98758441748 1592.45092524496 1661.36270371642 1639.27209848739 1670.85816442499 1678.60927849307 1665.30774887078 1666.39858120066 1730.7734862671 1800.3347596785 1597.9665126722 1574.45870783382 1540.30778326286 1544.5884404799 1656.30989511516 1668.39302560732 1650.68529262067 1649.5369099248 1723.95267095868 1753.53112926122 1677.27914403956 1597.9665126722 1574.45870783382 1540.30778326286 1544.5884404799 1656.30989511516 1660.87518324332 1639.24117841231 1638.15561419343 1733.16640802985 1777.33608916182 1819.16991356705 1787.09971664211 1787.09971664211 1734.37068142014 1734.37068142014 1732.62506799134 1732.62506799134 1664.49201616818 1664.49201616818 1735.89967049677 1735.89967049677 2088.23616902837 1819.16991356705 1819.16991356705 1787.09971664211 1787.09971664211 1734.37068142014 1734.37068142014 1732.62506799134 1732.62506799134 1696.85192603829 1696.85192603829 1744.5744898763 1744.5744898763 2107.70742625536 2086.89677911348 2086.89677911348 2082.75145822288 2082.75145822288 1960.59546008795 1960.59546008795 1744.86130735827 1744.86130735827 1795.89336644221 1795.89336644221 2136.58130026022 2082.75145822288 2082.75145822288 1960.59546008795 1960.59546008795 1914.74275197423 1914.74275197423 1834.75261070553 1834.75261070553 2196.95435734109 2009.86351856501 2009.86351856501 1928.6132798935 1928.6132798935 1830.67074183977 1830.67074183977 2252.48769474723 1973.76719277342 1973.76719277342 1917.80781807102 1917.80781807102 2352.55662295921 2352.55662295921 1883.84308967809 1883.84308967809 2433.32533245668 2511.65517693784
"X4" 2227.43289372773 1973.04476841145 2246.91689160219 1496.22759828545 1894.39950068671 2213.40653355702 1503.26620170641 1527.07229047344 1936.68682057125 2273.87202757415 1650.31358876129 1546.77406692668 1533.40991925788 1946.00964408863 2365.50801449962 2456.59355882552 1638.91882158796 1574.92294653323 1585.82703045034 1564.1494336252 1751.9916898134 2174.12947924909 2293.6155280576 1646.74663464232 1638.91882158796 1574.92294653323 1541.70164419128 1579.82970146989 1734.9765888491 1993.5623559082 2094.67800883112 1510.32654865332 1474.59115378595 1501.72845167245 1540.51899073724 1578.62363301015 1581.40574586519 1803.16477760545 1987.06948326735 1460.39780491072 1510.32654865332 1474.59115378595 1501.72845167245 1514.34833110403 1570.18187045686 1572.06480313848 1551.40616324681 1713.46007750725 1445.80996943829 1424.99456362094 1419.55839943013 1393.29358511018 1484.83540082704 1497.7400334714 1544.91854082463 1542.93974757681 1526.91430093647 1601.83563803111 1507.36543829312 1445.80996943829 1424.99456362094 1419.55839943013 1393.29358511018 1484.83540082704 1492.21923010385 1513.73056487114 1511.95954794321 1561.71293204509 1632.67542751894 1638.9617398362 1620.05139715862 1620.05139715862 1593.46784937181 1593.46784937181 1567.42321807033 1567.42321807033 1552.96011884197 1552.96011884197 1566.11705053379 1566.11705053379 1842.66305852341 1638.9617398362 1638.9617398362 1620.05139715862 1620.05139715862 1593.46784937181 1593.46784937181 1567.42321807033 1567.42321807033 1540.5294729889 1540.5294729889 1560.44450044208 1560.44450044208 1850.5242712871 1853.36835959931 1853.36835959931 1868.18589338287 1868.18589338287 1791.3795135829 1791.3795135829 1673.60642449916 1673.60642449916 1642.97879905414 1642.97879905414 1899.13016410119 1868.18589338287 1868.18589338287 1791.3795135829 1791.3795135829 1753.90579621126 1753.90579621126 1650.10931174016 1650.10931174016 1942.244184931 1852.23350230535 1852.23350230535 1785.27929871369 1785.27929871369 1718.30724416547 1718.30724416547 2032.7345019396 1820.23868113389 1820.23868113389 1762.29627295575 1762.29627295575 2065.92125873013 2065.92125873013 1705.60973699091 1705.60973699091 2194.15878843935 2254.9046565921
"X5" 2046.39288224329 1993.02435230052 2071.3771468152 1363.24671504128 1871.19033119497 2044.9298092004 1404.26676133123 1402.29894563825 1925.1765599459 2122.78500043828 1540.88818103042 1410.12932974766 1393.57970832453 1909.25249347245 2150.45805152716 2299.72643896355 1537.94787344309 1452.05680972728 1459.3135990127 1432.62427365139 1668.37885357393 1855.39491483936 2108.81460938413 1547.77018708659 1537.94787344309 1452.05680972728 1409.23792409861 1466.2884718256 1661.28895204765 1883.87069025436 2005.62698528049 1406.25719633542 1360.89860287283 1381.05536199979 1407.7487718538 1464.7741493844 1468.20934233249 1637.63334115555 1875.34162041148 1396.28952129153 1406.25719633542 1360.89860287283 1381.05536199979 1398.67625670796 1493.82965503819 1496.25433374378 1419.44647476335 1661.57440949347 1372.90421182284 1359.70492077948 1377.92359203503 1319.59381791993 1361.83856882467 1376.01376498627 1461.351634174 1458.81380232806 1377.90070596502 1492.65401999615 1385.19433589111 1372.90421182284 1359.70492077948 1377.92359203503 1319.59381791993 1361.83856882467 1371.17501866889 1419.04262644013 1416.81054239524 1432.6469250442 1522.54222564496 1514.22044868347 1557.45866230931 1557.45866230931 1553.41230251308 1553.41230251308 1483.21528139929 1483.21528139929 1468.30749905121 1468.30749905121 1438.23073110677 1438.23073110677 1648.73507191348 1514.22044868347 1514.22044868347 1557.45866230931 1557.45866230931 1553.41230251308 1553.41230251308 1483.21528139929 1483.21528139929 1450.30693478292 1450.30693478292 1420.72657432167 1420.72657432167 1653.01160245124 1693.55421566042 1693.55421566042 1739.83725875494 1739.83725875494 1717.35840126422 1717.35840126422 1661.77097004888 1661.77097004888 1525.81401477213 1525.81401477213 1716.02223274067 1739.83725875494 1739.83725875494 1717.35840126422 1717.35840126422 1669.77813432152 1669.77813432152 1519.92492640279 1519.92492640279 1747.10240246376 1741.79767789372 1741.79767789372 1716.30695193956 1716.30695193956 1668.00106669951 1668.00106669951 1862.38207803473 1710.61746831744 1710.61746831744 1655.01275887735 1655.01275887735 1850.11428762233 1850.11428762233 1580.24254333449 1580.24254333449 2007.90892187648 2054.17659500386
"X6" 1936.8372657475 2020.16671824157 1964.60811750541 1287.38384371242 1848.83448070504 1952.20740453411 1354.44180742718 1330.04618183861 1908.23806228611 2039.06153319443 1478.86948765702 1334.21424311773 1315.21053886036 1875.78085723397 2013.8755826517 2197.63258853857 1473.65818901924 1387.15845897171 1387.751675325 1359.20928701122 1612.88975214829 1656.94005039451 1995.94285787333 1484.34146635113 1473.65818901924 1387.15845897171 1338.00935402127 1404.70722639621 1619.09404626026 1795.00836350628 1928.37233014883 1355.05747617589 1304.94269584673 1316.41513545267 1336.3877857064 1403.0678436175 1406.58504594275 1522.13882337574 1785.3926581588 1382.02182440006 1355.05747617589 1304.94269584673 1316.41513545267 1338.71905478175 1440.58336793007 1443.256865507 1343.36603989809 1630.38985427005 1352.35032797819 1345.22042986877 1379.75499455923 1301.53478360435 1294.91944504873 1310.88209323398 1404.89010421076 1402.10952307732 1291.10751140603 1427.92084967911 1317.19217394789 1352.35032797819 1345.22042986877 1379.75499455923 1301.53478360435 1294.91944504873 1305.17276035333 1361.082098261 1358.65231401161 1353.09770297784 1452.42370454928 1451.56880465804 1552.78936475793 1552.78936475793 1561.52087377444 1561.52087377444 1454.17063806264 1454.17063806264 1415.60440640764 1415.60440640764 1359.2667726006 1359.2667726006 1516.4806243049 1451.56880465804 1451.56880465804 1552.78936475793 1552.78936475793 1561.52087377444 1561.52087377444 1454.17063806264 1454.17063806264 1410.23409255149 1410.23409255149 1333.62761745501 1333.62761745501 1526.49954061917 1616.52528940262 1616.52528940262 1685.82923658576 1685.82923658576 1703.88439880048 1703.88439880048 1669.22555460915 1669.22555460915 1450.62256697973 1450.62256697973 1597.26341713763 1685.82923658576 1685.82923658576 1703.88439880048 1703.88439880048 1641.94928768236 1641.94928768236 1452.1370428882 1452.1370428882 1622.24617479169 1685.07967435544 1685.07967435544 1697.18443498445 1697.18443498445 1655.81874357518 1655.81874357518 1749.89419521878 1650.44577196554 1650.44577196554 1601.68559658875 1601.68559658875 1713.87569338513 1713.87569338513 1515.40841230984 1515.40841230984 1882.59011015013 1920.01632667989
"X7" 1890.392383211 2044.45448381959 1918.51254307362 1262.52708931605 1827.59133067461 1925.02554260019 1348.00078614173 1304.76468571325 1886.94222834641 2013.30423883553 1459.13541995885 1312.52408928799 1291.9600736339 1846.71799727726 1950.2367871842 2144.73594979056 1442.69480368304 1373.28053480888 1365.36268901743 1337.79652086061 1583.67130567335 1573.48152921123 1946.10803823104 1453.24757588066 1442.69480368304 1373.28053480888 1320.95142974153 1389.28111898647 1604.87940307838 1726.68357871799 1863.30695047873 1349.27059599728 1298.73844580214 1301.18906434829 1319.34975072641 1387.67581195234 1390.80238980599 1452.8509948519 1716.82509668687 1405.21564950916 1349.27059599728 1298.73844580214 1301.18906434829 1327.53737645286 1409.35745331519 1412.02408433863 1316.42714217856 1614.24834742649 1370.04178784644 1366.5460042811 1411.07300603409 1325.76100909404 1277.49563556812 1295.66100273755 1373.93050615881 1371.18197672966 1259.99022207464 1401.56858315539 1296.08257914945 1370.04178784644 1366.5460042811 1411.07300603409 1325.76100909404 1277.49563556812 1287.74973727883 1336.58233270587 1334.18468104195 1317.74719018338 1418.02416321692 1441.80157062221 1587.59575137282 1587.59575137282 1600.35138744931 1600.35138744931 1467.09445639051 1467.09445639051 1392.06250695416 1392.06250695416 1323.97129001294 1323.97129001294 1439.69435868869 1441.80157062221 1441.80157062221 1587.59575137282 1587.59575137282 1600.35138744931 1600.35138744931 1467.09445639051 1467.09445639051 1410.36917477629 1410.36917477629 1294.18114468043 1294.18114468043 1463.27084630702 1610.79032236462 1610.79032236462 1692.73472048366 1692.73472048366 1734.84150692525 1734.84150692525 1685.89610666498 1685.89610666498 1413.47363456171 1413.47363456171 1535.75692621257 1692.73472048366 1692.73472048366 1734.84150692525 1734.84150692525 1658.0115425903 1658.0115425903 1439.23625931374 1439.23625931374 1559.79633597848 1675.0531369323 1675.0531369323 1715.67619791807 1715.67619791807 1671.47181455208 1671.47181455208 1688.71136254442 1633.75280225349 1633.75280225349 1595.35963276934 1595.35963276934 1647.67843551719 1647.67843551719 1503.87121965316 1503.87121965316 1811.42854092874 1845.59391855191
"X8" 1893.94345342492 2064.37919410341 1920.4549329712 1278.86986962481 1807.85096767789 1948.22762292411 1375.9262216491 1317.53017196357 1862.91581604378 2031.81883365609 1473.60503967587 1334.67447171597 1313.59504065293 1823.21188436048 1944.14913594298 2130.44178705323 1439.43248849534 1399.86366137153 1382.88262483796 1358.62621782406 1577.22093519839 1581.58715178166 1945.69438532696 1449.08253608396 1439.43248849534 1399.86366137153 1347.1462021843 1410.93065316903 1613.25073957621 1677.44022849694 1810.25912919499 1378.13730341096 1330.65856436588 1325.25084098216 1345.68306325126 1409.48201348013 1411.88189406132 1422.79785017013 1668.01361849203 1454.95039321435 1378.13730341096 1330.65856436588 1325.25084098216 1354.71601187227 1397.7309135983 1400.19197671299 1328.10288706214 1609.64754159526 1415.10470086974 1413.31185969667 1463.33388809991 1381.09728351534 1299.4803478988 1320.12005201682 1365.26403665629 1362.75949653994 1272.83003153062 1405.53313516642 1311.20235187038 1415.10470086974 1413.31185969667 1463.33388809991 1381.09728351534 1299.4803478988 1309.01045538542 1340.01212700054 1337.82496694086 1318.20229224296 1412.63198163611 1471.80079324717 1650.50912672956 1650.50912672956 1661.29795034668 1661.29795034668 1511.9781903057 1511.9781903057 1392.95352719705 1392.95352719705 1324.05680235186 1324.05680235186 1408.15869221188 1471.80079324717 1471.80079324717 1650.50912672956 1650.50912672956 1661.29795034668 1661.29795034668 1511.9781903057 1511.9781903057 1442.24874884645 1442.24874884645 1294.16737508899 1294.16737508899 1450.89885727374 1659.77642363108 1659.77642363108 1746.79363844397 1746.79363844397 1798.78037096396 1798.78037096396 1709.19805216884 1709.19805216884 1407.92984907482 1407.92984907482 1520.17780346916 1746.79363844397 1746.79363844397 1798.78037096396 1798.78037096396 1707.58334547123 1707.58334547123 1469.89684702542 1469.89684702542 1547.27622551799 1701.34261930719 1701.34261930719 1762.63758288482 1762.63758288482 1708.09377134382 1708.09377134382 1668.5607511164 1651.72561095404 1651.72561095404 1625.94767692515 1625.94767692515 1637.46659958298 1637.46659958298 1534.71324860925 1534.71324860925 1783.99824846611 1819.78542442493
"X9" 1934.43271769702 2078.40055701906 1957.85462397073 1326.65353166993 1790.00561116901 2006.71453295295 1429.24059895549 1359.46265673405 1837.7828237766 2080.96168483795 1514.23724183016 1390.33192261213 1369.93430419352 1806.41718765346 1980.18957686372 2144.12546398462 1458.2783031959 1456.39550090313 1431.09387757719 1411.98771024759 1590.06272922361 1657.78409258382 1981.14196103404 1466.47176627964 1458.2783031959 1456.39550090313 1405.72594786512 1460.61933955474 1638.84016510764 1645.84460557681 1769.07139089736 1430.93860530156 1389.11996061408 1378.51973068158 1404.48648121556 1459.41355491082 1460.88684316542 1425.05297660254 1637.35608611995 1520.3335408844 1430.93860530156 1389.11996061408 1378.51973068158 1409.88423622421 1403.30566377549 1405.41921213225 1367.87396457253 1613.08060696808 1476.70381659175 1475.18398329661 1528.01389380812 1456.40100184211 1350.83249362792 1374.07482169922 1375.70791439318 1373.59668225023 1317.91095438977 1431.7483563918 1351.93046029865 1476.70381659175 1475.18398329661 1528.01389380812 1456.40100184211 1350.83249362792 1359.10429516561 1365.87277889589 1364.02320079352 1346.11125644627 1429.56909784492 1528.49583211482 1730.23182308537 1730.23182308537 1735.78566744628 1735.78566744628 1578.84285362611 1578.84285362611 1413.57767123984 1413.57767123984 1351.27668408663 1351.27668408663 1411.70810399046 1528.49583211482 1528.49583211482 1730.23182308537 1730.23182308537 1735.78566744628 1735.78566744628 1578.84285362611 1578.84285362611 1497.37089400363 1497.37089400363 1325.41221853295 1325.41221853295 1477.01524607002 1746.97435449425 1746.97435449425 1834.30790312236 1834.30790312236 1884.28913205428 1884.28913205428 1736.51462318731 1736.51462318731 1427.59054702638 1427.59054702638 1539.2539362426 1834.30790312236 1834.30790312236 1884.28913205428 1884.28913205428 1780.30947559556 1780.30947559556 1532.8433008313 1532.8433008313 1572.26642313533 1753.61448283041 1753.61448283041 1828.94678409231 1828.94678409231 1758.82800997581 1758.82800997581 1679.21669503435 1695.59138040758 1695.59138040758 1683.40521576694 1683.40521576694 1669.22180626244 1669.22180626244 1597.06570110391 1597.06570110391 1789.9235444 1831.52292024136
"X10" 1998.8445917251 2084.94300528303 2018.17147266909 1396.15625858311 1774.45006616693 2085.42745874696 1498.99616007622 1421.71636343007 1813.16634425928 2147.12426763791 1573.02160551926 1469.20214855841 1450.83728256059 1797.49659056595 2042.88664479886 2175.11975968035 1493.66523634581 1532.3987847228 1500.81476731503 1488.20837101274 1618.74349280341 1778.53214436386 2038.93123029947 1500.06597327608 1493.66523634581 1532.3987847228 1485.86079891327 1529.34341389573 1676.30007201874 1630.48378019275 1739.60033064619 1496.98356080535 1462.57055192141 1450.94909722801 1484.89671603296 1528.43036725267 1528.91311772762 1452.72768474338 1623.27172803142 1590.48751163219 1496.98356080535 1462.57055192141 1450.94909722801 1482.70400203418 1423.70380794526 1425.38448418311 1425.21629864568 1621.03151913368 1544.02924458652 1541.85121491089 1596.59823844732 1540.54854616308 1421.54525934092 1447.37532204418 1402.1017641346 1400.47071288776 1383.50614013008 1472.13631399961 1407.67594350454 1544.02924458652 1541.85121491089 1596.59823844732 1540.54854616308 1421.54525934092 1428.21429916158 1408.69183459793 1407.2558069266 1393.15416624651 1462.18340468792 1598.84847888886 1815.52309519884 1815.52309519884 1815.25909625231 1815.25909625231 1657.72654996385 1657.72654996385 1449.25827717724 1449.25827717724 1397.41577906695 1397.41577906695 1440.2175838509 1598.84847888886 1598.84847888886 1815.52309519884 1815.52309519884 1815.25909625231 1815.25909625231 1657.72654996385 1657.72654996385 1567.18395876561 1567.18395876561 1379.77797397507 1379.77797397507 1529.29595958598 1855.91970385679 1855.91970385679 1941.6252260474 1941.6252260474 1979.9791144153 1979.9791144153 1765.19209566608 1765.19209566608 1466.08448249018 1466.08448249018 1581.75323950799 1941.6252260474 1941.6252260474 1979.9791144153 1979.9791144153 1865.84825872506 1865.84825872506 1616.83748789181 1616.83748789181 1622.39062755823 1821.56512697161 1821.56512697161 1905.4933930425 1905.4933930425 1816.81896928572 1816.81896928572 1710.48906162227 1756.60741302675 1756.60741302675 1757.71894729807 1757.71894729807 1728.94687271214 1728.94687271214 1680.09630879528 1680.09630879528 1818.86718908666 1869.7819162742
