"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131"
"X1" 2935.87015033643 2158.41419662315 2690.56313463062 2009.26587872951 1958.20642700669 2754.40733223768 2032.52845354163 1915.64851699236 2027.40591395626 2812.54839429988 2198.29819977264 2029.4074747601 1984.86760418514 2133.26805463043 2744.31663104887 3890.0327932399 2161.68881049496 2006.98647033886 1978.40268474366 2077.40690079156 2149.01390467235 2374.52056408452 3181.8416427554 2095.22597744507 1999.53900719345 1949.74284502316 2083.73395252139 2119.45040431039 2160.01100782307 2141.13875745575 2672.09891116168 1968.33360259299 1861.88194661934 2060.22609762816 2089.81092780752 1988.96321932016 2033.97796839349 1782.66763219759 2376.84111794803 2036.00322152347 1923.35328701179 1897.88301680991 2045.69594803314 2058.98206884889 1876.89200271141 1745.19106133079 1637.39764445081 2234.38676475945 2107.73191686074 2068.76299385232 1984.94228503234 1958.61921262619 1965.63736410582 2060.49800649491 1938.75920667606 1766.94893783322 1753.0802722661 2163.59738249806 2091.50687636768 2241.31161098454 2094.05937328626 2034.83900078243 2059.62415363091 2015.44126423315 2022.81801209518 1885.80808301692 1863.24799061371 1888.92503450547 2112.60983028455 2312.83373988338 2529.28286146691 2380.78468890187 2237.02771800542 2214.17660403938 2166.65056685269 2133.20971309651 1928.09514346846 1855.56651299878 1879.88623373142 2025.71026200232 2609.63423857755 2186.29828416725 2473.87106375887 2686.10209362285 2821.90480741303 2558.01789218783 2466.91513260461 2433.05754839242 2318.37245570695 1989.36085402546 1982.20890370088 1997.78843736874 2090.47059660992 2767.07524365129 2674.71606425493 2760.71412379928 2762.90149591321 2694.59753639996 2603.11388563024 2527.36459730955 2220.05538797687 2162.2395939895 2102.15616212948 2107.0042096492 2543.40604828962 2742.91941191781 2754.92516266234 2745.37037883267 2609.48878498801 2403.07043365766 2360.78144477507 2188.00404547695 2138.80253687846 2350.16498147376 2493.26670197276 2485.50083614268 2482.24247031698 2407.67807118714 2316.47415404794 2286.29387061632 2425.62586635159 2453.97894361305 2380.70236722907 2458.29316346998 2424.74736955945 2568.7764887674 3365.40316716586 2325.96886495707 2374.87855749251 2646.6840386057 2656.3381231956
"X2" 2795.7811446777 1930.77588697274 2477.69643187967 1839.37843677688 1806.01377082918 2381.49525259588 1846.31948462279 1793.89473728357 1867.56246768007 2470.29379949516 1993.72630920814 1866.92073491317 1867.52241313862 1997.40238966316 2459.25372743706 3619.80649615207 1995.72078552157 1882.64600172056 1865.88143365042 1954.17080018703 2046.37584948929 2245.23491719747 3334.88745410826 1934.94465840204 1849.68930636353 1832.97097721473 1928.87703217636 1987.67582918381 1987.71117441265 1972.50083337421 2522.60795579125 1803.60259762544 1741.57048868956 1873.92220478324 1946.11521558186 1890.55090939996 1851.08363792908 1716.31523410657 2171.85453675405 1831.22080411551 1744.02598445403 1779.25162053806 1876.26670507619 1904.23133438034 1783.14786885119 1678.65108967848 1570.30091902509 2015.87114044341 1867.87430274684 1838.92790344485 1791.91772667627 1803.29128096857 1828.73724799534 1866.49475578381 1780.69583789103 1683.00116421001 1658.00393615471 1984.90273350313 1882.44099172409 1940.19393117253 1879.82392338778 1842.2547902049 1842.98440918847 1836.2086634979 1830.862288458 1770.32211970261 1753.91806295068 1751.26694197214 1954.82587092382 2053.66484741515 2029.8372776834 1939.02336773099 1979.45263205704 1956.63210460803 1927.30314135324 1909.51201523071 1804.86222076364 1756.04789776923 1749.9196889926 1836.02491281501 2326.30605902399 1971.90338696102 2153.09637365664 2324.81486205051 2213.85432892994 2247.61097573284 2174.69138031184 2138.65928975524 2056.06571639929 1860.02703432617 1841.65093866858 1833.90567935223 1888.95918116311 2412.40726210898 2370.77260336465 2454.61612744344 2469.20707937207 2399.88576610382 2312.14898967349 2238.44473694259 2027.18134754904 1985.8510285869 1930.7175223949 1941.44401793386 2246.11864433968 2392.92476486534 2380.1219978008 2316.17640441933 2342.06510203304 2184.21796800751 2063.02803654726 2022.62455239314 1992.61246815362 2040.68744451188 2278.47685105194 2258.49267469597 2253.37411248609 2188.10103948679 2128.43979138511 2091.67272276468 2110.52213578048 2215.40974020997 2163.88677831426 2104.3800589856 2092.8808003128 2324.820520531 2988.0164439318 2100.18718112211 2054.73196256469 2259.82720270885 2322.34948469141
"X3" 2660.41448902531 1722.27858585625 2278.08210745525 1681.52314195511 1661.14876568238 2203.454459731 1672.94884864233 1677.31162428238 1715.42170975752 2326.2604456113 1808.75419554553 1714.49805985844 1754.50513638174 1867.43840995945 2328.25722464269 3360.69595473609 1844.79805257086 1763.48841060527 1758.57227179291 1835.74490562344 1947.57031117233 2124.48237482062 3148.98471853748 1788.7549846479 1709.76868102147 1720.3830916682 1781.8155470328 1861.50264960508 1825.36525092431 1817.08381162355 2376.75682895704 1650.76178360919 1626.12450438497 1699.93349235672 1808.44605583577 1796.38559862074 1679.97244713492 1651.69442184029 1978.14417139128 1643.12528323254 1575.74135635903 1664.96244176268 1716.34600610808 1757.70730614163 1692.80279239774 1614.01424071884 1505.22841368503 1812.38651674888 1647.41677172907 1625.21907891204 1609.66790900616 1655.97274370154 1698.41727265572 1685.66620016167 1631.56983932015 1601.70442351312 1566.13165318083 1817.36082268845 1686.61518986294 1662.77882936082 1678.77036185328 1661.04514473888 1642.43584165314 1667.74290116752 1652.7239410943 1659.54820551465 1648.42018564964 1620.51534580922 1804.97013316537 1817.07233464011 1700.71364980314 1650.79916246173 1740.09462402026 1717.823118292 1705.39154036519 1700.67161039854 1686.60083317426 1660.25409047828 1626.08769850158 1658.03906201057 2055.30891133099 1777.91279429996 1865.16373727116 1992.01629557349 1853.60729928817 1959.70524361804 1903.9723040484 1866.02125543865 1811.21906674333 1735.7661612968 1707.91788063638 1680.58940997319 1699.55683884841 2076.55956042879 2095.19013072549 2174.10731453598 2195.72336765217 2126.7061133527 2042.66074877934 1971.30107279273 1848.43185396812 1821.81574686125 1771.82702085519 1783.66422833686 1964.90465869023 2140.76297140238 2116.94370522575 2046.31169276622 2096.91166702699 1985.27849439409 1864.55535351249 1868.75052768426 1853.17633036876 1792.60685191875 2082.83414199421 2050.78507196181 2043.52837871435 1988.04810165624 1953.5134130839 1910.06302702801 1896.8969706331 1999.09008693582 1966.96531088633 1877.76866269989 1861.8226006829 2098.63463745901 2628.39087444851 1893.96302126663 1831.96373265313 1979.14926069294 2012.68398121758
"X4" 2541.00420391417 1554.20602932126 2107.87155707646 1552.19413646271 1535.88406990817 2151.6225834926 1530.26597420471 1575.51246274685 1583.79581627417 2305.43641774608 1662.93803328717 1586.96107799075 1654.51181342189 1753.44155023738 2296.89707140483 3128.83151186594 1724.575519751 1658.54742290656 1665.47667058592 1731.1655845179 1859.44796531421 2022.61994778365 2794.90273596998 1671.30695252553 1592.85415936759 1619.88666254632 1654.82869201908 1750.72781055517 1687.55395688661 1690.56941858321 2242.88851346466 1524.42723208145 1524.18341097325 1554.28435321021 1687.22233031102 1714.09007204761 1536.7821867772 1592.89603753807 1811.77403312143 1490.17554103843 1434.01112431345 1563.22705352792 1579.7195808061 1631.77481343207 1612.74309766635 1555.63998754827 1446.63409449681 1641.55729326457 1467.02359312969 1447.71389408311 1454.35026347921 1529.02219639104 1585.15926973605 1534.9288986464 1504.70677969697 1528.80836984086 1483.81326735125 1674.22479985579 1519.96921249643 1435.42181325671 1509.01994885086 1507.09298828381 1477.01166738394 1524.9059514294 1505.45647247964 1562.08504233959 1554.5349429734 1507.1948148947 1673.67767656832 1623.6867827235 1510.81860805694 1486.90775688936 1541.32004156659 1519.83618272901 1521.38651035228 1525.44798172092 1582.36560984959 1575.26188887761 1518.22284706114 1507.05082797311 1818.29458871179 1624.253884507 1637.69555647132 1718.00430552901 1677.19302762768 1721.3545793956 1680.42979767184 1640.347106734 1606.02790368508 1625.80468629498 1592.01889082829 1551.99545664278 1538.54060316718 1785.76116061895 1874.58619627379 1944.5652332709 1966.42583224255 1899.86489722752 1819.45225127237 1750.73168593721 1699.95835492964 1684.84176009639 1640.02015602571 1645.69997121103 1723.12804511124 1977.28210607082 1950.04694183329 1899.99150146829 1895.93443757771 1825.07498096732 1749.27768344754 1739.94308260254 1731.11715560887 1609.20186201065 1924.17757405837 1880.77597620999 1871.96891594262 1826.93836857867 1807.08509585086 1757.23491824923 1765.24132402315 1824.52329184103 1808.44853228013 1751.20543366193 1715.59386709932 1907.80094591468 2313.16834506762 1726.75359566097 1692.50968766399 1792.52746364272 1754.41612543669
"X5" 2444.35837033257 1439.90745858245 1977.48798919125 1462.29069301808 1439.32775992966 2159.15648632364 1430.27856906772 1495.84401290469 1482.37858856654 2335.50952234385 1567.98277639536 1494.70844459827 1574.53425301415 1663.15223448609 2311.30401376839 2934.76622068721 1644.40145487345 1574.81540788025 1593.47933715089 1647.68659227299 1787.56113817407 1946.13701777713 2425.03083355655 1591.3364398795 1507.6826908971 1537.81312604393 1557.01792557854 1662.98901316703 1584.8921768754 1602.91481573203 2127.21259375533 1434.09937592704 1442.44235194228 1447.82921721659 1590.50053607542 1649.72385698748 1432.81048636026 1543.39675843355 1683.56231490525 1384.10325470327 1329.86197764542 1480.5644032377 1476.23080515149 1535.40725949145 1548.53177932193 1507.2409754445 1398.27516677723 1514.66668248796 1339.78157241603 1320.10704306185 1337.92642495849 1431.55528730721 1496.78598460123 1425.71335419896 1409.56168897962 1469.09246072236 1416.20647927704 1564.02454133279 1393.34133997345 1275.56119728095 1383.52240558444 1391.8059182623 1359.41209818651 1418.11756613205 1400.33051442078 1484.62978845796 1478.53884013269 1419.13733663877 1568.10072507574 1486.15158541085 1422.75261438789 1413.12949857641 1398.4363099246 1377.6264294987 1388.92610960353 1396.52525400123 1499.17860127482 1506.75685281983 1433.84332729976 1393.35374936756 1630.44283652039 1522.12076133777 1486.63988222881 1522.84330374063 1617.4483591988 1551.02517589072 1521.35681374055 1478.53799701733 1455.69217622698 1537.32291665579 1502.13749962331 1457.94858802989 1417.17325452662 1558.66468222699 1725.28330729841 1782.61970643405 1798.08108922244 1736.40564664836 1659.41227237772 1593.16662217596 1592.13802527408 1584.61868939967 1544.85157348736 1536.50096936006 1537.09578353433 1887.58810716526 1858.80245411389 1837.50679835216 1752.97266404627 1714.91777591844 1696.13601888261 1645.23250533896 1634.39495544974 1487.36300627219 1813.43002483748 1760.11259677444 1750.70982100831 1716.58384787403 1699.42572565514 1643.86089717535 1691.92694144448 1703.3126876357 1699.52269423774 1694.04056952012 1634.19234255637 1763.46149949575 2061.32973488052 1610.76632287921 1617.64780345219 1682.00079555665 1565.72054230225
"X6" 2374.41275420849 1386.73660141732 1892.93393974763 1418.21419880244 1377.52478677897 2171.57738566284 1380.17558678241 1443.35852907004 1417.70174239908 2358.10016734528 1529.99260484225 1444.27336729257 1519.6037971932 1601.94158744359 2327.41564599481 2784.93274776693 1609.17755560369 1517.19026225915 1547.33288096132 1590.52076120509 1735.97142045878 1898.82256421632 2157.23311765616 1553.4290548256 1459.5306910873 1478.75858135925 1494.46457449565 1603.64376056449 1524.268166039 1559.75440486929 2034.01203428053 1385.31167512016 1385.58175293584 1387.19144069388 1523.90790168651 1607.59697659253 1375.10145342416 1505.8693959294 1600.05119331338 1331.45845204 1270.25651669252 1421.62209631634 1412.20211153058 1474.49694106368 1504.2093910188 1471.64866920266 1362.99563569946 1438.14789168834 1272.93487780023 1250.64066689112 1268.22822467193 1369.59057069123 1438.56280082705 1364.96298822614 1352.19839389834 1426.09543566008 1367.06074776864 1491.74776389583 1313.23203604947 1193.2351221691 1310.49017046484 1322.50303587143 1297.17718406673 1353.96810490345 1344.04232772553 1431.88737334695 1424.95454177205 1361.58526296358 1492.73920915717 1411.13099254203 1402.39833735034 1398.59891561857 1320.73587771146 1300.192481804 1316.13366033715 1321.61339592765 1441.94487232432 1458.84445700927 1378.10183050104 1323.23016461569 1501.28499395786 1476.82359763965 1419.76667013585 1418.20266911436 1617.00842729888 1459.8698973932 1437.09419193526 1390.68207048656 1369.55302079341 1475.35952085223 1443.7625024823 1404.54513097558 1342.46487644826 1407.01384638132 1655.98992379687 1697.93883772377 1701.16522522593 1646.77230871786 1572.80496599987 1508.35213743054 1531.03850078407 1526.95558060574 1491.99648800159 1462.07459819134 1416.94140375912 1856.60885258719 1823.73599801469 1824.19949275481 1675.8932320554 1660.87747777368 1685.54460970873 1590.09590071803 1568.40769809222 1421.54582201476 1756.58479383594 1695.46933165825 1686.51282055856 1663.40344416678 1636.77177622878 1576.47889749554 1655.66744809635 1641.64593944311 1646.23747558375 1679.30100966521 1599.1826911056 1672.0218566471 1884.86654907988 1552.85203961257 1589.78212656088 1629.99544174258 1457.44641662973
"X7" 2328.20139150975 1386.33603664602 1848.54098710807 1414.29145216783 1347.7665668192 2177.72674175553 1374.08150142545 1416.47767274391 1387.13358329291 2363.24482024994 1540.76725531038 1431.49607572828 1488.89961643556 1568.32396142666 2336.39815136704 2675.15396094827 1612.52278300798 1484.502222784 1525.6398489516 1558.79416692552 1704.30063878065 1877.6860765434 1999.18390865744 1551.66541491871 1444.43067470479 1442.20718870005 1464.67681740201 1571.38547705558 1502.00529124397 1555.41554748672 1962.22342133457 1373.1081361038 1352.42621248759 1367.5705008209 1486.02639610636 1586.82749703825 1358.89810444655 1480.53409542617 1556.25628629175 1325.09795047784 1250.76144847411 1385.51573066942 1384.1491677638 1446.3154432994 1479.27720830146 1448.97691048907 1340.84383902292 1405.67532272685 1258.27062958321 1232.55785454321 1241.20159509591 1340.33016179282 1408.47059936172 1347.50478893071 1329.30400058771 1399.56612613298 1335.89688934747 1453.16118288348 1274.22572057576 1178.30538143324 1284.80128998324 1295.01647078483 1283.91179615734 1328.51279450798 1331.09657402679 1402.75602578564 1393.05086454336 1332.399206626 1445.17224150215 1389.64119852205 1432.05415325589 1428.22824893014 1300.98764160675 1280.29093695451 1296.30247351899 1294.98419989805 1409.40651847663 1430.93111930487 1349.28847060005 1292.22871919109 1424.74669092572 1479.0487491067 1424.07659899304 1392.97576454772 1656.12969890036 1438.94810058342 1419.07288734972 1368.41674882397 1340.9837953544 1438.71187047994 1414.72687303883 1387.61572403035 1309.7878182045 1323.12996262748 1655.61680222832 1681.54074949562 1668.73709272371 1623.29913537264 1551.82232697635 1488.13457358062 1511.53225065498 1507.42695292854 1476.85845600289 1420.06799452357 1355.70145060983 1872.88369874044 1833.51233450147 1846.62399985778 1657.07295865767 1655.80681423347 1707.11098752823 1570.58493516624 1531.25890814993 1402.32867991528 1747.06695791629 1680.65612253013 1672.65907183218 1660.10544655067 1614.6344349394 1550.5039784901 1646.8730201556 1632.16393725954 1641.64888176601 1695.89513697635 1600.81960964745 1627.64906853214 1776.12895750455 1545.97564847608 1598.92054596522 1624.75658140296 1420.57409337261
"X8" 2301.05187477349 1426.46381813178 1835.75631437263 1441.86402905124 1345.18345608674 2177.27808677338 1402.89142046059 1411.98749357277 1385.78069803145 2353.08036640435 1588.57031646387 1449.57526467442 1480.15888505264 1559.12328977984 2338.20585064423 2598.6330468565 1645.26710707611 1474.08612814689 1525.48630466667 1550.13326020164 1691.0780274386 1878.06406189983 1930.91886862712 1577.52964146124 1456.13189027411 1426.38472515253 1463.04752109285 1563.26491860686 1511.81811821415 1581.43087400787 1909.46518474528 1389.9408751037 1340.35684162982 1381.34433576266 1473.70142548443 1585.25393929146 1376.52797406524 1467.00863765319 1544.34456398437 1354.4934979792 1264.1283059233 1369.99771604397 1386.16644102275 1446.00700081909 1472.11856030992 1438.67153283274 1331.18076241078 1407.77005560902 1283.75491751334 1255.39482763565 1249.85720193105 1338.79991932278 1402.69320276615 1365.17290127415 1335.25060246067 1388.3202883235 1321.19422853351 1441.75442574371 1267.96232154867 1215.64583549991 1298.04014537577 1302.34202198633 1309.77801327614 1335.20576485684 1352.98613767139 1394.70267527043 1380.80198938897 1327.61852481235 1421.27228932119 1408.83158399013 1498.18969794981 1490.91690632419 1327.87823458192 1306.66609608181 1319.06262604811 1307.59037627962 1398.78618428518 1421.26585999844 1344.00075456637 1293.24727783191 1390.89567594398 1515.86640180973 1481.43884381386 1430.4288940744 1724.52318159552 1474.35462877747 1454.05178639756 1398.82162708929 1359.4141571812 1424.63887094777 1410.97466654983 1400.45515193343 1311.64029757564 1294.53553712463 1708.18313893852 1719.83839890742 1689.55575334254 1653.84859697467 1584.19338603866 1519.93928356636 1525.72769952208 1519.08062633409 1492.30455600837 1406.06588760334 1342.18733728546 1925.89687807025 1878.87021975698 1896.66699620165 1685.06477864882 1689.29464752703 1752.75519738917 1580.42476240336 1519.25316471011 1419.32637160028 1775.1987900768 1706.30849964852 1699.10144323853 1696.01174852803 1625.87753511492 1558.60520531743 1658.88880851385 1664.16424803081 1675.60493407514 1736.71288487225 1631.55344141234 1621.4899779722 1722.6134543001 1579.67298349887 1636.99832071833 1656.01186111096 1441.17630390597
"X9" 2288.31280985928 1494.92462431261 1846.06376541586 1492.31015549411 1364.93757370357 2169.91125836024 1457.54109011293 1426.70024891387 1408.7837853455 2329.7449629865 1661.70813849979 1491.74555547063 1491.14447322659 1571.19203116693 2332.77066418214 2548.61053458487 1698.27452525279 1483.30280830308 1543.98345913917 1562.19143264632 1694.85434074922 1895.31791468531 1932.32468285704 1622.53787854296 1488.41475474377 1429.54118829501 1485.0024009639 1576.36099615622 1547.45849051887 1629.36802540158 1873.3779424117 1428.29573647116 1346.77940528653 1420.929728899 1483.80822037808 1600.73719768824 1420.35784256867 1464.92464397574 1556.51975483496 1409.15829036035 1303.14691430314 1372.84456044993 1412.38347670138 1468.74830452927 1481.13754295265 1440.19284459373 1333.38201600441 1434.99304972933 1337.40060146141 1308.7353802144 1287.24735809536 1360.05808229335 1417.44281562032 1409.84226996392 1364.44386659947 1391.19156166041 1321.45135768888 1451.04869460629 1286.12011289534 1290.19147076041 1341.83648431064 1337.51610567741 1364.98355470356 1367.53858271899 1401.24424315002 1405.21885135089 1386.20507877519 1343.31098370329 1416.93932506996 1455.9002811099 1587.35540321558 1575.61394032031 1390.14868398147 1368.11617471137 1374.09368398245 1350.43021303565 1407.33211037877 1428.11900347242 1358.86355765169 1319.22063584682 1389.84848708142 1574.38833923752 1573.78757028241 1513.9023625538 1811.9608010096 1552.25000303087 1528.8514746511 1469.03755971305 1414.32827664723 1430.42579787166 1428.47939019367 1436.39271970323 1340.56060661489 1308.81716779149 1797.77092409345 1799.30876324473 1752.44247054466 1726.34610444754 1657.70926250334 1591.25204955477 1565.77235336479 1555.00057130661 1531.23721274188 1415.68559223498 1365.2655633798 2005.18063901095 1950.59411177078 1966.24942156717 1748.47603173967 1750.97457678845 1814.41050873644 1613.37450934429 1528.72431554878 1462.1524029097 1831.3461265584 1763.10902960208 1755.83945810247 1760.48960022475 1663.40357748194 1593.49112887599 1685.07005814979 1726.99260105524 1737.99838691454 1794.65470416579 1683.86006479172 1644.73588091579 1711.88039780426 1643.52691911623 1695.9801493268 1713.51813675492 1505.39243254304
"X10" 2285.34854322249 1579.55586835078 1870.97415317467 1557.03490723211 1402.21730666066 2155.3104754884 1528.99659166443 1457.45078543544 1451.31213410962 2295.37891248641 1748.51650628813 1551.26980554244 1519.64240753588 1601.40759185498 2320.00052567941 2518.35659785853 1762.43265521389 1509.53608440099 1578.26438804587 1592.64635010249 1714.20020324859 1924.82863413417 1983.11662649233 1678.22862882719 1535.08377794546 1449.94880715714 1525.99482034116 1607.77745494813 1602.70842242139 1690.82005349277 1851.62182831715 1480.68374140319 1369.12137468646 1478.77367989883 1513.24828358572 1631.15810784123 1482.78505166718 1473.92715895645 1585.01348026706 1478.63502869427 1360.63719096614 1391.85434489148 1456.958222543 1509.7430159671 1504.75720686805 1453.01501659428 1346.837125652 1477.93439611221 1407.25365859046 1382.1990236586 1346.45812383159 1399.18965193753 1448.95571815352 1473.41939260379 1411.31667318544 1407.03014523437 1335.18443199628 1474.58938938241 1320.40624326729 1386.9212466134 1407.85589854605 1393.60783338364 1439.77063170321 1419.03284724078 1467.43481640385 1431.81783367138 1407.2780032363 1375.56828518981 1428.09615912414 1518.07958927822 1686.1662867158 1671.30438528164 1476.58159533845 1453.4805464164 1451.11294878569 1414.53732918466 1432.31500761992 1449.78021257397 1390.52528389547 1363.11247628081 1411.75922579304 1641.75327926529 1683.1013587224 1626.79150182572 1908.26200595078 1658.844665947 1630.33923134998 1566.25201393803 1495.25286547246 1453.38121299979 1463.23942567495 1488.78466189818 1389.11862080737 1353.61142223915 1908.50680307047 1906.47741775735 1846.26797444005 1828.76625120151 1760.20925442912 1689.60482591574 1623.84385336164 1608.29903083212 1586.58610993437 1444.57202345216 1413.84505388833 2100.30267144885 2039.50287824543 2047.31601727922 1835.95546522305 1830.51311199481 1884.01330783655 1663.22016432317 1556.03130678841 1520.40629120563 1905.90737007026 1841.77667891504 1832.90788887814 1842.93948389816 1720.14564210546 1647.90147946699 1718.77358993052 1810.03072104953 1818.75519405523 1862.62226258085 1750.23145560154 1688.61247571329 1731.5398669222 1727.15548891598 1767.85023329537 1787.04887484325 1599.41271978016
