"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99"
"X1" 3646.8371650482 3969.26270439749 3623.97734235137 3599.51646031444 3875.18496927864 3771.53617565144 4172.41977619388 3188.24905962698 3350.5624811355 3254.32377190592 2916.86734755542 2996.50912083223 3050.39501608988 3040.60664092668 3100.69017556103 3111.93726125072 3201.45965464124 3199.33253519916 3593.17195230064 3546.08539312275 3129.01731433138 3113.57835377835 3141.25361335229 3119.96742742862 3147.13828737307 3140.9802123797 3787.80324477118 2433.76570377994 2374.9434616529 2402.90151786132 2720.80222211727 2718.07018298116 2717.52300866728 2482.21687182609 2016.50591246945 2008.38698344343 3266.93623597024 4276.65628069174 4227.69119585354 4205.45849101936 4565.71463214377 2848.55011097278 2888.07709542542 2804.876954251 2840.0366150595 2344.23016947543 2225.88222214518 3359.25199462255 3028.78020992605 4966.64906982221 5068.83024107299 4491.39477666204 4563.72239504051 3941.08172439458 3933.25714306407 4038.18636729386 4033.28213747352 4418.24847772634 4427.33649115223 2171.91483652446 2256.61908887258 1436.52702281244 1473.24897634465 1460.16419715426 1376.24344806738 1821.79908245405 1494.5924519713 2859.5402676815 4760.23692801217 5003.59010879913 5068.83024107299 4491.39477666204 4563.72239504051 3941.08172439458 3933.25714306407 4038.18636729386 4033.28213747352 4418.24847772634 4427.33649115223 1403.77429558269 1884.15365752868 1798.00358571557 3118.47728440207 3024.08704753239 3247.74130042451 3243.97380897098 2960.02868761593 2939.87635693794 3228.6096808349 3156.63903847237 3672.66967663118 3650.06796499275 3540.08163429713 3247.74130042451 3243.97380897098 2960.02868761593 2939.87635693794 3228.6096808349 3156.63903847237
"X2" 3349.44584652399 3663.60167214864 3313.29085020884 3382.95626637326 3768.54433353587 3912.31361054766 4194.43458084454 2903.08721374883 3347.59272089938 3408.45084916336 3157.94858382701 3104.62240848906 3147.22961200175 3037.99513183997 3047.75249341977 3170.92546037602 2991.48650576189 2787.20950846699 3162.98536635015 3197.41264282292 2928.08209512642 2939.97612689926 2985.91830796044 3059.49624848861 3066.65242184581 3073.04694928488 3460.40790291083 2245.19890586259 2133.54561089066 2093.75885338898 2565.38685265627 2595.05959488774 2303.41707486822 2461.54421938285 2127.19437523825 2132.8850680155 3154.11487531384 4160.36417248995 4135.04512705214 4189.53442304628 4474.7079654631 2488.2290735106 2456.16792951461 2315.62744155719 2300.42177116479 1957.68837270481 2017.88069084005 3057.39747588294 3407.30558321558 4917.07473295649 5124.32227730077 4457.79991363456 4490.34211654837 4022.93386421698 4029.23786448712 4128.08261969528 4131.12562755766 4423.94800283608 4407.02616461552 1904.58116922789 1872.35497330739 1279.47785357928 1265.06422752443 1234.10457005258 1250.81296057485 1719.65676788981 2147.55249936233 2920.9665436316 5038.26935630869 5219.51398341969 5124.32227730077 4457.79991363456 4490.34211654837 4022.93386421698 4029.23786448712 4128.08261969528 4131.12562755766 4423.94800283608 4407.02616461552 1256.4703021012 1682.82448439858 1729.97657972119 2780.61133584693 2852.91702630545 3050.70949908068 3089.80257038322 2801.15143726509 2817.76159223399 3048.97762305355 3124.38890967185 3563.84751863787 3578.84795421658 3448.44191323336 3050.70949908068 3089.80257038322 2801.15143726509 2817.76159223399 3048.97762305355 3124.38890967185
"X3" 3116.87516608096 3378.05692668064 3399.59193575112 3339.27684817808 3669.44062097221 4045.97677883962 4215.69329976511 2942.16195163189 3340.61690372381 3550.05271763698 3383.01973273389 3204.00900971251 3239.47996562145 3426.60566638093 3414.23013936583 3228.09194776018 2814.18808949168 2401.79354769884 2752.19481816182 2863.85790835709 2735.77512860482 2773.40390664105 2839.91797036269 3002.90498757814 2991.76141551461 3010.01781472086 3159.31429375797 2072.04769145806 1956.2095879656 2007.56830352412 2414.97872015425 2474.98377176785 2151.08607335339 2442.39273444853 2233.38481815473 2252.07844596573 3049.65669096528 4054.07669693527 4046.97146112195 4173.59131293083 4387.6674762733 2144.64924120294 2045.33349368517 1853.77798300084 1790.34050196475 1593.80534156811 1824.19201017162 2772.34741736532 3767.24423575665 4871.13816430295 5178.12490357989 4652.20052374486 4419.59740045443 4103.78650878689 4123.57660023721 4216.26959535274 4226.81707454871 4429.53642518075 4387.99858565552 1670.72669643264 1526.72573977255 1148.09834821855 1084.00303322586 1041.47226486991 1230.35366684787 1629.78883062258 2769.66935865581 3320.62644122538 5305.63835654972 5424.47765071829 5178.12490357989 4652.20052374486 4419.59740045443 4103.78650878689 4123.57660023721 4216.26959535274 4226.81707454871 4429.53642518075 4387.99858565552 1141.58318574913 1499.6797206884 1672.62946039058 2460.13684281255 2689.33904640289 2857.71442953883 2936.82763194878 2646.11573243973 2697.50446816421 2875.15783842081 3090.40355105318 3457.13201489645 3507.94901454085 3360.82947763487 2857.71442953883 2936.82763194878 2646.11573243973 2697.50446816421 2875.15783842081 3090.40355105318
"X4" 2955.93737996318 3142.00696063817 3693.46901029954 3399.35706579711 3587.49475032063 4158.34950084407 4228.49753794645 3144.92349594476 3322.67908881107 3656.97793101802 3567.52387854034 3283.07486671555 3320.00835268628 3973.47352185068 3959.52695358428 3279.10411911837 2672.06792352217 2078.23189001813 2396.82568595727 2573.10477814143 2569.95891460807 2629.18127254232 2719.57145632875 2957.52320044925 2931.14601347305 2959.39030658158 2914.19897790943 1935.28864349876 1842.50644697261 2058.43336170937 2279.3966674789 2364.42732004635 2158.58531375948 2422.51476918795 2324.12740648071 2353.69048379019 2965.93826885771 3966.90290949234 3969.49153028671 4156.3352990914 4309.2183092637 1847.53463253886 1692.63156839454 1464.41356690409 1360.27674617371 1291.40908711024 1665.83804158528 2535.95932913702 4072.35634929933 4835.23012934043 5221.5711183977 4939.17893186395 4355.71623633073 4180.12881576869 4211.4766194086 4298.61472276697 4315.57904591923 4434.93905241889 4372.57218174296 1505.26994578783 1267.99263486247 1075.07501994499 968.872159862443 918.308777105462 1296.43225708648 1568.13541128823 3297.70768078602 3847.95105614234 5533.68586150818 5591.96745990222 5221.5711183977 4939.17893186395 4355.71623633073 4180.12881576869 4211.4766194086 4298.61472276697 4315.57904591923 4434.93905241889 4372.57218174296 1085.3873648791 1359.97442826098 1638.23149757865 2188.28677326002 2547.72352199805 2681.69528816944 2794.11467663213 2505.52052232262 2586.12834654158 2720.01661754015 3053.84694715548 3359.57667730212 3440.96259820092 3280.36365429946 2681.69528816944 2794.11467663213 2505.52052232262 2586.12834654158 2720.01661754015 3053.84694715548
"X5" 2865.51324833544 2976.61779206555 4020.38135924394 3496.27469988391 3528.92246979041 4237.39411655263 4225.41327259827 3363.75095296217 3288.07582781465 3711.75679230538 3693.31316489336 3333.68946835627 3383.45074637337 4474.13195451754 4470.17849325328 3320.09948046572 2562.41886167926 1839.89059738358 2124.0424662773 2345.95560708592 2445.37064083253 2520.12239923305 2637.88238442148 2929.3368259122 2891.20059394385 2926.63689192518 2744.10863766422 1846.08491321141 1785.61896544597 2163.22812164182 2166.46408819433 2268.76742419725 2229.19841681779 2399.24815975685 2389.41740818396 2426.70338611447 2910.23264194672 3902.88504139758 3906.76443529785 4136.27492803498 4241.90385158899 1619.89896066515 1426.52247997384 1180.71637982768 1047.58518140866 1078.47864849596 1556.77780726515 2373.12981008379 4292.39559611664 4810.88934635159 5245.33057335561 5198.83007002584 4301.43321675126 4248.51608250187 4288.3841746269 4371.57554734346 4393.35117393319 4440.04009686833 4362.52162866513 1426.64799632019 1124.56297557307 1077.2290891038 941.187310214505 883.80466422559 1420.82968473423 1543.48007172641 3676.63002586304 4316.17803370397 5696.84308041038 5699.70265967113 5245.33057335561 5198.83007002584 4301.43321675126 4248.51608250187 4288.3841746269 4371.57554734346 4393.35117393319 4440.04009686833 4362.52162866513 1099.34401699766 1279.67554975076 1632.76566173628 1987.92693247234 2438.24541105957 2534.0223682332 2670.48243310686 2388.28265061795 2489.7678654128 2594.22310110795 3014.39107891805 3276.13182329707 3380.11181215565 3207.26608189227 2534.0223682332 2670.48243310686 2388.28265061795 2489.7678654128 2594.22310110795 3014.39107891805
"X6" 2840.44550683144 2894.76948285381 4243.02905983399 3575.58109849915 3496.97411998359 4274.4435472745 4200.70315034956 3483.09914706192 3233.09512460697 3702.91922503196 3749.00951572313 3351.05617304884 3426.36852094766 4773.35492409958 4782.90334264442 3348.23694874552 2480.73885770367 1700.18732253913 1951.56518389055 2195.98796271898 2372.30636035172 2455.27677531783 2603.63412429555 2922.47748435179 2875.95152021407 2915.17309569857 2659.36463044893 1809.23682003133 1776.81925528935 2254.52484061768 2081.85200443633 2192.09718913446 2285.51383861186 2370.75269954943 2422.06669296183 2463.26927917422 2886.07149572352 3862.98874706542 3861.17004178392 4112.07950375903 4186.80897806896 1477.30713028709 1266.0392372303 1024.05601088724 876.391137864159 972.563296513547 1505.19822868349 2290.77801272027 4406.2563123823 4797.23517867357 5241.92443831967 5339.71911262588 4258.30988173779 4306.1090540794 4350.67273699594 4432.50843010779 4457.13906647037 4444.71408256988 4358.9882719258 1442.3609834119 1110.35821198357 1160.9460127399 1010.43482202451 945.724476002459 1575.78418684184 1559.67468732587 3883.75108160904 4583.0763735206 5776.33105736737 5732.10961628743 5241.92443831967 5339.71911262588 4258.30988173779 4306.1090540794 4350.67273699594 4432.50843010779 4457.13906647037 4444.71408256988 4358.9882719258 1185.97797438855 1267.3456715562 1658.25600812279 1873.56640365567 2367.2484308521 2423.20467856743 2571.18081416263 2301.01713042929 2413.20036591259 2505.50704938115 2972.31180835752 3210.17147397835 3326.94565345243 3141.01343706123 2423.20467856743 2571.18081416263 2301.01713042929 2413.20036591259 2505.50704938115 2972.31180835752
"X7" 2866.7881201946 2885.18621473687 4347.49581899292 3626.28230992913 3486.63186400505 4271.63214517958 4154.75440985053 3493.83788976321 3160.47494560126 3637.56858882414 3743.21130501588 3339.96502931462 3451.04182461096 4872.76462267275 4895.68887777301 3364.10479665334 2420.08876353582 1645.24306187201 1869.2587204033 2115.56667800339 2347.07039783347 2431.71293360873 2612.59111588727 2935.26250251143 2882.47995527524 2922.41442928902 2646.55002914534 1814.07333931685 1805.24832664333 2319.5179212713 2024.9267289643 2134.79445072288 2315.92001374371 2338.69569833308 2424.69957561492 2466.41195203944 2887.2953452853 3840.92776443895 3829.97475968884 4083.17243552412 4141.30920159766 1413.15437789813 1202.22766374864 981.684854535938 832.436098647659 961.359543373026 1503.68513904859 2276.87584226103 4422.04480629245 4788.44786088504 5211.40464799589 5361.90733789084 4224.78613184376 4352.25075804987 4397.95659632317 4481.61687995403 4507.31535354699 4448.83027851369 4361.19506322984 1532.88901529549 1201.85917757016 1306.9566432774 1155.69617892339 1083.26640453921 1742.83346445268 1608.1625165298 3936.27999011154 4650.0285899349 5776.19825405599 5695.1842734388 5211.40464799589 5361.90733789084 4224.78613184376 4352.25075804987 4397.95659632317 4481.61687995403 4507.31535354699 4448.83027851369 4361.19506322984 1326.82524334404 1311.66884280823 1707.22443808876 1835.51089511985 2330.30529328713 2348.40581435632 2496.40765084424 2243.20315493038 2356.93760336516 2452.49714694828 2929.78245917181 3161.02879101122 3281.73200391138 3080.85562397472 2348.40581435632 2496.40765084424 2243.20315493038 2356.93760336516 2452.49714694828 2929.78245917181
"X8" 2928.43311694662 2930.61284130475 4350.69657319707 3648.23801131111 3490.82839585404 4233.76086541425 4089.46778082891 3413.40706119932 3074.55166559275 3527.40512452724 3689.46032974661 3307.57958535231 3461.16533004966 4813.06910870527 4846.73058750635 3369.13814495849 2372.93442761148 1654.42438631084 1860.09928212616 2091.81145429978 2362.50971330368 2443.53929056997 2657.29937810574 2964.57222069776 2906.14884810751 2944.29191758843 2686.3724103328 1846.08820952852 1859.54974278367 2359.07563881754 1993.50263111573 2096.32551378561 2325.27237046933 2305.61951382121 2402.36866392937 2441.84545249846 2905.34217341301 3828.61683017338 3809.17856306678 4049.16159388351 4101.86046731392 1415.35990596152 1219.21822047817 1032.42141905589 891.971597198466 1025.17906097192 1540.96552260465 2315.51410149463 4355.08793696936 4777.47521596301 5155.68230988132 5288.25776828757 4198.52924951627 4386.81946808662 4430.64691341405 4519.8057710884 4545.08248917998 4452.25608298677 4367.89008461116 1672.01654956181 1366.26971773013 1489.62625812022 1348.51056007187 1268.54579487978 1905.85364113784 1677.3100079204 3859.86997948726 4554.20688112627 5706.13299006597 5600.25716885785 5155.68230988132 5288.25776828757 4198.52924951627 4386.81946808662 4430.64691341405 4519.8057710884 4545.08248917998 4452.25608298677 4367.89008461116 1498.21627091361 1396.40503703547 1769.83545125762 1858.07865388194 2320.32438481182 2306.48420685072 2445.270886931 2212.56140976155 2320.44275248387 2431.57760028595 2889.45114997199 3127.04087313566 3244.4251372525 3025.99061013779 2306.48420685072 2445.270886931 2212.56140976155 2320.44275248387 2431.57760028595 2889.45114997199
"X9" 3009.30601822684 3013.85795057186 4269.55191436676 3641.29844691975 3502.51356058119 4165.59050768612 4006.72257268329 3259.22548216693 2979.64689714284 3384.07805495103 3601.24330775863 3261.03900214678 3460.41692677319 4634.85461110351 4674.12357361909 3364.75959735818 2331.75459212662 1707.1721452316 1907.14720867245 2111.90726393641 2411.51837360924 2484.90529150407 2730.3462368108 3007.30608013789 2942.34096932027 2976.75351802233 2759.6008163411 1890.80591032971 1928.40510364384 2374.09669182265 1985.42403454609 2076.17891635859 2318.45899789724 2274.06637897061 2360.09840530393 2395.25250309663 2931.66940751562 3817.9823726715 3794.79372536598 4009.6492176271 4064.92598339762 1471.91979201086 1301.23478766966 1155.19155461117 1031.3682211559 1144.41972733989 1605.81130435821 2390.84431126889 4220.61753059574 4757.26234499024 5076.63946131007 5141.56350586355 4177.21478929494 4409.67984099206 4449.13774236367 4547.96708327626 4571.62830388721 4454.85805093915 4377.82655964849 1833.5842670066 1570.87548851258 1683.3619382006 1560.47072249866 1473.73195357399 2048.72732159745 1755.50719584273 3680.02552252798 4332.67456958261 5575.74415257247 5458.59276936873 5076.63946131007 5141.56350586355 4177.21478929494 4409.67984099206 4449.13774236367 4547.96708327626 4571.62830388721 4454.85805093915 4377.82655964849 1676.51670168498 1505.36043442042 1836.26920961931 1925.6578500017 2330.24542132771 2294.33645711572 2416.90598360952 2206.84399102979 2303.20186476156 2439.16991633012 2853.96879713505 3106.5619839406 3214.9880503595 2975.62206640276 2294.33645711572 2416.90598360952 2206.84399102979 2303.20186476156 2439.16991633012 2853.96879713505
"X10" 3093.34707530712 3117.77432622431 4121.00497288187 3605.30298056184 3514.64634568796 4071.84713264601 3908.37880406034 3048.70858934202 2880.07240680628 3219.19882634023 3492.00721018085 3207.46617457902 3452.46190237865 4378.62844020539 4415.90267668894 3352.38085619865 2289.03211069573 1782.97809024244 1993.52773641553 2163.08979689215 2487.02948407122 2549.99476957318 2824.35189986673 3060.37910006949 2986.45366368588 3015.75951540532 2847.04387512054 1933.76522345016 2000.52082867625 2365.50990429278 1998.56277054828 2073.86485204465 2300.40447957552 2246.58128111965 2302.89079820042 2332.29096078957 2957.74422448288 3800.9533332752 3782.84028884511 3964.23146460312 4026.97220487844 1570.89334928689 1432.57673915324 1329.00450373049 1227.08876422564 1299.54336225902 1687.02659328227 2487.06071468997 4033.78769333699 4720.74364055348 4976.13120349791 4944.57182473257 4158.52393787312 4420.68276115332 4453.80647662528 4566.98091176113 4588.12735138153 4456.50174322967 4389.7614373345 1991.4593191251 1783.00675143594 1862.58350518662 1763.19074825606 1671.01649240992 2155.32462292869 1831.15451292166 3422.13132377225 4022.425710304 5394.57211323196 5281.40225965545 4976.13120349791 4944.57182473257 4158.52393787312 4420.68276115332 4453.80647662528 4566.98091176113 4588.12735138153 4456.50174322967 4389.7614373345 1838.10046678967 1622.3690200496 1896.71038151337 2022.68885157577 2353.03143996584 2308.8938232324 2410.4749516685 2223.83185789803 2304.72329082075 2471.72884089217 2825.99213183385 3097.96169235522 3193.39242958834 2928.95845091714 2308.8938232324 2410.4749516685 2223.83185789803 2304.72329082075 2471.72884089217 2825.99213183385
