"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99"
"X1" 4023.51296774368 4095.60950262693 3993.25532334833 4025.08453269592 4016.21541370863 3885.72687855685 4700.6547507567 3652.79071432917 3663.6843292414 3636.28038027717 3443.48455799083 3466.75514436126 3292.26489639578 3265.6515509517 3517.38117173754 3487.06425566459 3603.14293273866 3581.46932944388 3802.74138928609 3788.9956922593 3510.41612010615 3533.31456856606 3392.26494163994 3403.69593549248 3717.05112237535 3603.2190584675 4108.35892664074 2610.6346793257 2579.88566456143 2575.88043461092 2974.1634746131 2981.75830135529 2642.48787849878 2655.5763876904 2276.64819349164 2079.09544383091 3712.6012051337 4512.59794249587 4571.891491044 4581.89001742315 4836.6447193383 3022.38124231768 3018.16430909718 2831.84339408013 2896.10747576545 2452.27790372722 2358.69094051526 3896.35987259065 3489.73967835732 5514.5486185014 5534.32801849591 4871.13810425955 4971.94691122927 4328.37352241685 4346.93245018038 4358.39547071385 4347.74777492805 4630.76061153178 4617.76677305226 2475.89368149717 2466.3658754902 1653.01254333647 1728.76470121026 1477.38068014011 1373.48776179358 2054.62966492403 1659.3304599625 2696.91412175127 5423.43400054829 5467.57708113102 5534.32801849591 4871.13810425955 4971.94691122927 4328.37352241685 4346.93245018038 4358.39547071385 4347.74777492805 4630.76061153178 4617.76677305226 1399.92180615353 1993.40873817645 1986.26843580142 3090.8110318145 2996.36263949119 3550.09258870419 3578.1772917857 3156.40948789935 3096.244315726 3363.54463642019 3267.63768802892 3906.0891300235 3878.10569735733 3644.75238807677 3550.09258870419 3578.1772917857 3156.40948789935 3096.244315726 3363.54463642019 3267.63768802892
"X2" 3781.53830173446 3946.34536386171 4006.04492298155 4015.50261435794 4002.46698577245 4091.83672008278 4721.09774157397 3146.80500760252 3589.756607732 3612.57060812626 3332.62062513741 3286.09461105289 3416.28405359864 3310.6817968589 3607.88170185269 3685.03368628568 3225.32385483035 3235.79163952811 3549.75231057931 3559.01139500889 3300.90250692317 3286.74949319869 3211.47195247908 3203.87188191883 3456.20312778944 3547.77480124611 3691.3154088671 2325.10480104761 2475.77144207015 2464.99779904118 2728.25152757527 2746.08121505516 2568.26420191305 2561.08037827543 2154.18342691664 2303.64319396225 3586.70525163666 4515.77920907627 4598.47195042881 4591.29031484072 4773.96749112397 2699.45964409943 2703.96181879936 2474.73415057033 2439.73851294235 2094.343794659 2141.80837504235 3476.7169012833 3779.23003841144 5455.95420967753 5576.51939182943 4937.54774792067 4887.94399135693 4417.20595705109 4397.70914796247 4425.44154967937 4459.27937353549 4694.07496304723 4700.81720312287 2095.16629214115 2098.88609567257 1517.85450713413 1487.87300546953 1317.48319740728 1357.54254125845 1917.27523605278 2334.37228339863 3162.26031005645 5635.50719819475 5622.51386063167 5576.51939182943 4937.54774792067 4887.94399135693 4417.20595705109 4397.70914796247 4425.44154967937 4459.27937353549 4694.07496304723 4700.81720312287 1324.7925533133 1999.6455005904 1949.12580371149 2897.51772776965 2973.53434544601 3409.36643251866 3359.98806543571 3030.69343407832 3066.57313359967 3274.59360946027 3357.56166653502 3796.84438041882 3816.31698983963 3637.31704523915 3409.36643251866 3359.98806543571 3030.69343407832 3066.57313359967 3274.59360946027 3357.56166653502
"X3" 3626.65615203055 3810.47669095547 4099.72783467037 4011.22139146071 3993.39074521884 4291.36284163324 4742.64103208098 3122.07471424437 3603.74577176811 3798.03441053744 3555.91359188803 3396.12545756163 3535.31752476704 3702.82936713006 3962.05269607771 3872.82634341216 2954.74941512656 2912.6886237946 3306.9090735271 3337.58550040926 3099.96075391499 3050.69539723506 3041.97265870923 3016.35671280668 3210.24383532931 3496.05888661577 3434.05568088805 2248.56082111185 2435.41387142653 2462.45364737416 2636.47099168786 2619.14522127635 2495.23524105725 2468.9074603897 2155.26709901306 2517.19512245243 3472.93116001189 4529.33159274246 4624.41018672311 4600.96553599325 4719.2186369894 2387.16680483045 2400.08953009036 2134.51303197287 2004.77017749318 1758.58225308117 1940.31663569637 3081.4075398132 4056.51370183338 5400.67191207202 5620.85658546088 5150.2230507222 4812.9558676491 4506.68168310722 4451.59840310672 4493.4818508414 4569.6790312781 4755.88733779059 4781.27770974558 1753.42415174896 1770.16776191428 1415.14661689441 1281.06303213636 1182.51583338593 1366.54285570985 1794.74470750195 2978.75780079302 3606.0787448959 5835.96528485484 5774.52875518879 5620.85658546088 5150.2230507222 4812.9558676491 4506.68168310722 4451.59840310672 4493.4818508414 4569.6790312781 4755.88733779059 4781.27770974558 1272.89621618049 1816.95440559876 1969.23362340104 2716.39676342125 2954.55512004438 3268.92859913719 3146.52579302821 2903.73337737198 3029.15008609117 3184.29649779167 3386.47834346043 3687.42735713959 3751.63360463718 3623.25013377276 3268.92859913719 3146.52579302821 2903.73337737198 3029.15008609117 3184.29649779167 3386.47834346043
"X4" 3546.79001273007 3705.00613813969 4229.20661880216 4013.67150923861 3992.17608460431 4466.55106301027 4757.96331548246 3352.2611290708 3654.88788302539 4064.50380494764 3921.27147319834 3640.38377753866 3640.74219082506 4228.44132654544 4410.42310916446 4032.01026001076 2770.03164557741 2636.28579883331 3096.73325414903 3144.83927643609 2925.28862689332 2846.3618522012 2903.20058476642 2862.35757840206 3004.19356492135 3453.6151610398 3308.1029457666 2299.46069304598 2434.66078542317 2518.39278569516 2627.02885962254 2554.54581486255 2425.10965038854 2382.74391791368 2226.48772166546 2697.70303367839 3385.7967504617 4555.66937930429 4646.54230081635 4609.39995412177 4677.9797705844 2109.94811088083 2130.10668996719 1841.3381087225 1631.18469064257 1480.70601386829 1775.72999656821 2756.09808051887 4294.38148305462 5354.66932941084 5664.36587073229 5418.3301349359 4757.93782753269 4594.19211850835 4509.62556574361 4561.60524980219 4674.62870768819 4812.98183999848 4854.26831600603 1495.0892922467 1523.0015171255 1370.55597739909 1147.05293516779 1103.60178463203 1412.62613753331 1707.13991549238 3526.58446852548 3984.8871866999 6004.091974449 5908.22394571548 5664.36587073229 5418.3301349359 4757.93782753269 4594.19211850835 4509.62556574361 4561.60524980219 4674.62870768819 4812.98183999848 4854.26831600603 1265.19750798643 1567.3790043677 2029.16336089917 2568.50939441484 2944.55471271951 3135.60930466384 2952.12605227869 2780.62864750837 2979.41909621597 3095.41298903634 3366.80972158992 3581.87941286654 3683.41817281423 3601.53157704336 3135.60930466384 2952.12605227869 2780.62864750837 2979.41909621597 3095.41298903634 3366.80972158992
"X5" 3524.07824474898 3640.77782526186 4350.96227195695 4020.75489768986 3999.47527559619 4601.5353540613 4759.06625875789 3629.27331678336 3694.81713288173 4298.03291214273 4260.87338310134 3881.5999183933 3725.91236438615 4701.48827225069 4804.55075865058 4147.86970039183 2646.00760789114 2422.2787919336 2936.49177779322 2996.14707710321 2791.84704890936 2691.46034779513 2810.84176787919 2758.95792361492 2857.25174938789 3424.42775783321 3277.44596349753 2397.52824585307 2448.40805149067 2585.00054455301 2635.50590322456 2510.49247674624 2359.11552436652 2305.33019936825 2316.21558750926 2826.68149327122 3332.89431309429 4591.94552199129 4661.1958417991 4614.20220181512 4651.54443322468 1888.60418600343 1914.01569947622 1617.91789490399 1349.50680929881 1285.97921333149 1662.22035507854 2536.05128770517 4468.85372758885 5320.51708033065 5702.13567489909 5660.37415954913 4729.60625791339 4676.21104125169 4571.04752203062 4628.44675572914 4769.98598008983 4862.18056050065 4915.21109906228 1346.28668920314 1382.23106453879 1394.24342416087 1106.26162957315 1097.24687922958 1497.18435355019 1666.00375819715 3920.10648689648 4262.40367750194 6121.17556935657 6009.09062557839 5702.13567489909 5660.37415954913 4729.60625791339 4676.21104125169 4571.04752203062 4628.44675572914 4769.98598008983 4862.18056050065 4915.21109906228 1310.25549826341 1354.64334533583 2108.17257145636 2468.00852599543 2944.80908963111 3016.0434419952 2789.23925462109 2667.09630056284 2915.93934578574 3011.0921240356 3313.04287395041 3484.01134490282 3611.88053093841 3569.77359048535 3016.0434419952 2789.23925462109 2667.09630056284 2915.93934578574 3011.0921240356 3313.04287395041
"X6" 3540.67727519091 3623.44886034957 4430.10600126314 4029.2348998336 4014.50623463754 4684.49911745527 4739.39228456219 3789.88913749909 3696.24912612163 4411.79113187363 4447.50270601816 4015.18487699702 3786.3821777106 4981.44061713573 5032.16888657524 4210.45313769362 2559.99326699434 2279.50093410931 2830.99851912243 2895.77088619296 2710.24602009066 2598.43127272339 2775.47987684287 2717.67459704183 2781.95248837707 3410.93292631557 3308.22788233261 2477.24510871494 2455.87439553766 2624.16435565758 2612.38717129365 2454.82946000026 2298.50182055024 2238.9025834344 2383.03872241363 2891.45253244604 3317.20708447273 4633.47874983985 4665.15883398208 4613.00735441545 4639.04954221124 1732.18730688432 1760.51481731465 1479.39749222988 1180.13766835862 1190.05179741698 1608.07652307732 2430.50960234767 4562.5209895294 5295.94716982994 5729.30042705416 5813.6758003682 4731.23700530233 4749.37212240507 4634.31163603108 4692.56523648652 4852.37854519774 4900.94571488636 4960.60514574291 1319.75657987732 1359.73368632906 1487.48787785429 1166.8882673001 1170.07599542631 1616.51978810572 1676.74489763603 4135.10008533208 4413.44570214134 6173.33110349605 6065.94627126593 5729.30042705416 5813.6758003682 4731.23700530233 4749.37212240507 4634.31163603108 4692.56523648652 4852.37854519774 4900.94571488636 4960.60514574291 1409.36182890812 1255.6400222423 2187.72858388846 2423.17146851723 2954.85276106249 2915.64520023032 2667.10626621143 2568.30337487346 2839.37789153992 2934.38744909215 3238.6837238861 3397.11469661831 3537.96204585699 3526.16627303788 2915.64520023032 2667.10626621143 2568.30337487346 2839.37789153992 2934.38744909215 3238.6837238861
"X7" 3583.21317940758 3644.40372188621 4462.11365009991 4034.58401755277 4033.21768454678 4717.17342363166 4698.35131845413 3819.25010525578 3659.88921887169 4406.6626581392 4482.60389624888 4040.26524131285 3824.26281261592 5071.67868609342 5096.36414485385 4224.52511644849 2500.99910869257 2198.19998609894 2772.70998930046 2837.04533189233 2677.10411300788 2562.91807308981 2791.71226073922 2732.61564168773 2770.76020521302 3411.07903048789 3379.87750242966 2525.63609339378 2452.8623211693 2631.56794419883 2556.68545523335 2386.95498768396 2245.09599027808 2184.70160232031 2421.39771925964 2898.15547732686 3330.31276650675 4673.12132442352 4657.35708508243 4604.27180099977 4635.169999146 1636.60423874355 1665.73777579245 1418.9807519834 1113.63939820956 1181.44792491187 1605.81574197377 2421.74068444819 4579.88259943603 5275.50219901649 5742.77355196568 5876.87254105035 4756.76192646049 4811.64696307815 4696.2865854658 4752.58258916415 4921.13451670582 4929.09856137343 4990.728559868 1393.57065962057 1433.98507809381 1631.3885498748 1306.84501991095 1304.06691617827 1756.89716947323 1729.04587876029 4189.1344855507 4448.39067591793 6163.07791223343 6079.28226594108 5742.77355196568 5876.87254105035 4756.76192646049 4811.64696307815 4696.2865854658 4752.58258916415 4921.13451670582 4929.09856137343 4990.728559868 1547.05767075871 1264.31044071682 2260.02689231664 2426.13968970026 2971.00852885039 2835.47876297981 2584.58931294247 2486.91636899693 2755.76230480005 2867.74986290821 3152.63311937286 3322.81194631636 3464.71448339478 3472.3931467575 2835.47876297981 2584.58931294247 2486.91636899693 2755.76230480005 2867.74986290821 3152.63311937286
"X8" 3639.42106157423 3691.48943582946 4450.00556361987 4031.94764271531 4050.74315609444 4704.63330181869 4636.82689620955 3739.59721498168 3592.50018575717 4305.38462901999 4399.67811083051 3981.81266357284 3843.28566695069 5011.43890544376 5028.94702081909 4198.4884662495 2461.00143256626 2164.02922627625 2751.59187439156 2811.10772108081 2685.58329638363 2576.41377372961 2850.18291724249 2793.58399960639 2811.17527682084 3421.70369349051 3475.18837487023 2542.8667483344 2439.31318558322 2611.3265656719 2479.49646844495 2314.1104275378 2200.87747908878 2143.73039577399 2434.67914137975 2857.58579985338 3360.96022856686 4703.10584362435 4637.24041720132 4586.65035124253 4633.47126832308 1595.0478380873 1623.22885943657 1424.4521647455 1133.20093727914 1241.9824295114 1644.05519198951 2486.50777855968 4530.85052823176 5253.15617692283 5739.90018965537 5863.8551985012 4797.79538118 4861.3314038785 4753.44410161337 4807.13229440387 4976.24484030217 4947.04069838728 5006.79084739699 1537.21517138361 1575.1893423162 1802.03842989865 1496.53383659349 1475.08269404503 1902.08713169364 1808.69010515784 4108.64477639552 4386.40852412331 6096.98273772793 6052.47086919507 5739.90018965537 5863.8551985012 4797.79538118 4861.3314038785 4753.44410161337 4807.13229440387 4976.24484030217 4947.04069838728 5006.79084739699 1703.72551922528 1353.84249184572 2319.92819128601 2465.05963107108 2988.8001229412 2775.5387722849 2537.99010773471 2424.99251801809 2672.45581428521 2813.48906099932 3062.5525450183 3262.3195720005 3395.71848829966 3411.00107763324 2775.5387722849 2537.99010773471 2424.99251801809 2672.45581428521 2813.48906099932 3062.5525450183
"X9" 3697.01535249789 3752.58315287359 4396.74503589141 4016.46146690101 4062.21493051273 4651.90186187724 4555.67952705893 3573.21480717881 3500.80992894597 4130.61918747039 4232.11968434212 3864.71586851211 3847.16030535373 4839.8399376224 4861.6109142152 4140.69972258011 2432.0276892293 2162.69817734326 2757.65203075981 2809.13259144657 2728.89379732172 2630.46816069627 2941.58459795706 2890.43573249807 2890.75752063816 3439.65661190313 3576.99962403013 2529.11441036644 2415.16038454236 2567.5384727 2391.86328296902 2243.48470743169 2167.8371290745 2117.00814842959 2426.25262091685 2780.4850257831 3397.91860298686 4715.65466571568 4604.24456765098 4558.78767832121 4627.52151937867 1600.77357547762 1626.59291662999 1483.67244716537 1222.11056252677 1353.54948635401 1711.45876472608 2601.65876515021 4425.26064149697 5222.88069803685 5718.00628058218 5788.42992927497 4845.96898561468 4896.70648154943 4802.25002487723 4854.84123324753 5017.68438951876 4955.16173249378 5009.98505244133 1720.2582437089 1753.62931144423 1975.56169829387 1706.41285150581 1659.0280468874 2035.86723852597 1901.49162485554 3919.91093417198 4246.55771692747 5981.5475872251 5988.83805402111 5718.00628058218 5788.42992927497 4845.96898561468 4896.70648154943 4802.25002487723 4854.84123324753 5017.68438951876 4955.16173249378 5009.98505244133 1859.7696973586 1497.37362497612 2362.26764502797 2528.11886313981 3003.75266556102 2735.84333699285 2523.65193888508 2384.61150889524 2596.82188073623 2773.92904197317 2975.99079697673 3216.8698144818 3334.55936687173 3344.52592250938 2735.84333699285 2523.65193888508 2384.61150889524 2596.82188073623 2773.92904197317 2975.99079697673
"X10" 3743.67478724621 3815.57836926652 4305.24085045685 3983.24594356318 4062.75850709116 4563.95599769789 4455.74765671294 3342.45327801789 3391.51829351608 3904.97754648798 4013.25109276047 3713.80624969845 3839.57867463764 4595.92426173337 4625.96586515801 4059.47862236506 2406.14688525035 2179.95634479239 2780.92914388668 2822.32169918474 2800.28638981372 2716.67818324864 3056.64822847397 3013.06849086444 2997.11205653658 3461.79597489726 3668.17540071014 2484.56708533729 2380.32876804985 2504.28874299767 2304.7871094664 2182.22094892457 2147.97944096525 2105.57124791731 2399.47370070978 2677.55294084106 3429.96452743573 4702.97105619975 4557.79055279067 4519.31678403335 4610.88431171625 1647.09187692605 1669.48809696045 1584.56475208153 1363.73690984609 1498.10203827487 1796.72417566083 2744.09986908246 4272.88387960912 5178.63811158799 5674.39551939018 5664.33250237779 4892.92209394923 4916.0364726729 4839.16028268184 4894.32812040934 5045.41193322254 4953.83972327127 5001.48911645349 1912.31529341905 1939.63275903157 2128.08654823669 1906.96279567158 1831.82198183773 2142.00349776618 1993.27901170576 3649.08768328058 4047.80692139651 5823.21714070079 5891.66726528622 5674.39551939018 5664.33250237779 4892.92209394923 4916.0364726729 4839.16028268184 4894.32812040934 5045.41193322254 4953.83972327127 5001.48911645349 1995.59407165269 1667.96067060776 2381.84843234415 2603.53267672465 3011.38759557603 2716.4340669912 2537.95552802018 2367.87785408824 2536.23257690205 2751.41075598616 2900.39184040827 3187.71208295364 3284.83116523686 3275.49543849577 2716.4340669912 2537.95552802018 2367.87785408824 2536.23257690205 2751.41075598616 2900.39184040827
